Sl. No.,State/UT,Headcount Ratio (%) - 2013-14,Note of Headcount Ratio (%) - 2013-14,Headcount Ratio (%) - 2022-23,No. of People who escaped Multidimensional Poverty (Estimated) (in lakh),Note of Number of People who escaped Multidimensional Poverty (Estimated) (in lakh)
1,Andhra Pradesh,NA,*,4.19,NA,*
2,Arunachal Pradesh,29.11,NA,10.05,2.98,NA
3,Assam,36.97,NA,14.47,80.36,NA
4,Bihar,56.34,NA,26.59,377.09,NA
5,Chhattisgarh,35.42,NA,11.71,71.55,NA
6,Goa,5.15,NA,0.37,0.75,NA
7,Gujarat,21.53,NA,9.03,89.41,NA
8,Haryana,NA,*,5.3,NA,*
9,Himachal Pradesh,10.14,NA,3.88,4.67,NA
10,Jharkhand,47.13,NA,23.34,93.92,NA
11,Karnataka,16.55,NA,5.67,73.64,NA
12,Kerala,1.24,NA,0.48,2.72,NA
13,Madhya Pradesh,41.57,NA,15.01,230,NA
14,Maharashtra,18.06,NA,5.48,159.07,NA
15,Manipur,20.53,NA,5.37,4.89,NA
16,Meghalaya,37.08,NA,25.46,3.89,NA
17,Mizoram,12.47,NA,3.77,1.08,NA
18,Nagaland,29.82,NA,11.76,4.03,NA
19,Odisha,34.28,NA,11.07,102.78,NA
20,Punjab,NA,*,4.35,NA,*
21,Rajasthan,33.86,NA,10.77,187.12,NA
22,Sikkim,6.07,NA,2.1,0.27,NA
23,Tamil Nadu,7.16,NA,1.43,43.98,NA
24,Telangana,NA,*,3.76,NA,*
25,Tripura,20.94,NA,11.49,3.92,NA
26,Uttar Pradesh,42.59,NA,17.4,593.69,NA
27,Uttarakhand,20.85,NA,6.92,16.21,NA
28,West Bengal,25.98,NA,8.6,172.18,NA
29,Andaman and Nicobar Islands,NA,*,1.63,NA,*
30,Chandigarh,NA,*,2.62,NA,*
31,Dadra and Nagar Haveli and Daman and Diu,NA,*,6.06,NA,*
32,Delhi,5.64,NA,2.97,5.69,NA
33,Jammu and Kashmir,NA,*,2.81,NA,*
34,Ladakh,NA,*,1.73,NA,*
35,Lakshadweep,NA,*,0.84,NA,*
36,Puducherry,NA,*,0.58,NA,*
India,India,29.17,NA,11.28,2482.16,NA
