Sl. No.,State/UT,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,Andaman and Nicobar Islands,6295,6268,6299,6114,6207
2,Andhra Pradesh,497658,515975,558113,564303,563379
3,Arunachal Pradesh,269569,245905,251010,256791,258933
4,Assam,1086831,1089167,1080443,1082113,1082427
5,Bihar,632693,664149,655011,684554,735389
6,Chandigarh,604,455,579,742,778
7,Chhattisgarh,1813649,1786418,1783986,1785985,1797119
8,Dadra and Nagar Haveli,43632,43168,44269,47745,49283
9,Daman and Diu,3575,3524,3559,47745,49283
10,Delhi,17338,19704,19685,19918,21369
11,Goa,26702,26364,25406,25476,25608
12,Gujarat,1957385,1938838,1945170,1950244,1969846
13,Haryana,0,0,317,274,429
14,Himachal Pradesh,86304,86701,87035,83873,85057
15,Jammu and Kashmir,373242,367297,311132,322603,361028
16,Jharkhand,2238207,2160851,2143774,2063340,2094479
17,Karnataka,831750,879655,893027,891141,909974
18,Kerala,103498,106392,99908,96485,97279
19,Ladakh,NA,NA,53335,55814,56541
20,Lakshadweep,11531,12608,12393,12885,13396
21,Madhya Pradesh,3726224,3663986,3711206,3644327,3585469
22,Maharashtra,2504744,2513066,2523758,2500542,2533701
23,Manipur,260766,292544,291615,292259,286832
24,Meghalaya,1021780,1042757,1067087,1072698,1063268
25,Mizoram,287532,301054,302877,296870,304331
26,Nagaland,364618,391500,388705,381614,378338
27,Odisha,2193784,2221492,2180393,2117336,2068248
28,Puducherry,646,629,711,731,917
29,Punjab,3783,3896,4388,4540,5228
30,Rajasthan,2554819,2563099,2610997,2622924,2622943
31,Sikkim,55395,52282,50043,48378,47701
32,Tamil Nadu,190063,206221,190911,187135,189291
33,Telangana,744432,731733,744740,753400,751820
34,Tripura,279188,271481,267304,255025,258146
35,Uttarakhand,68568,66972,66809,64583,65567
36,Uttar Pradesh,411004,432308,442475,442484,504089
37,West Bengal,1210968,1184044,1218490,1213604,1188099
