Sl. No.,India/State/UT,Total Schools,Library/ Book Bank/ Reading Corner,Playground,Digital Library,Kitchen Garden,Girls' Toilet,Functional Girls' Toilet,Boys' Toilet,Functional Boys' Toilet,Electricity,Functional Electricity,Solar Panel,Total Schools,Computer Facility,Functional Computer Facility for Pedagogical Purposes,Internet Facility,Drinking Water,Functional Drinking Water,Hand Wash Facility,Functional Rainwater Harvesting System,Conducting Medical Checkup of Students in Last Academic Year,Ramp,Ramp and Handrails,Schools with CWSN Toilet Facilities
1,India,1471891,1310284,1212442,110877,533342,1419242,1366750,1381909,1320654,1350813,1319792,154498,1471891,841327,748918,792992,1447311,1411865,1393942,418030,1106301,1134850,769906,506695
2,Andaman and Nicobar Islands,412,412,396,9,324,412,412,411,409,384,379,14,412,283,277,239,412,410,412,92,390,272,151,115
3,Andhra Pradesh,61373,61136,59081,8144,44837,60290,59944,53561,52627,61238,61213,4723,61373,53556,51585,57652,61366,61217,61106,52125,59621,54522,36403,14172
4,Arunachal Pradesh,3490,1510,2413,38,923,3125,2446,3164,2437,2400,2023,410,3490,1487,1319,1065,2912,2490,1763,182,1527,947,688,397
5,Assam,56630,51282,46186,517,35558,52225,49995,51394,48297,49262,48850,3692,56630,38463,31637,25490,54341,53294,52307,2730,39555,44109,39132,12175
6,Bihar,94686,57096,42198,1214,17037,89145,87271,87567,85124,75545,74183,8721,94686,18585,17465,17492,90577,88310,77311,12290,27841,48588,20473,14483
7,Chandigarh,230,226,225,27,183,229,229,227,227,230,230,173,230,230,230,229,230,230,230,129,213,206,131,181
8,Chhattisgarh,56615,55610,44247,778,29451,54715,52545,53142,49355,53596,51347,3428,56615,38094,21243,34722,56083,55119,55774,20467,51537,44187,31675,37273
9,Dadra and Nagar Haveli and Daman and Diu,432,431,430,4,345,430,430,428,428,432,432,62,432,419,417,429,432,432,432,337,430,424,413,396
10,Delhi,5497,5495,5437,370,4212,4645,4645,4713,4713,5497,5497,1835,5497,5495,5494,5497,5497,5497,5497,5130,5454,5494,5333,5497
11,Goa,1487,1487,1353,32,1045,1477,1477,1476,1476,1487,1487,51,1487,836,816,1302,1487,1487,1487,60,1429,934,841,131
12,Gujarat,53626,51774,47478,1371,25777,51949,51364,51308,50601,53593,53579,4445,53626,52543,51466,50351,53602,53586,52551,12251,46350,43664,32640,19884
13,Haryana,23517,22938,21319,722,9655,22918,22750,22421,22254,23470,23371,5249,23517,22721,22314,15926,23511,23497,23465,8645,20237,17124,10739,11983
14,Himachal Pradesh,17826,17771,17455,394,13825,17724,17682,17669,17591,17750,17688,1345,17826,8460,8004,8683,17826,17826,17736,6029,16994,14978,12893,4799
15,Jammu and Kashmir,24296,18000,18054,373,4664,22056,20033,21587,19282,22114,20889,4145,24296,10055,8612,11016,24149,23508,22615,1209,17838,10254,3206,1884
16,Jharkhand,44475,42258,32532,855,10261,43838,42950,43068,42057,42343,40922,6784,44475,33472,18942,23435,43863,42831,41775,10181,26639,30133,17570,3020
17,Karnataka,75869,74560,64919,2960,24569,74772,74332,72335,71552,75129,74553,10034,75869,40121,36731,37327,75777,75468,70500,22204,71126,57530,47757,14239
18,Kerala,15864,15681,14439,3416,11823,15765,15748,15564,15532,15852,15836,2030,15864,15774,15722,14616,15850,15820,15844,5064,13783,13029,10637,5614
19,Ladakh,995,951,760,44,161,890,863,913,884,791,736,245,995,527,492,455,955,899,708,6,885,583,204,186
20,Lakshadweep,37,37,34,1,36,37,37,37,37,37,37,1,37,37,36,37,37,37,36,22,36,36,30,23
21,Madhya Pradesh,123412,121496,118227,2648,22089,119792,109090,118929,106717,110784,104902,7413,123412,60784,55672,53376,122746,115970,115446,20805,84500,116073,41178,28014
22,Maharashtra,108237,106598,102322,9712,48935,104570,101239,102170,97986,102393,95148,18944,108237,88203,81906,73073,107686,106474,106930,34397,100138,101521,87665,66743
23,Manipur,4646,1274,4061,59,1815,3874,3455,3971,3510,3143,2818,498,4646,1556,1419,1499,4634,4620,3694,1052,1614,1956,1065,349
24,Meghalaya,14601,4067,7121,100,2113,12007,10173,12624,10652,4284,3915,633,14601,2751,2482,3580,8242,7197,5942,1411,9319,4706,3307,457
25,Mizoram,3941,3189,3255,3,1483,3547,3189,3617,3191,3437,3234,82,3941,1836,1680,982,3597,3539,2934,1769,2651,1811,746,731
26,Nagaland,2725,2114,2130,32,1215,2435,2132,2458,2115,2208,1995,389,2725,2296,1973,1535,1949,1811,1850,943,947,1093,490,215
