Country,State,Year,Additional Information,"Total Population (UOM:Number), Scaling Factor:1","Percentage Of Total Population (UOM:%(Percentage)), Scaling Factor:1","Total Number Of Scheduled Tribe(St) (UOM:Number), Scaling Factor:1","Total Scheduled Tribe (St) Population In India In 2011 To % Age Of Sts In The State To Total St Population In India In 2011 (UOM:%(Percentage)), Scaling Factor:1"," Total State Population In 2011 To Percentage Of Sts In The State To Total State Population In 2011  (UOM:%(Percentage)), Scaling Factor:1"," Percentage Of Total Population To Decadal Growth In % (From 2001)  (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2011",,380581,6.86,28530,3.19,7.5,0.03
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2011",,84580777,10.98,5918073,17.79,7,5.68
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2011",,1383727,26.03,951821,34.98,68.79,0.91
India,Assam,"Calendar Year (Jan - Dec), 2011",,31205576,17.07,3884371,17.4,12.45,3.72
India,Bihar,"Calendar Year (Jan - Dec), 2011",,104099452,25.42,1336573,76.25,1.28,1.28
India,Chandigarh,"Calendar Year (Jan - Dec), 2011",,1055450,17.19,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2011",Chhattigarh is created in the year 2000 after reorganization of the state Madhya Pradesh,25545198,22.61,7822902,18.23,30.62,7.5
India,Delhi,"Calendar Year (Jan - Dec), 2011",,16787941,21.21,,,,
India,Goa,"Calendar Year (Jan - Dec), 2011",,1458545,8.23,149275,26273.67,10.23,0.14
India,Gujarat,"Calendar Year (Jan - Dec), 2011",,60439692,19.28,8917174,19.2,14.75,8.55
India,Haryana,"Calendar Year (Jan - Dec), 2011",,25351462,19.9,,,0,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2011",,6864602,12.94,392126,60.32,5.71,0.38
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2011",,12541302,23.64,1493299,35.02,11.91,1.43
India,Jharkhand,"Calendar Year (Jan - Dec), 2011",Jharkhand is created in the year 2000 after reorganization of the state Bihar,32988134,22.42,8645042,21.98,26.21,8.29
India,Karnataka,"Calendar Year (Jan - Dec), 2011",,61095297,15.6,4248987,22.66,6.95,4.07
India,Kerala,"Calendar Year (Jan - Dec), 2011",,33406061,4.91,484839,33.13,1.45,0.46
India,Lakshadweep,"Calendar Year (Jan - Dec), 2011",,64473,6.3,61120,6.63,94.8,0.06
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2011",,72626809,20.35,15316784,25.2,21.09,14.69
India,Maharashtra,"Calendar Year (Jan - Dec), 2011",,112374333,15.99,10510213,22.54,9.35,10.08
India,Manipur,"Calendar Year (Jan - Dec), 2011",,2570390,18.63,902740,21.8,35.12,0.87
India,Meghalaya,"Calendar Year (Jan - Dec), 2011",,2966889,27.95,2555861,28.25,86.15,2.45
India,Mizoram,"Calendar Year (Jan - Dec), 2011",,1097206,23.48,1036115,23.45,94.43,0.99
India,Nagaland,"Calendar Year (Jan - Dec), 2011",,1978502,-0.58,1710973,3.55,86.48,1.64
India,Odisha,"Calendar Year (Jan - Dec), 2011",,41974218,14.05,9590756,17.75,22.85,9.2
India,Puducherry,"Calendar Year (Jan - Dec), 2011",,1247953,28.08,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2011",,27743338,13.89,,,0,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2011",,68548437,21.31,9238534,30.16,13.48,8.86
India,Sikkim,"Calendar Year (Jan - Dec), 2011",,610577,12.89,206360,85.23,33.8,0.2
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2011",,72147030,15.61,794697,22.01,1.1,0.76
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2011",,586956,109.64,193927,39.88,58.27,0.18
India,Tripura,"Calendar Year (Jan - Dec), 2011",,3673917,14.84,1166813,17.45,31.76,1.12
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2011",,199812341,20.23,1134273,950.61,0.57,1.09
India,Uttarakhand,"Calendar Year (Jan - Dec), 2011",Uttarakhand is created in the year 2000 after reorganization of the state Uttar Pradesh,10086292,18.81,291903,13.97,2.89,0.28
India,West Bengal,"Calendar Year (Jan - Dec), 2011",,91276115,13.84,5296953,20.2,5.8,5.08
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2001",,356152,6.86,29469,3.19,7.5,0.03
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2001",,76210007,10.98,5024104,17.79,7,5.68
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2001",,1097968,26.03,705158,34.98,68.79,0.91
India,Assam,"Calendar Year (Jan - Dec), 2001",,26655528,17.07,3308570,17.4,12.45,3.72
India,Bihar,"Calendar Year (Jan - Dec), 2001",,82998509,25.42,758351,76.25,1.28,1.28
India,Chandigarh,"Calendar Year (Jan - Dec), 2001",,900635,17.19,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2001",Chhattigarh is created in the year 2000 after reorganization of the state Madhya Pradesh,20833803,22.61,6616596,18.23,30.62,7.5
India,Delhi,"Calendar Year (Jan - Dec), 2001",,13850507,21.21,,,,
India,Goa,"Calendar Year (Jan - Dec), 2001",,1347668,8.23,566,26273.67,10.23,0.14
India,Gujarat,"Calendar Year (Jan - Dec), 2001",,50671017,19.28,7481160,19.2,14.75,8.55
India,Haryana,"Calendar Year (Jan - Dec), 2001",,21144564,19.9,,,0,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2001",,6077900,12.94,244587,60.32,5.71,0.38
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2001",,10143700,23.64,1105979,35.02,11.91,1.43
India,Jharkhand,"Calendar Year (Jan - Dec), 2001",Jharkhand is created in the year 2000 after reorganization of the state Bihar,26945829,22.42,7087068,21.98,26.21,8.29
India,Karnataka,"Calendar Year (Jan - Dec), 2001",,52850562,15.6,3463986,22.66,6.95,4.07
India,Kerala,"Calendar Year (Jan - Dec), 2001",,31841374,4.91,364189,33.13,1.45,0.46
India,Lakshadweep,"Calendar Year (Jan - Dec), 2001",,60650,6.3,57321,6.63,94.8,0.06
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2001",,60348023,20.35,12233474,25.2,21.09,14.69
India,Maharashtra,"Calendar Year (Jan - Dec), 2001",,96878627,15.99,8577276,22.54,9.35,10.08
India,Manipur,"Calendar Year (Jan - Dec), 2001",,2166788,18.63,741141,21.8,35.12,0.87
India,Meghalaya,"Calendar Year (Jan - Dec), 2001",,2318822,27.95,1992862,28.25,86.15,2.45
India,Mizoram,"Calendar Year (Jan - Dec), 2001",,888573,23.48,839310,23.45,94.43,0.99
India,Nagaland,"Calendar Year (Jan - Dec), 2001",,1990036,-0.58,1774026,3.55,86.48,1.64
India,Odisha,"Calendar Year (Jan - Dec), 2001",,36804660,14.05,8145081,17.75,22.85,9.2
India,Puducherry,"Calendar Year (Jan - Dec), 2001",,974345,28.08,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2001",,24358999,13.89,,,0,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2001",,56507188,21.31,7097706,30.16,13.48,8.86
India,Sikkim,"Calendar Year (Jan - Dec), 2001",,540851,12.89,111405,85.23,33.8,0.2
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2001",,62405679,15.61,651321,22.01,1.1,0.76
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2001",,378694,109.64,151222,39.88,58.27,0.18
India,Tripura,"Calendar Year (Jan - Dec), 2001",,3199203,14.84,993426,17.45,31.76,1.12
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2001",,166197921,20.23,107963,950.61,0.57,1.09
India,Uttarakhand,"Calendar Year (Jan - Dec), 2001",Uttarakhand is created in the year 2000 after reorganization of the state Uttar Pradesh,8489349,18.81,256129,13.97,2.89,0.28
India,West Bengal,"Calendar Year (Jan - Dec), 2001",,80176197,13.84,4406794,20.2,5.8,5.08
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 1991",,280661,6.86,26.77,3.19,7.5,0.03
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 1991",,66508008,10.98,4199481,17.79,7,5.68
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 1991",,864558,26.03,550351,34.98,68.79,0.91
India,Assam,"Calendar Year (Jan - Dec), 1991",,22414322,17.07,2874441,17.4,12.45,3.72
India,Bihar,"Calendar Year (Jan - Dec), 1991",,86374465,25.42,6616914,76.25,1.28,1.28
India,Chandigarh,"Calendar Year (Jan - Dec), 1991",,642015,17.19,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 1991",Chhattigarh is created in the year 2000 after reorganization of the state Madhya Pradesh,,22.61,,18.23,30.62,7.5
India,Delhi,"Calendar Year (Jan - Dec), 1991",,9420644,21.21,,,,
India,Goa,"Calendar Year (Jan - Dec), 1991",,1169793,8.23,376,26273.67,10.23,0.14
India,Gujarat,"Calendar Year (Jan - Dec), 1991",,41309582,19.28,6161775,19.2,14.75,8.55
India,Haryana,"Calendar Year (Jan - Dec), 1991",,16463648,19.9,,,0,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 1991",,5170877,12.94,218349,60.32,5.71,0.38
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 1991",,,23.64,,35.02,11.91,1.43
India,Jharkhand,"Calendar Year (Jan - Dec), 1991",Jharkhand is created in the year 2000 after reorganization of the state Bihar,,22.42,,21.98,26.21,8.29
India,Karnataka,"Calendar Year (Jan - Dec), 1991",,44977201,15.6,1915691,22.66,6.95,4.07
India,Kerala,"Calendar Year (Jan - Dec), 1991",,29098518,4.91,320967,33.13,1.45,0.46
India,Lakshadweep,"Calendar Year (Jan - Dec), 1991",,51707,6.3,48163,6.63,94.8,0.06
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 1991",,66181170,20.35,15399034,25.2,21.09,14.69
India,Maharashtra,"Calendar Year (Jan - Dec), 1991",,78937187,15.99,7318281,22.54,9.35,10.08
India,Manipur,"Calendar Year (Jan - Dec), 1991",,1837149,18.63,632173,21.8,35.12,0.87
India,Meghalaya,"Calendar Year (Jan - Dec), 1991",,1774778,27.95,1517927,28.25,86.15,2.45
