Country,Year,Gender,State/ Ut Name ,Type Of Employment Indicators ,"Employment Indicator Value (UOM:Ratio), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2013",Female,All India,Labour force participation rate (LFPR),349.0
India,"Calendar Year (Jan - Dec), 2013",Female,All India,Proportion Unemployed (PU),4.0
India,"Calendar Year (Jan - Dec), 2013",Female,All India,Worker population ratio (WPR),345.0
India,"Calendar Year (Jan - Dec), 2013",Female,Andaman & Nicobar Islands,Labour force participation rate (LFPR),187.0
India,"Calendar Year (Jan - Dec), 2013",Female,Andaman & Nicobar Islands,Proportion Unemployed (PU),35.0
India,"Calendar Year (Jan - Dec), 2013",Female,Andaman & Nicobar Islands,Worker population ratio (WPR),151.0
India,"Calendar Year (Jan - Dec), 2013",Female,Andhra Pradesh,Labour force participation rate (LFPR),544.0
India,"Calendar Year (Jan - Dec), 2013",Female,Andhra Pradesh,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Female,Andhra Pradesh,Worker population ratio (WPR),544.0
India,"Calendar Year (Jan - Dec), 2013",Female,Arunachal Pradesh,Labour force participation rate (LFPR),295.0
India,"Calendar Year (Jan - Dec), 2013",Female,Arunachal Pradesh,Proportion Unemployed (PU),2.0
India,"Calendar Year (Jan - Dec), 2013",Female,Arunachal Pradesh,Worker population ratio (WPR),292.0
India,"Calendar Year (Jan - Dec), 2013",Female,Assam,Labour force participation rate (LFPR),200.0
India,"Calendar Year (Jan - Dec), 2013",Female,Assam,Proportion Unemployed (PU),9.0
India,"Calendar Year (Jan - Dec), 2013",Female,Assam,Worker population ratio (WPR),191.0
India,"Calendar Year (Jan - Dec), 2013",Female,Bihar,Labour force participation rate (LFPR),58.0
India,"Calendar Year (Jan - Dec), 2013",Female,Bihar,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Female,Bihar,Worker population ratio (WPR),58.0
India,"Calendar Year (Jan - Dec), 2013",Female,Chandigarh,Labour force participation rate (LFPR),
India,"Calendar Year (Jan - Dec), 2013",Female,Chandigarh,Proportion Unemployed (PU),
India,"Calendar Year (Jan - Dec), 2013",Female,Chandigarh,Worker population ratio (WPR),
India,"Calendar Year (Jan - Dec), 2013",Female,Chhattisgarh,Labour force participation rate (LFPR),401.0
India,"Calendar Year (Jan - Dec), 2013",Female,Chhattisgarh,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Female,Chhattisgarh,Worker population ratio (WPR),400.0
India,"Calendar Year (Jan - Dec), 2013",Female,Dadra & Nagar Haveli,Labour force participation rate (LFPR),44.0
India,"Calendar Year (Jan - Dec), 2013",Female,Dadra & Nagar Haveli,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Female,Dadra & Nagar Haveli,Worker population ratio (WPR),44.0
India,"Calendar Year (Jan - Dec), 2013",Female,Daman & Diu,Labour force participation rate (LFPR),243.0
India,"Calendar Year (Jan - Dec), 2013",Female,Daman & Diu,Proportion Unemployed (PU),5.0
India,"Calendar Year (Jan - Dec), 2013",Female,Daman & Diu,Worker population ratio (WPR),238.0
India,"Calendar Year (Jan - Dec), 2013",Female,Delhi,Labour force participation rate (LFPR),286.0
India,"Calendar Year (Jan - Dec), 2013",Female,Delhi,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Female,Delhi,Worker population ratio (WPR),286.0
India,"Calendar Year (Jan - Dec), 2013",Female,Goa,Labour force participation rate (LFPR),197.0
India,"Calendar Year (Jan - Dec), 2013",Female,Goa,Proportion Unemployed (PU),2.0
India,"Calendar Year (Jan - Dec), 2013",Female,Goa,Worker population ratio (WPR),195.0
India,"Calendar Year (Jan - Dec), 2013",Female,Gujarat,Labour force participation rate (LFPR),370.0
India,"Calendar Year (Jan - Dec), 2013",Female,Gujarat,Proportion Unemployed (PU),8.0
India,"Calendar Year (Jan - Dec), 2013",Female,Gujarat,Worker population ratio (WPR),363.0
India,"Calendar Year (Jan - Dec), 2013",Female,Haryana,Labour force participation rate (LFPR),316.0
India,"Calendar Year (Jan - Dec), 2013",Female,Haryana,Proportion Unemployed (PU),34.0
India,"Calendar Year (Jan - Dec), 2013",Female,Haryana,Worker population ratio (WPR),281.0
India,"Calendar Year (Jan - Dec), 2013",Female,Himachal Pradesh,Labour force participation rate (LFPR),405.0
India,"Calendar Year (Jan - Dec), 2013",Female,Himachal Pradesh,Proportion Unemployed (PU),6.0
India,"Calendar Year (Jan - Dec), 2013",Female,Himachal Pradesh,Worker population ratio (WPR),398.0
India,"Calendar Year (Jan - Dec), 2013",Female,Jammu & Kashmir,Labour force participation rate (LFPR),688.0
India,"Calendar Year (Jan - Dec), 2013",Female,Jammu & Kashmir,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Female,Jammu & Kashmir,Worker population ratio (WPR),688.0
India,"Calendar Year (Jan - Dec), 2013",Female,Jharkhand,Labour force participation rate (LFPR),226.0
India,"Calendar Year (Jan - Dec), 2013",Female,Jharkhand,Proportion Unemployed (PU),3.0
India,"Calendar Year (Jan - Dec), 2013",Female,Jharkhand,Worker population ratio (WPR),223.0
India,"Calendar Year (Jan - Dec), 2013",Female,Karnataka,Labour force participation rate (LFPR),420.0
India,"Calendar Year (Jan - Dec), 2013",Female,Karnataka,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Female,Karnataka,Worker population ratio (WPR),419.0
India,"Calendar Year (Jan - Dec), 2013",Female,Kerala,Labour force participation rate (LFPR),282.0
India,"Calendar Year (Jan - Dec), 2013",Female,Kerala,Proportion Unemployed (PU),41.0
India,"Calendar Year (Jan - Dec), 2013",Female,Kerala,Worker population ratio (WPR),241.0
India,"Calendar Year (Jan - Dec), 2013",Female,Lakshadweep,Labour force participation rate (LFPR),295.0
India,"Calendar Year (Jan - Dec), 2013",Female,Lakshadweep,Proportion Unemployed (PU),41.0
India,"Calendar Year (Jan - Dec), 2013",Female,Lakshadweep,Worker population ratio (WPR),254.0
India,"Calendar Year (Jan - Dec), 2013",Female,Madhya Pradesh,Labour force participation rate (LFPR),333.0
India,"Calendar Year (Jan - Dec), 2013",Female,Madhya Pradesh,Proportion Unemployed (PU),1.0
India,"Calendar Year (Jan - Dec), 2013",Female,Madhya Pradesh,Worker population ratio (WPR),332.0
India,"Calendar Year (Jan - Dec), 2013",Female,Maharashtra,Labour force participation rate (LFPR),447.0
India,"Calendar Year (Jan - Dec), 2013",Female,Maharashtra,Proportion Unemployed (PU),2.0
India,"Calendar Year (Jan - Dec), 2013",Female,Maharashtra,Worker population ratio (WPR),445.0
India,"Calendar Year (Jan - Dec), 2013",Female,Manipur,Labour force participation rate (LFPR),269.0
India,"Calendar Year (Jan - Dec), 2013",Female,Manipur,Proportion Unemployed (PU),6.0
India,"Calendar Year (Jan - Dec), 2013",Female,Manipur,Worker population ratio (WPR),263.0
India,"Calendar Year (Jan - Dec), 2013",Female,Meghalaya,Labour force participation rate (LFPR),358.0
India,"Calendar Year (Jan - Dec), 2013",Female,Meghalaya,Proportion Unemployed (PU),5.0
India,"Calendar Year (Jan - Dec), 2013",Female,Meghalaya,Worker population ratio (WPR),352.0
India,"Calendar Year (Jan - Dec), 2013",Female,Mizoram,Labour force participation rate (LFPR),360.0
India,"Calendar Year (Jan - Dec), 2013",Female,Mizoram,Proportion Unemployed (PU),8.0
India,"Calendar Year (Jan - Dec), 2013",Female,Mizoram,Worker population ratio (WPR),352.0
India,"Calendar Year (Jan - Dec), 2013",Female,Nagaland,Labour force participation rate (LFPR),325.0
India,"Calendar Year (Jan - Dec), 2013",Female,Nagaland,Proportion Unemployed (PU),42.0
India,"Calendar Year (Jan - Dec), 2013",Female,Nagaland,Worker population ratio (WPR),283.0
India,"Calendar Year (Jan - Dec), 2013",Female,Odisha,Labour force participation rate (LFPR),392.0
India,"Calendar Year (Jan - Dec), 2013",Female,Odisha,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Female,Odisha,Worker population ratio (WPR),392.0
India,"Calendar Year (Jan - Dec), 2013",Female,Puducherry,Labour force participation rate (LFPR),
India,"Calendar Year (Jan - Dec), 2013",Female,Puducherry,Proportion Unemployed (PU),
India,"Calendar Year (Jan - Dec), 2013",Female,Puducherry,Worker population ratio (WPR),
India,"Calendar Year (Jan - Dec), 2013",Female,Punjab,Labour force participation rate (LFPR),142.0
India,"Calendar Year (Jan - Dec), 2013",Female,Punjab,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Female,Punjab,Worker population ratio (WPR),142.0
India,"Calendar Year (Jan - Dec), 2013",Female,Rajasthan,Labour force participation rate (LFPR),401.0
India,"Calendar Year (Jan - Dec), 2013",Female,Rajasthan,Proportion Unemployed (PU),3.0
India,"Calendar Year (Jan - Dec), 2013",Female,Rajasthan,Worker population ratio (WPR),399.0
India,"Calendar Year (Jan - Dec), 2013",Female,Sikkim,Labour force participation rate (LFPR),377.0
India,"Calendar Year (Jan - Dec), 2013",Female,Sikkim,Proportion Unemployed (PU),5.0
India,"Calendar Year (Jan - Dec), 2013",Female,Sikkim,Worker population ratio (WPR),372.0
India,"Calendar Year (Jan - Dec), 2013",Female,Tamil Nadu,Labour force participation rate (LFPR),306.0
India,"Calendar Year (Jan - Dec), 2013",Female,Tamil Nadu,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Female,Tamil Nadu,Worker population ratio (WPR),306.0
India,"Calendar Year (Jan - Dec), 2013",Female,Tripura,Labour force participation rate (LFPR),211.0
India,"Calendar Year (Jan - Dec), 2013",Female,Tripura,Proportion Unemployed (PU),39.0
India,"Calendar Year (Jan - Dec), 2013",Female,Tripura,Worker population ratio (WPR),172.0
India,"Calendar Year (Jan - Dec), 2013",Female,Uttar Pradesh,Labour force participation rate (LFPR),247.0
India,"Calendar Year (Jan - Dec), 2013",Female,Uttar Pradesh,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Female,Uttar Pradesh,Worker population ratio (WPR),247.0
India,"Calendar Year (Jan - Dec), 2013",Female,Uttarakhand,Labour force participation rate (LFPR),470.0
India,"Calendar Year (Jan - Dec), 2013",Female,Uttarakhand,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Female,Uttarakhand,Worker population ratio (WPR),470.0
India,"Calendar Year (Jan - Dec), 2013",Female,West Bengal,Labour force participation rate (LFPR),196.0
India,"Calendar Year (Jan - Dec), 2013",Female,West Bengal,Proportion Unemployed (PU),10.0
India,"Calendar Year (Jan - Dec), 2013",Female,West Bengal,Worker population ratio (WPR),185.0
India,"Calendar Year (Jan - Dec), 2013",Male,All India,Labour force participation rate (LFPR),565.0
India,"Calendar Year (Jan - Dec), 2013",Male,All India,Proportion Unemployed (PU),11.0
India,"Calendar Year (Jan - Dec), 2013",Male,All India,Worker population ratio (WPR),555.0
India,"Calendar Year (Jan - Dec), 2013",Male,Andaman & Nicobar Islands,Labour force participation rate (LFPR),610.0
India,"Calendar Year (Jan - Dec), 2013",Male,Andaman & Nicobar Islands,Proportion Unemployed (PU),12.0
India,"Calendar Year (Jan - Dec), 2013",Male,Andaman & Nicobar Islands,Worker population ratio (WPR),599.0
India,"Calendar Year (Jan - Dec), 2013",Male,Andhra Pradesh,Labour force participation rate (LFPR),587.0
India,"Calendar Year (Jan - Dec), 2013",Male,Andhra Pradesh,Proportion Unemployed (PU),1.0
India,"Calendar Year (Jan - Dec), 2013",Male,Andhra Pradesh,Worker population ratio (WPR),585.0
India,"Calendar Year (Jan - Dec), 2013",Male,Arunachal Pradesh,Labour force participation rate (LFPR),480.0
India,"Calendar Year (Jan - Dec), 2013",Male,Arunachal Pradesh,Proportion Unemployed (PU),11.0
India,"Calendar Year (Jan - Dec), 2013",Male,Arunachal Pradesh,Worker population ratio (WPR),469.0
India,"Calendar Year (Jan - Dec), 2013",Male,Assam,Labour force participation rate (LFPR),587.0
India,"Calendar Year (Jan - Dec), 2013",Male,Assam,Proportion Unemployed (PU),25.0
India,"Calendar Year (Jan - Dec), 2013",Male,Assam,Worker population ratio (WPR),562.0
India,"Calendar Year (Jan - Dec), 2013",Male,Bihar,Labour force participation rate (LFPR),565.0
India,"Calendar Year (Jan - Dec), 2013",Male,Bihar,Proportion Unemployed (PU),20.0
India,"Calendar Year (Jan - Dec), 2013",Male,Bihar,Worker population ratio (WPR),545.0
India,"Calendar Year (Jan - Dec), 2013",Male,Chandigarh,Labour force participation rate (LFPR),
India,"Calendar Year (Jan - Dec), 2013",Male,Chandigarh,Proportion Unemployed (PU),
India,"Calendar Year (Jan - Dec), 2013",Male,Chandigarh,Worker population ratio (WPR),
India,"Calendar Year (Jan - Dec), 2013",Male,Chhattisgarh,Labour force participation rate (LFPR),511.0
India,"Calendar Year (Jan - Dec), 2013",Male,Chhattisgarh,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Male,Chhattisgarh,Worker population ratio (WPR),510.0
India,"Calendar Year (Jan - Dec), 2013",Male,Dadra & Nagar Haveli,Labour force participation rate (LFPR),596.0
India,"Calendar Year (Jan - Dec), 2013",Male,Dadra & Nagar Haveli,Proportion Unemployed (PU),30.0
India,"Calendar Year (Jan - Dec), 2013",Male,Dadra & Nagar Haveli,Worker population ratio (WPR),565.0
India,"Calendar Year (Jan - Dec), 2013",Male,Daman & Diu,Labour force participation rate (LFPR),565.0
India,"Calendar Year (Jan - Dec), 2013",Male,Daman & Diu,Proportion Unemployed (PU),36.0
India,"Calendar Year (Jan - Dec), 2013",Male,Daman & Diu,Worker population ratio (WPR),528.0
India,"Calendar Year (Jan - Dec), 2013",Male,Delhi,Labour force participation rate (LFPR),605.0
India,"Calendar Year (Jan - Dec), 2013",Male,Delhi,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Male,Delhi,Worker population ratio (WPR),605.0
India,"Calendar Year (Jan - Dec), 2013",Male,Goa,Labour force participation rate (LFPR),560.0
India,"Calendar Year (Jan - Dec), 2013",Male,Goa,Proportion Unemployed (PU),29.0
India,"Calendar Year (Jan - Dec), 2013",Male,Goa,Worker population ratio (WPR),531.0
India,"Calendar Year (Jan - Dec), 2013",Male,Gujarat,Labour force participation rate (LFPR),567.0
India,"Calendar Year (Jan - Dec), 2013",Male,Gujarat,Proportion Unemployed (PU),9.0
India,"Calendar Year (Jan - Dec), 2013",Male,Gujarat,Worker population ratio (WPR),558.0
India,"Calendar Year (Jan - Dec), 2013",Male,Haryana,Labour force participation rate (LFPR),595.0
India,"Calendar Year (Jan - Dec), 2013",Male,Haryana,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Male,Haryana,Worker population ratio (WPR),595.0
India,"Calendar Year (Jan - Dec), 2013",Male,Himachal Pradesh,Labour force participation rate (LFPR),610.0
India,"Calendar Year (Jan - Dec), 2013",Male,Himachal Pradesh,Proportion Unemployed (PU),17.0
India,"Calendar Year (Jan - Dec), 2013",Male,Himachal Pradesh,Worker population ratio (WPR),593.0
India,"Calendar Year (Jan - Dec), 2013",Male,Jammu & Kashmir,Labour force participation rate (LFPR),562.0
India,"Calendar Year (Jan - Dec), 2013",Male,Jammu & Kashmir,Proportion Unemployed (PU),1.0
India,"Calendar Year (Jan - Dec), 2013",Male,Jammu & Kashmir,Worker population ratio (WPR),561.0
India,"Calendar Year (Jan - Dec), 2013",Male,Jharkhand,Labour force participation rate (LFPR),540.0
India,"Calendar Year (Jan - Dec), 2013",Male,Jharkhand,Proportion Unemployed (PU),33.0
India,"Calendar Year (Jan - Dec), 2013",Male,Jharkhand,Worker population ratio (WPR),507.0
India,"Calendar Year (Jan - Dec), 2013",Male,Karnataka,Labour force participation rate (LFPR),594.0
India,"Calendar Year (Jan - Dec), 2013",Male,Karnataka,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Male,Karnataka,Worker population ratio (WPR),594.0
India,"Calendar Year (Jan - Dec), 2013",Male,Kerala,Labour force participation rate (LFPR),501.0
India,"Calendar Year (Jan - Dec), 2013",Male,Kerala,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Male,Kerala,Worker population ratio (WPR),501.0
India,"Calendar Year (Jan - Dec), 2013",Male,Lakshadweep,Labour force participation rate (LFPR),577.0
India,"Calendar Year (Jan - Dec), 2013",Male,Lakshadweep,Proportion Unemployed (PU),33.0
India,"Calendar Year (Jan - Dec), 2013",Male,Lakshadweep,Worker population ratio (WPR),543.0
India,"Calendar Year (Jan - Dec), 2013",Male,Madhya Pradesh,Labour force participation rate (LFPR),577.0
India,"Calendar Year (Jan - Dec), 2013",Male,Madhya Pradesh,Proportion Unemployed (PU),8.0
India,"Calendar Year (Jan - Dec), 2013",Male,Madhya Pradesh,Worker population ratio (WPR),569.0
India,"Calendar Year (Jan - Dec), 2013",Male,Maharashtra,Labour force participation rate (LFPR),561.0
India,"Calendar Year (Jan - Dec), 2013",Male,Maharashtra,Proportion Unemployed (PU),5.0
India,"Calendar Year (Jan - Dec), 2013",Male,Maharashtra,Worker population ratio (WPR),555.0
India,"Calendar Year (Jan - Dec), 2013",Male,Manipur,Labour force participation rate (LFPR),540.0
India,"Calendar Year (Jan - Dec), 2013",Male,Manipur,Proportion Unemployed (PU),14.0
India,"Calendar Year (Jan - Dec), 2013",Male,Manipur,Worker population ratio (WPR),526.0
India,"Calendar Year (Jan - Dec), 2013",Male,Meghalaya,Labour force participation rate (LFPR),572.0
India,"Calendar Year (Jan - Dec), 2013",Male,Meghalaya,Proportion Unemployed (PU),4.0
India,"Calendar Year (Jan - Dec), 2013",Male,Meghalaya,Worker population ratio (WPR),568.0
India,"Calendar Year (Jan - Dec), 2013",Male,Mizoram,Labour force participation rate (LFPR),575.0
India,"Calendar Year (Jan - Dec), 2013",Male,Mizoram,Proportion Unemployed (PU),10.0
India,"Calendar Year (Jan - Dec), 2013",Male,Mizoram,Worker population ratio (WPR),565.0
India,"Calendar Year (Jan - Dec), 2013",Male,Nagaland,Labour force participation rate (LFPR),532.0
India,"Calendar Year (Jan - Dec), 2013",Male,Nagaland,Proportion Unemployed (PU),51.0
India,"Calendar Year (Jan - Dec), 2013",Male,Nagaland,Worker population ratio (WPR),481.0
India,"Calendar Year (Jan - Dec), 2013",Male,Odisha,Labour force participation rate (LFPR),632.0
India,"Calendar Year (Jan - Dec), 2013",Male,Odisha,Proportion Unemployed (PU),15.0
India,"Calendar Year (Jan - Dec), 2013",Male,Odisha,Worker population ratio (WPR),617.0
India,"Calendar Year (Jan - Dec), 2013",Male,Puducherry,Labour force participation rate (LFPR),
India,"Calendar Year (Jan - Dec), 2013",Male,Puducherry,Proportion Unemployed (PU),
India,"Calendar Year (Jan - Dec), 2013",Male,Puducherry,Worker population ratio (WPR),
India,"Calendar Year (Jan - Dec), 2013",Male,Punjab,Labour force participation rate (LFPR),393.0
India,"Calendar Year (Jan - Dec), 2013",Male,Punjab,Proportion Unemployed (PU),14.0
India,"Calendar Year (Jan - Dec), 2013",Male,Punjab,Worker population ratio (WPR),378.0
India,"Calendar Year (Jan - Dec), 2013",Male,Rajasthan,Labour force participation rate (LFPR),509.0
India,"Calendar Year (Jan - Dec), 2013",Male,Rajasthan,Proportion Unemployed (PU),4.0
India,"Calendar Year (Jan - Dec), 2013",Male,Rajasthan,Worker population ratio (WPR),505.0
India,"Calendar Year (Jan - Dec), 2013",Male,Sikkim,Labour force participation rate (LFPR),579.0
India,"Calendar Year (Jan - Dec), 2013",Male,Sikkim,Proportion Unemployed (PU),35.0
India,"Calendar Year (Jan - Dec), 2013",Male,Sikkim,Worker population ratio (WPR),544.0
India,"Calendar Year (Jan - Dec), 2013",Male,Tamil Nadu,Labour force participation rate (LFPR),676.0
India,"Calendar Year (Jan - Dec), 2013",Male,Tamil Nadu,Proportion Unemployed (PU),4.0
India,"Calendar Year (Jan - Dec), 2013",Male,Tamil Nadu,Worker population ratio (WPR),672.0
India,"Calendar Year (Jan - Dec), 2013",Male,Tripura,Labour force participation rate (LFPR),582.0
India,"Calendar Year (Jan - Dec), 2013",Male,Tripura,Proportion Unemployed (PU),37.0
India,"Calendar Year (Jan - Dec), 2013",Male,Tripura,Worker population ratio (WPR),545.0
India,"Calendar Year (Jan - Dec), 2013",Male,Uttar Pradesh,Labour force participation rate (LFPR),583.0
India,"Calendar Year (Jan - Dec), 2013",Male,Uttar Pradesh,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Male,Uttar Pradesh,Worker population ratio (WPR),583.0
India,"Calendar Year (Jan - Dec), 2013",Male,Uttarakhand,Labour force participation rate (LFPR),505.0
India,"Calendar Year (Jan - Dec), 2013",Male,Uttarakhand,Proportion Unemployed (PU),0.0
India,"Calendar Year (Jan - Dec), 2013",Male,Uttarakhand,Worker population ratio (WPR),505.0
India,"Calendar Year (Jan - Dec), 2013",Male,West Bengal,Labour force participation rate (LFPR),621.0
India,"Calendar Year (Jan - Dec), 2013",Male,West Bengal,Proportion Unemployed (PU),12.0
India,"Calendar Year (Jan - Dec), 2013",Male,West Bengal,Worker population ratio (WPR),609.0
India,"Calendar Year (Jan - Dec), 2013",Person,All India,Labour force participation rate (LFPR),460.0
India,"Calendar Year (Jan - Dec), 2013",Person,All India,Proportion Unemployed (PU),7.0
India,"Calendar Year (Jan - Dec), 2013",Person,All India,Worker population ratio (WPR),452.0
India,"Calendar Year (Jan - Dec), 2013",Person,Andaman & Nicobar Islands,Labour force participation rate (LFPR),406.0
India,"Calendar Year (Jan - Dec), 2013",Person,Andaman & Nicobar Islands,Proportion Unemployed (PU),23.0
India,"Calendar Year (Jan - Dec), 2013",Person,Andaman & Nicobar Islands,Worker population ratio (WPR),383.0
India,"Calendar Year (Jan - Dec), 2013",Person,Andhra Pradesh,Labour force participation rate (LFPR),566.0
India,"Calendar Year (Jan - Dec), 2013",Person,Andhra Pradesh,Proportion Unemployed (PU),1.0
India,"Calendar Year (Jan - Dec), 2013",Person,Andhra Pradesh,Worker population ratio (WPR),565.0
India,"Calendar Year (Jan - Dec), 2013",Person,Arunachal Pradesh,Labour force participation rate (LFPR),392.0
India,"Calendar Year (Jan - Dec), 2013",Person,Arunachal Pradesh,Proportion Unemployed (PU),7.0
India,"Calendar Year (Jan - Dec), 2013",Person,Arunachal Pradesh,Worker population ratio (WPR),385.0
India,"Calendar Year (Jan - Dec), 2013",Person,Assam,Labour force participation rate (LFPR),404.0
India,"Calendar Year (Jan - Dec), 2013",Person,Assam,Proportion Unemployed (PU),18.0
India,"Calendar Year (Jan - Dec), 2013",Person,Assam,Worker population ratio (WPR),386.0
India,"Calendar Year (Jan - Dec), 2013",Person,Bihar,Labour force participation rate (LFPR),313.0
India,"Calendar Year (Jan - Dec), 2013",Person,Bihar,Proportion Unemployed (PU),10.0
India,"Calendar Year (Jan - Dec), 2013",Person,Bihar,Worker population ratio (WPR),303.0
India,"Calendar Year (Jan - Dec), 2013",Person,Chandigarh,Labour force participation rate (LFPR),
India,"Calendar Year (Jan - Dec), 2013",Person,Chandigarh,Proportion Unemployed (PU),
India,"Calendar Year (Jan - Dec), 2013",Person,Chandigarh,Worker population ratio (WPR),
