Country,State,Year,"Pre-Primary Enrollment Of Boys (UOM:Number), Scaling Factor:1","Pre-Primary Enrollment Of Girls (UOM:Number), Scaling Factor:1","Number Of Primary Or Junior Basic (Classes 1 To 5) Boys  (UOM:Number), Scaling Factor:1","Number Of Primary Or Junior Basic (Classes 1 To 5) Girls (UOM:Number), Scaling Factor:1","Number Of Upper Primary Or Middle Or Senior Basic (Classes Vi To Viii) Boys (UOM:Number), Scaling Factor:1","Number Of Upper Primary Or Middle Or Senior Basic (Classes Vi To Viii) Girls (UOM:Number), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2010",61.0,58,1222,1148,889,756
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2010",13039.0,9009,396410,373650,152900,131787
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2010",22554.0,20227,88778,84121,30383,29362
India,Assam,"Financial Year (Apr - Mar), 2010",79777.0,77174,208254,208186,106867,103504
India,Bihar,"Financial Year (Apr - Mar), 2010",0.0,0,107790,73483,25907,18463
India,Chandigarh,"Financial Year (Apr - Mar), 2010",0.0,0,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2010",11824.0,10489,515217,480322,209672,185570
India,Delhi,"Financial Year (Apr - Mar), 2010",231.0,231,3361,2775,1747,1417
India,Goa,"Financial Year (Apr - Mar), 2010",0.0,0,4876,4442,3659,3233
India,Gujarat,"Financial Year (Apr - Mar), 2010",0.0,0,634761,590277,187876,167521
India,Haryana,"Financial Year (Apr - Mar), 2010",0.0,0,0,0,0,0
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2010",0.0,0,17946,17016,12776,11749
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2010",3867.0,3250,69940,59897,29361,23593
India,Jharkhand,"Financial Year (Apr - Mar), 2010",14450.0,10913,776465,741070,243861,234147
India,Karnataka,"Financial Year (Apr - Mar), 2010",0.0,0,226014,212191,119299,108162
India,Kerala,"Financial Year (Apr - Mar), 2010",0.0,0,22408,20447,13335,12381
India,Lakshadweep,"Financial Year (Apr - Mar), 2010",476.0,523,3001,2846,1845,2122
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2010",0.0,0,1414673,1380106,467462,479138
India,Maharashtra,"Financial Year (Apr - Mar), 2010",,130971,699875,635160,307643,260591
India,Manipur,"Financial Year (Apr - Mar), 2010",26212.0,24952,74778,62123,21821,19885
India,Meghalaya,"Financial Year (Apr - Mar), 2010",,134878,223494,223553,64465,73058
India,Mizoram,"Financial Year (Apr - Mar), 2010",19530.0,18579,77608,71228,33341,30896
India,Nagaland,"Financial Year (Apr - Mar), 2010",57032.0,51783,107526,99190,43593,40310
India,Odisha,"Financial Year (Apr - Mar), 2010",0.0,0,684634,654098,210031,184846
India,Puducherry,"Financial Year (Apr - Mar), 2010",0.0,0,0,0,0,0
India,Punjab,"Financial Year (Apr - Mar), 2010",0.0,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2010",28834.0,18768,725213,618299,265026,189458
India,Sikkim,"Financial Year (Apr - Mar), 2010",0.0,0,14915,15207,5298,6713
India,Tamil Nadu,"Financial Year (Apr - Mar), 2010",10781.0,8822,59409,54523,27748,25721
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2010",31.0,36,14470,13625,7589,6356
India,Tripura,"Financial Year (Apr - Mar), 2010",1030.0,877,86356,81761,39303,34925
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2010",0.0,0,79876,74630,26719,21696
India,Uttarakhand,"Financial Year (Apr - Mar), 2010",0.0,0,26183,23128,11203,11129
India,West Bengal,"Financial Year (Apr - Mar), 2010",0.0,0,309164,299240,165412,166229
