Country,State,Year,Gender,Type Of Classes,"Gross Enrolment Ratio (Ger) (UOM:Ratio), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),77.3
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),74.5
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),76.7
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),50.7
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),63.5
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),72.9
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),75.4
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),76.5
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),75.6
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),59.6
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),68.5
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),73.1
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),76.4
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),75.4
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),76.2
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),55
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),66
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),73
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),111.6
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),71.1
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),104
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),60.4
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),66.2
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),98
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),112.5
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),74.2
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),105.8
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),46.1
