Country,State,Year,Additional Info,"Percentage Of Scheduled Tribes (Sts) In The State To Total Population (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Scheduled Tribes (Sts) In The State To The Total St Population In India (UOM:%(Percentage)), Scaling Factor:1"
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2011",,68.79,0.91
India,Assam,"Calendar Year (Jan - Dec), 2011",,12.45,3.72
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2011","States like Chhattisgarh, Jharkhand and Uttarakhand were created in the year 2000 after re-organization of the states of Madhya Pradesh, Bihar and Uttar Pradesh. MANIPUR (Excl. 3 Sub-divisions of Senapati Distt.)",30.62,7.5
India,Goa,"Calendar Year (Jan - Dec), 2011",,10.23,0.14
India,Gujarat,"Calendar Year (Jan - Dec), 2011",,14.75,8.55
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2011",,11.91,1.43
India,Jharkhand,"Calendar Year (Jan - Dec), 2011","States like Chhattisgarh, Jharkhand and Uttarakhand were created in the year 2000 after re-organization of the states of Madhya Pradesh, Bihar and Uttar Pradesh. MANIPUR (Excl. 3 Sub-divisions of Senapati Distt.)",26.21,8.29
India,Lakshadweep,"Calendar Year (Jan - Dec), 2011",,94.8,0.06
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2011",,21.09,14.69
India,Maharashtra,"Calendar Year (Jan - Dec), 2011",,9.35,10.08
India,Manipur,"Calendar Year (Jan - Dec), 2011",,35.12,0.87
India,Meghalaya,"Calendar Year (Jan - Dec), 2011",,86.15,2.45
India,Mizoram,"Calendar Year (Jan - Dec), 2011",,94.43,0.99
India,Nagaland,"Calendar Year (Jan - Dec), 2011",,86.48,1.64
India,Odisha,"Calendar Year (Jan - Dec), 2011",,22.85,9.2
India,Rajasthan,"Calendar Year (Jan - Dec), 2011",,13.48,8.86
India,Sikkim,"Calendar Year (Jan - Dec), 2011",,33.8,0.2
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2011",,51.95,0.17
India,Tripura,"Calendar Year (Jan - Dec), 2011",,31.76,1.12
