Country,Year,State Name,Additional Info,"Literacy Rate Of Total Population (UOM:%(Percentage)), Scaling Factor:1","Literacy Rate Of Scheduled Tribes (UOM:%(Percentage)), Scaling Factor:1","Gap In Literacy Rate (UOM:%(Percentage)), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2011",A & N Islands,,86.6,75.6,11.0
India,"Calendar Year (Jan - Dec), 2011",Andhra Pradesh,,67.0,49.2,17.8
India,"Calendar Year (Jan - Dec), 2011",Arunachal Pradesh,,65.4,64.6,0.8
India,"Calendar Year (Jan - Dec), 2011",Assam,,72.2,72.1,0.1
India,"Calendar Year (Jan - Dec), 2011",Bihar,,61.8,51.1,10.7
India,"Calendar Year (Jan - Dec), 2011",Chandigarh, No notified ST,86.0,,
India,"Calendar Year (Jan - Dec), 2011",Chhattisgarh,,70.3,59.1,11.2
India,"Calendar Year (Jan - Dec), 2011","Dadra & Nagar 
Haveli",,76.2,61.9,14.4
India,"Calendar Year (Jan - Dec), 2011",Daman & Diu,,87.1,78.8,8.3
India,"Calendar Year (Jan - Dec), 2011",Delhi, No notified ST,86.2,,
India,"Calendar Year (Jan - Dec), 2011",Goa,,88.7,79.1,9.6
India,"Calendar Year (Jan - Dec), 2011",Gujarat,,78.0,62.5,15.6
India,"Calendar Year (Jan - Dec), 2011",Haryana , No notified ST,75.6,,
India,"Calendar Year (Jan - Dec), 2011",Himachal Pr.,,82.8,73.6,9.2
India,"Calendar Year (Jan - Dec), 2011",INDIA,,73.0,59.0,14.0
India,"Calendar Year (Jan - Dec), 2011",Jammu & Kashmir,,67.2,50.6,16.6
India,"Calendar Year (Jan - Dec), 2011",Jharkhand,,66.4,57.1,9.3
India,"Calendar Year (Jan - Dec), 2011",Karnataka,,75.4,62.1,13.3
India,"Calendar Year (Jan - Dec), 2011",Kerala,,94.0,75.8,18.2
India,"Calendar Year (Jan - Dec), 2011",Lakshadweep,,91.8,91.7,0.1
India,"Calendar Year (Jan - Dec), 2011",Madhya Pradesh,,69.3,50.6,18.8
