Country,State,District,Year,"Percentage Of Literacy Rate Of Persons  (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Literacy Rate Of Male (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Literacy Rate Of Female (UOM:%(Percentage)), Scaling Factor:1"
India,Andhra Pradesh,Visakhapatnam,"Calendar Year (Jan - Dec), 2011",44.9,55.6,34.7
India,Chhattisgarh,Bijapur,"Calendar Year (Jan - Dec), 2011",34.5,43.3,26.0
India,Chhattisgarh,Dakshin Bastar Dantewada,"Calendar Year (Jan - Dec), 2011",32.9,42.0,24.2
India,Gujarat,Surendranagar,"Calendar Year (Jan - Dec), 2011",44.3,56.4,31.5
India,Jammu and Kashmir,Anantnag,"Calendar Year (Jan - Dec), 2011",34.1,41.9,25.5
India,Jammu and Kashmir,Baramulla,"Calendar Year (Jan - Dec), 2011",43.7,56.5,28.7
India,Jammu and Kashmir,Budgam,"Calendar Year (Jan - Dec), 2011",41.4,48.7,33.5
India,Jammu and Kashmir,Doda,"Calendar Year (Jan - Dec), 2011",46.4,59.5,32.2
India,Jammu and Kashmir,Ganderbal,"Calendar Year (Jan - Dec), 2011",43.6,53.4,32.4
India,Jammu and Kashmir,Kathua,"Calendar Year (Jan - Dec), 2011",45.6,57.1,33.1
India,Jammu and Kashmir,Kishtwar,"Calendar Year (Jan - Dec), 2011",29.0,37.3,19.8
India,Jammu and Kashmir,Kulgam,"Calendar Year (Jan - Dec), 2011",27.9,33.6,21.6
India,Jammu and Kashmir,Kupwara,"Calendar Year (Jan - Dec), 2011",43.8,53.5,33.1
India,Jammu and Kashmir,Pulwama,"Calendar Year (Jan - Dec), 2011",31.8,40.2,22.6
India,Jammu and Kashmir,Ramban,"Calendar Year (Jan - Dec), 2011",35.4,44.8,24.8
India,Jammu and Kashmir,Reasi,"Calendar Year (Jan - Dec), 2011",39.4,48.4,29.5
India,Jammu and Kashmir,Shopian,"Calendar Year (Jan - Dec), 2011",36.4,44.0,28.1
India,Jammu and Kashmir,Srinagar,"Calendar Year (Jan - Dec), 2011",45.8,54.4,34.6
India,Jammu and Kashmir,Udhampur,"Calendar Year (Jan - Dec), 2011",44.3,56.5,31.3
India,Jharkhand,Deoghar,"Calendar Year (Jan - Dec), 2011",48.3,61.9,34.4
India,Jharkhand,Giridih,"Calendar Year (Jan - Dec), 2011",46.1,58.5,33.3
India,Jharkhand,Godda,"Calendar Year (Jan - Dec), 2011",43.7,55.3,32.3
India,Jharkhand,Koderma,"Calendar Year (Jan - Dec), 2011",39.4,49.4,28.3
India,Jharkhand,Pakur,"Calendar Year (Jan - Dec), 2011",41.7,51.4,32.3
India,Jharkhand,Sahebganj,"Calendar Year (Jan - Dec), 2011",40.0,48.8,31.2
India,Karnataka,Raichur,"Calendar Year (Jan - Dec), 2011",44.4,55.8,33.3
India,Karnataka,Yadgir,"Calendar Year (Jan - Dec), 2011",43.6,54.5,32.7
India,Madhya Pradesh,Alirajpur,"Calendar Year (Jan - Dec), 2011",32.4,38.2,26.7
India,Madhya Pradesh,Ashoknagar,"Calendar Year (Jan - Dec), 2011",41.4,51.3,30.9
India,Madhya Pradesh,Barwani,"Calendar Year (Jan - Dec), 2011",39.3,45.0,33.6
India,Madhya Pradesh,Burhanpur,"Calendar Year (Jan - Dec), 2011",38.7,46.3,30.9
India,Madhya Pradesh,Chhatarpur,"Calendar Year (Jan - Dec), 2011",42.7,50.3,34.4
India,Madhya Pradesh,Guna,"Calendar Year (Jan - Dec), 2011",43.7,52.2,34.8
India,Madhya Pradesh,Jhabua,"Calendar Year (Jan - Dec), 2011",37.2,46.7,27.9
India,Madhya Pradesh,Neemuch,"Calendar Year (Jan - Dec), 2011",43.7,54.8,32.0
India,Madhya Pradesh,Sheopur,"Calendar Year (Jan - Dec), 2011",40.7,49.6,31.5
India,Madhya Pradesh,Shivpuri,"Calendar Year (Jan - Dec), 2011",41.4,51.5,30.7
India,Madhya Pradesh,Tikamgarh,"Calendar Year (Jan - Dec), 2011",41.3,49.2,32.9
India,Odisha,Bhadrak,"Calendar Year (Jan - Dec), 2011",43.5,53.2,33.6
India,Odisha,Gajapati,"Calendar Year (Jan - Dec), 2011",43.7,55.4,32.8
India,Odisha,Koraput,"Calendar Year (Jan - Dec), 2011",35.4,46.2,25.4
India,Odisha,Malkangiri,"Calendar Year (Jan - Dec), 2011",35.2,44.9,26.3
India,Odisha,Nabarangpur,"Calendar Year (Jan - Dec), 2011",38.5,49.5,28.0
India,Odisha,Rayagada,"Calendar Year (Jan - Dec), 2011",36.7,47.9,26.7
India,Rajasthan,Ajmer,"Calendar Year (Jan - Dec), 2011",49.0,63.9,33.6
India,Rajasthan,Barmer,"Calendar Year (Jan - Dec), 2011",38.1,53.0,21.4
India,Rajasthan,Bhilwara,"Calendar Year (Jan - Dec), 2011",43.6,58.2,28.4
India,Rajasthan,Chittorgarh,"Calendar Year (Jan - Dec), 2011",39.2,53.0,25.2
India,Rajasthan,Jaisalmer,"Calendar Year (Jan - Dec), 2011",42.1,57.3,24.9
India,Rajasthan,Jalore,"Calendar Year (Jan - Dec), 2011",33.4,46.9,18.7
India,Rajasthan,Pali,"Calendar Year (Jan - Dec), 2011",41.0,55.1,26.1
India,Rajasthan,Pratapgarh,"Calendar Year (Jan - Dec), 2011",44.7,58.4,31.0
India,Rajasthan,Rajsamand,"Calendar Year (Jan - Dec), 2011",42.0,57.8,26.2
India,Rajasthan,Sirohi,"Calendar Year (Jan - Dec), 2011",32.9,47.2,18.2
India,Rajasthan,Udaipur,"Calendar Year (Jan - Dec), 2011",46.9,61.2,32.2
India,Telangana,Mahabubnagar,"Calendar Year (Jan - Dec), 2011",42.3,53.7,30.4
