Country,State,Year,Residence Type,"Scheduled Tribes (St) Population Below The Poverty Line (%) (UOM:%(Percentage)), Scaling Factor:1"
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2011",Rural,24.1
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2011",Urban,12.1
India,Assam,"Calendar Year (Jan - Dec), 2011",Rural,33.4
India,Assam,"Calendar Year (Jan - Dec), 2011",Urban,15.6
India,Bihar,"Calendar Year (Jan - Dec), 2011",Rural,59.3
India,Bihar,"Calendar Year (Jan - Dec), 2011",Urban,10.3
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2011",Rural,52.6
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2011",Urban,35.2
India,Gujarat,"Calendar Year (Jan - Dec), 2011",Rural,36.5
India,Gujarat,"Calendar Year (Jan - Dec), 2011",Urban,30.1
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2011",Rural,9.5
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2011",Urban,4
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2011",Rural,16.3
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2011",Urban,3
India,Jharkhand,"Calendar Year (Jan - Dec), 2011",Rural,51.6
India,Jharkhand,"Calendar Year (Jan - Dec), 2011",Urban,28.7
India,Karnataka,"Calendar Year (Jan - Dec), 2011",Rural,30.8
India,Karnataka,"Calendar Year (Jan - Dec), 2011",Urban,33.7
India,Kerala,"Calendar Year (Jan - Dec), 2011",Rural,41
India,Kerala,"Calendar Year (Jan - Dec), 2011",Urban,13.6
India,Ladakh,"Calendar Year (Jan - Dec), 2011",Rural,16.3
India,Ladakh,"Calendar Year (Jan - Dec), 2011",Urban,3
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2011",Rural,55.3
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2011",Urban,32.3
India,Maharashtra,"Calendar Year (Jan - Dec), 2011",Rural,61.6
India,Maharashtra,"Calendar Year (Jan - Dec), 2011",Urban,23.3
India,Odisha,"Calendar Year (Jan - Dec), 2011",Rural,63.5
India,Odisha,"Calendar Year (Jan - Dec), 2011",Urban,39.7
India,Rajasthan,"Calendar Year (Jan - Dec), 2011",Rural,41.4
India,Rajasthan,"Calendar Year (Jan - Dec), 2011",Urban,21.7
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2011",Rural,36.8
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2011",Urban,2.8
India,Telangana,"Calendar Year (Jan - Dec), 2011",Rural,24.1
India,Telangana,"Calendar Year (Jan - Dec), 2011",Urban,12.1
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2011",Rural,27
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2011",Urban,16.3
India,Uttarakhand,"Calendar Year (Jan - Dec), 2011",Rural,11.9
India,Uttarakhand,"Calendar Year (Jan - Dec), 2011",Urban,25.7
India,West Bengal,"Calendar Year (Jan - Dec), 2011",Rural,50.1
India,West Bengal,"Calendar Year (Jan - Dec), 2011",Urban,44.5
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2009",Rural,40.2
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2009",Urban,21.2
India,Assam,"Calendar Year (Jan - Dec), 2009",Rural,32
India,Assam,"Calendar Year (Jan - Dec), 2009",Urban,29.2
India,Bihar,"Calendar Year (Jan - Dec), 2009",Rural,64.4
India,Bihar,"Calendar Year (Jan - Dec), 2009",Urban,16.5
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2009",Rural,66.8
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2009",Urban,28.6
India,Gujarat,"Calendar Year (Jan - Dec), 2009",Rural,48.6
India,Gujarat,"Calendar Year (Jan - Dec), 2009",Urban,32.2
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2009",Rural,22
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2009",Urban,19.6
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2009",Rural,3.1
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2009",Urban,15
India,Jharkhand,"Calendar Year (Jan - Dec), 2009",Rural,51.5
India,Jharkhand,"Calendar Year (Jan - Dec), 2009",Urban,49.5
India,Karnataka,"Calendar Year (Jan - Dec), 2009",Rural,21.3
India,Karnataka,"Calendar Year (Jan - Dec), 2009",Urban,35.6
India,Kerala,"Calendar Year (Jan - Dec), 2009",Rural,24.4
India,Kerala,"Calendar Year (Jan - Dec), 2009",Urban,5
India,Ladakh,"Calendar Year (Jan - Dec), 2009",Rural,3.1
India,Ladakh,"Calendar Year (Jan - Dec), 2009",Urban,15
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2009",Rural,61.9
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2009",Urban,41.6
India,Maharashtra,"Calendar Year (Jan - Dec), 2009",Rural,51.7
India,Maharashtra,"Calendar Year (Jan - Dec), 2009",Urban,32.4
India,Odisha,"Calendar Year (Jan - Dec), 2009",Rural,66
India,Odisha,"Calendar Year (Jan - Dec), 2009",Urban,34.1
India,Rajasthan,"Calendar Year (Jan - Dec), 2009",Rural,35.9
India,Rajasthan,"Calendar Year (Jan - Dec), 2009",Urban,28.9
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2009",Rural,11.5
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2009",Urban,17.6
India,Telangana,"Calendar Year (Jan - Dec), 2009",Rural,40.2
India,Telangana,"Calendar Year (Jan - Dec), 2009",Urban,21.2
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2009",Rural,49.8
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2009",Urban,20.2
India,Uttarakhand,"Calendar Year (Jan - Dec), 2009",Rural,20
India,Uttarakhand,"Calendar Year (Jan - Dec), 2009",Urban,0
India,West Bengal,"Calendar Year (Jan - Dec), 2009",Rural,32.9
India,West Bengal,"Calendar Year (Jan - Dec), 2009",Urban,20.6
