Country,State,Year,Name Of The Region,Additional Info,"Scheduled Caste (Sc) Population (UOM:Number), Scaling Factor:1","Scheduled Tribe (St) Population (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2011",Rural,# No notified STs,0,26715.0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2011",Urban,# No notified STs,0,1815.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2011",Rural,,6913047,5232129.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2011",Urban,,6965031,685944.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2011",Rural,,0,789846.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2011",Urban,,0,161975.0
India,Assam,"Calendar Year (Jan - Dec), 2011",Rural,,1145314,3665405.0
India,Assam,"Calendar Year (Jan - Dec), 2011",Urban,,1086007,218966.0
India,Bihar,"Calendar Year (Jan - Dec), 2011",Rural,,8606253,1270851.0
India,Bihar,"Calendar Year (Jan - Dec), 2011",Urban,,7961072,65722.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2011",Rural,"# No Notified STs, blank-NST",106356,
India,Chandigarh,"Calendar Year (Jan - Dec), 2011",Urban,"# No Notified STs, blank-NST",92730,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2011",Rural,,1641738,7231082.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2011",Urban,,1632531,591820.0
India,Delhi,"Calendar Year (Jan - Dec), 2011",Rural,"# No Notified STs, blank-NST",1488800,
India,Delhi,"Calendar Year (Jan - Dec), 2011",Urban,"# No Notified STs, blank-NST",1323509,
India,Goa,"Calendar Year (Jan - Dec), 2011",Rural,,12627,87639.0
India,Goa,"Calendar Year (Jan - Dec), 2011",Urban,,12822,61636.0
India,Gujarat,"Calendar Year (Jan - Dec), 2011",Rural,,2110331,8021848.0
India,Gujarat,"Calendar Year (Jan - Dec), 2011",Urban,,1964116,895326.0
India,Haryana,"Calendar Year (Jan - Dec), 2011",Rural,"# No Notified STs, blank-NST",2709656,
India,Haryana,"Calendar Year (Jan - Dec), 2011",Urban,"# No Notified STs, blank-NST",2403959,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2011",Rural,,876300,374392.0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2011",Urban,,852952,17734.0
