Sl. No.,State/UT,Post-Matric UC Status - 2019-20 - Release,Post-Matric UC Status - 2019-20 - Fund Utilized,Post-Matric UC Status - 2020-21 - Release,Post-Matric UC Status - 2020-21 - Fund Utilized,Post-Matric UC Status - 2021-22 - Release,Post-Matric UC Status - 2021-22 - Fund Utilized,Post-Matric UC Status - 2022-23 - Release,Post-Matric UC Status - 2022-23 - Fund Utilized,Post-Matric UC Status - 2023-24 - Release,Post-Matric UC Status - 2023-24 - Fund Utilized,Pre-Matric UC Status - 2019-20 - Fund Released,Pre-Matric UC Status - 2019-20 - Fund Utilized,Pre-Matric UC Status - 2020-21 - Fund Released,Pre-Matric UC Status - 2020-21 - Fund Utilized,Pre-Matric UC Status - 2021-22 - Fund Released,Pre-Matric UC Status - 2021-22 - Fund Utilized,Pre-Matric UC Status - 2022-23 - Fund Released,Pre-Matric UC Status - 2022-23 - Fund Utilized,Pre-Matric UC Status - 2023-24 - Fund Released,Pre-Matric UC Status - 2023-24 - Fund Utilized
1,Andaman and Nicobar Islands,11.34,11.34,13.29,13.29,10.35,10.3,0,0,0,0,5.62,5.62,12.33,12.33,8.03,6.04,0,0,0,0
2,Andhra Pradesh,7797.07,7797.07,6039.35,6039.35,8991.45,8991.45,13356.5,13356.5,11471.08,0,736.32,736.32,1433.81,1433.81,3935.06,3935.06,0,0,5700.16,5700.16
3,Arunachal Pradesh,6113.41,6113.41,5712.96,5712.96,12360.5,12360.5,9616.49,9616.49,8000,8000,0,0,0,0,207.3,207.3,267.44,0,0,0
4,Assam,4867.2,4867.2,5413.54,5413.54,1093.4,1093.4,6845.47,6845.47,3500,3499.81,0,0,17.27,17.27,102.19,102.19,107.41,107.41,187.5,141.22
5,Bihar,1525.43,1525.43,708.22,539.1,0,0,0,0,0,0,7131.47,6773.33,0,0,0,0,0,0,0,0
6,Chhattisgarh,7022.69,7022.69,8790.24,8790.24,0,0,9330.35,9330.35,7125,7125,4796.94,4796.94,3541.54,3541.54,0,0,0,0,5250,0
7,Dadra and Nagar Haveli and Daman and Diu,88.66,88.66,3481.73,3481.73,0,0,0,0,403.75,403.73,38.49,38.49,234,234,206.62,0,0,0,0,0
8,Daman and Diu,0,0,0,0,0,0,0,0,0,0,5.89,5.89,0,0,0,0,0,0,0,0
9,Goa,732.79,732.79,458.18,458.18,0,0,1187.23,1187.23,526.54,526.54,80.56,80.56,41.35,41.35,0,0,108.18,108.18,52.5,20.43
10,Gujarat,14004.48,14004.48,22977.64,22977.64,46170.25,46170.25,24426.38,24426.38,35000,19400,5248.34,5248.34,2198.84,2198.84,3689.18,3689.18,5451.67,5451.67,6200,0
11,Himachal Pradesh,2468.81,2250.39,0,0,0,0,0,0,0,0,83.92,83.92,91.87,91.87,0,0,79.02,79.02,110,101.09
12,Jammu and Kashmir,1048.29,1048.29,805.44,805.44,0,0,683.57,683.57,746.25,746.25,0,0,0,0,0,0,0,0,0,0
13,Jharkhand,7862.86,7862.86,0,0,12654.88,12654.88,0,0,5310.66,5310.66,1514.49,1514.49,0,0,3899.03,3899.03,0,0,5700,0
14,Karnataka,15003.43,15003.43,0,0,17080.51,17080.51,0,0,22556.05,22556.05,1846.92,1846.92,0,0,1753.16,1753.16,2370.04,2370.04,3400,2550
15,Kerala,1641.52,1641.52,3285.25,3285.25,2516.49,2516.49,0,0,4689.34,0,287.31,287.31,116.56,116.56,347.07,347.07,0,0,436.46,0
16,Ladakh,0,0,738,738,2214,2214,1891.27,1891.27,596.25,596.25,0,0,42.27,42.27,74.22,74.22,0,0,0,0
17,Madhya Pradesh,12198.58,12198.58,12344,12344,24529.43,24529.43,27048.58,27048.58,35000,35000,7698.9,7698.9,5429.34,5429.34,11458.18,11458.18,12743.85,6964.49,0,0
18,Maharashtra,15575.38,15575.38,18149.52,18149.52,19214.82,19214.82,9026.85,9026.85,57035.8,56371.8,0,0,0,0,0,0,0,0,0,0
19,Manipur,6235.55,6235.55,2184.19,2184.19,4292.15,4292.15,4137.54,4137.54,3000,1647.77,443.33,220.26,0,0,0,0,0,0,0,0
20,Meghalaya,0,0,0,0,2636.09,2636.09,14619.79,14619.79,8500,5500,0,0,0,0,0,0,115.48,106.67,0,0
21,Mizoram,4415.78,4415.78,3446.82,3446.82,3874.64,3874.64,2590.31,2590.31,2500,0,702.21,702.21,167.86,167.86,657.47,657.47,0,0,306.89,0
22,Nagaland,3268.73,3268.73,3226.37,3226.37,4435.75,4435.75,3608.43,3608.43,3500,0,0,0,60.75,47.03,0,0,0,0,0,0
23,Orissa,16640.15,16640.15,19095.97,19095.97,21842.98,21842.98,17133.3,17125.25,13564.1,13564.1,6157.65,6157.65,6944.96,6944.96,5236.75,5236.75,9397.06,5266.47,0,0
24,Puducherry,0,0,19.56,2.32,0,0,0,0,0,0,0,0,1.63,1.14,0,0,0,0,0,0
25,Rajasthan,25950.52,25950.52,25557.03,25557.03,13744.7,13744.7,18810.1,18810.1,22000,21920.15,5346.97,5346.97,3126.9,3126.9,6234.34,6234.34,3530.8,3182.27,0,0
26,Sikkim,566.8,566.8,553.83,553.83,1036.28,1036.28,925.44,735.93,0,0,3.57,3.57,9.41,9.41,0,0,17.84,8.91,0,0
27,Tamil Nadu,5025.19,5025.19,3328.99,3328.99,4849.38,4849.38,2854.28,2854.28,2000,2000,589.74,589.74,241,241,546.55,546.55,404.46,404.46,362.34,300
28,Telangana,19610.6,19610.6,27297.83,27297.83,7503.9,7503.9,23851.18,23851.18,11250,11250,0,0,0,0,0,0,0,0,150,0
29,Tripura,2355.78,2355.78,4804.98,4804.98,7188.77,7188.77,4522.33,4522.33,4000,3993.9,386.18,386.18,252.09,252.09,58.55,58.55,1136.76,1124.1,0,0
30,Uttar Pradesh,1822.71,1822.71,2218.67,2218.67,0,0,0,0,1000,503.54,0,0,0,0,88.17,0,0,0,0,0
31,Uttarakhand,0,0,0,0,3568.37,3568.37,0,0,187.5,187.5,0,0,138.24,138.24,0,0,0,0,15,15
32,West Bengal,2411,2411,2256.42,2256.42,3872.05,3872.05,0,0,3405.83,0,894.18,894.18,788.22,788.22,912.51,912.51,0,0,2988.85,0
Total,Total,186264.75,186046.33,182908.02,182721.66,225681.13,225681.08,196465.39,196267.83,266868.15,220103.05,43999,43417.79,24890.24,24876.03,39414.37,39117.59,35730,25173.68,30859.7,8827.9
