Country,State,Year,"Distribution Of Tribal Villages By Greater Than 25% Tribals (UOM:%(Percentage)), Scaling Factor:1","Distribution Of Tribal Villages By Greater Than 50% Tribals (UOM:%(Percentage)), Scaling Factor:1","Distribution Of Tribal Villages By Greater Than 75% Tribals (UOM:%(Percentage)), Scaling Factor:1","Distribution Of Tribal Villages By Greater Than 90% Tribals (UOM:%(Percentage)), Scaling Factor:1","Distribution Of Tribal Villages By 100% Tribals (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2011",93.0,89.0,84.0,77.0,41.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2011",6748.0,5335.0,4515.0,3928.0,1466.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2011",4859.0,4667.0,4367.0,3929.0,2382.0
India,Assam,"Calendar Year (Jan - Dec), 2011",8066.0,6626.0,5406.0,4562.0,1503.0
India,Bihar,"Calendar Year (Jan - Dec), 2011",1155.0,720.0,447.0,295.0,98.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2011",12298.0,9418.0,5926.0,3200.0,1076.0
India,Delhi,"Calendar Year (Jan - Dec), 2011",,,,,
India,Goa,"Calendar Year (Jan - Dec), 2011",78.0,38.0,19.0,11.0,2.0
India,Gujarat,"Calendar Year (Jan - Dec), 2011",6085.0,4970.0,4089.0,3531.0,935.0
India,Haryana,"Calendar Year (Jan - Dec), 2011",,,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2011",1411.0,966.0,682.0,490.0,230.0
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2011",1295.0,766.0,488.0,369.0,89.0
India,Jharkhand,"Calendar Year (Jan - Dec), 2011",15171.0,12239.0,9008.0,6370.0,2451.0
India,Karnataka,"Calendar Year (Jan - Dec), 2011",3000.0,1083.0,447.0,224.0,61.0
India,Kerala,"Calendar Year (Jan - Dec), 2011",26.0,6.0,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2011",6.0,5.0,5.0,4.0,1.0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2011",20927.0,15022.0,10687.0,7338.0,1619.0
India,Maharashtra,"Calendar Year (Jan - Dec), 2011",10257.0,6738.0,4836.0,3760.0,930.0
India,Manipur,"Calendar Year (Jan - Dec), 2011",1905.0,1887.0,1844.0,1741.0,554.0
India,Meghalaya,"Calendar Year (Jan - Dec), 2011",6262.0,6205.0,6099.0,5867.0,1890.0
India,Mizoram,"Calendar Year (Jan - Dec), 2011",700.0,699.0,684.0,651.0,130.0
India,Nagaland,"Calendar Year (Jan - Dec), 2011",1388.0,1351.0,1265.0,1136.0,215.0
India,Odisha,"Calendar Year (Jan - Dec), 2011",23208.0,17798.0,12396.0,8684.0,3839.0
India,Puducherry,"Calendar Year (Jan - Dec), 2011",,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2011",,,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2011",10654.0,7763.0,5701.0,4456.0,1152.0
India,Sikkim,"Calendar Year (Jan - Dec), 2011",285.0,138.0,51.0,17.0,2.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2011",391.0,320.0,282.0,231.0,46.0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2011",73.0,67.0,60.0,46.0,5.0
India,Tripura,"Calendar Year (Jan - Dec), 2011",564.0,466.0,385.0,301.0,22.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2011",623.0,340.0,197.0,124.0,23.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2011",640.0,419.0,174.0,85.0,35.0
India,West Bengal,"Calendar Year (Jan - Dec), 2011",7454.0,3977.0,2357.0,1629.0,711.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2001",167.0,163.0,157.0,141.0,112.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2001",6589.0,5239.0,4444.0,3812.0,2407.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2001",3555.0,3378.0,3144.0,2894.0,2165.0
India,Assam,"Calendar Year (Jan - Dec), 2001",7689.0,6311.0,5107.0,4309.0,2772.0
India,Bihar,"Calendar Year (Jan - Dec), 2001",989.0,611.0,399.0,287.0,177.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2001",12392.0,9441.0,5956.0,3242.0,1083.0
India,Delhi,"Calendar Year (Jan - Dec), 2001",,,,,
India,Goa,"Calendar Year (Jan - Dec), 2001",,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2001",6089.0,4934.0,4007.0,3446.0,1345.0
India,Haryana,"Calendar Year (Jan - Dec), 2001",,,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2001",1011.0,808.0,611.0,444.0,248.0
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2001",1168.0,711.0,460.0,358.0,157.0
India,Jharkhand,"Calendar Year (Jan - Dec), 2001",15015.0,12118.0,8870.0,6291.0,3317.0
India,Karnataka,"Calendar Year (Jan - Dec), 2001",2799.0,1032.0,438.0,224.0,78.0
India,Kerala,"Calendar Year (Jan - Dec), 2001",25.0,5.0,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2001",8.0,8.0,8.0,7.0,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2001",20780.0,14927.0,10714.0,7412.0,2670.0
India,Maharashtra,"Calendar Year (Jan - Dec), 2001",9944.0,6640.0,4785.0,3614.0,1214.0
India,Manipur,"Calendar Year (Jan - Dec), 2001",1722.0,1694.0,1663.0,1586.0,1244.0
India,Meghalaya,"Calendar Year (Jan - Dec), 2001",5621.0,5575.0,5460.0,5257.0,3944.0
India,Mizoram,"Calendar Year (Jan - Dec), 2001",702.0,697.0,677.0,642.0,370.0
India,Nagaland,"Calendar Year (Jan - Dec), 2001",1271.0,1247.0,1201.0,1105.0,551.0
India,Odisha,"Calendar Year (Jan - Dec), 2001",23000.0,17531.0,12249.0,8688.0,5085.0
India,Puducherry,"Calendar Year (Jan - Dec), 2001",,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2001",,,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2001",9571.0,6872.0,4820.0,3468.0,1538.0
India,Sikkim,"Calendar Year (Jan - Dec), 2001",178.0,77.0,36.0,12.0,4.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2001",391.0,323.0,267.0,210.0,75.0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2001",78.0,68.0,59.0,46.0,9.0
India,Tripura,"Calendar Year (Jan - Dec), 2001",549.0,451.0,377.0,302.0,123.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2001",93.0,74.0,63.0,49.0,20.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2001",650.0,461.0,234.0,102.0,42.0
India,West Bengal,"Calendar Year (Jan - Dec), 2001",7256.0,3900.0,2302.0,1601.0,992.0
