sample,predictor,outcome,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,predictor_label,outcome_label
high_st_states,st_literacy_rate_pct,employment_pu_person_per_1000,18,0.6177,0.0063,0.7334,0.0005,0.6177,ST literacy,Unemployment
high_st_states,dropout_secondary_pct,employment_pu_person_per_1000,18,-0.3165,0.2007,-0.4095,0.0915,0.3165,Secondary dropout,Unemployment
high_st_states,dropout_secondary_pct,employment_wpr_person_per_1000,18,0.5091,0.0309,0.6174,0.0063,0.5091,Secondary dropout,WPR
high_st_states,st_literacy_rate_pct,employment_wpr_person_per_1000,18,-0.4766,0.0455,-0.3463,0.1593,0.4766,ST literacy,WPR
high_st_states,st_literacy_rate_pct,mgnreg_sought_not_received_per_1000,18,-0.5271,0.0246,-0.5041,0.0329,0.5271,ST literacy,MGNREG unmet demand
high_st_states,dropout_secondary_pct,mgnreg_sought_not_received_per_1000,19,0.5114,0.0252,0.4702,0.0422,0.5114,Secondary dropout,MGNREG unmet demand
high_st_states,st_literacy_rate_pct,mgnreg_work_100_plus_days_per_1000,18,0.2882,0.2461,-0.1142,0.6519,0.2882,ST literacy,MGNREG 100-plus-days
high_st_states,dropout_secondary_pct,mgnreg_work_100_plus_days_per_1000,19,-0.0462,0.8511,-0.0467,0.8493,0.0462,Secondary dropout,MGNREG 100-plus-days
high_st_states,dropout_secondary_pct,st_bpl_mean_pct,9,0.5266,0.1453,0.55,0.125,0.5266,Secondary dropout,ST poverty
high_st_states,st_literacy_rate_pct,st_bpl_mean_pct,9,-0.0652,0.8676,-0.1172,0.764,0.0652,ST literacy,ST poverty
