sample,x,y,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r
high_st_states,dropout_secondary_pct,mgnreg_sought_not_received_per_1000,19,0.5114,0.0252,0.4702,0.0422,0.5114
high_st_states,ger_latest_secondary_total_clean,mgnreg_100_plus_share_of_work_received_pct,18,0.5017,0.0339,0.3727,0.1278,0.5017
high_st_states,ger_latest_secondary_girls_clean,mgnreg_100_plus_share_of_work_received_pct,18,0.4754,0.0462,0.3216,0.1931,0.4754
high_st_states,ger_latest_secondary_total_clean,mgnreg_work_100_plus_days_per_1000,19,0.4661,0.0443,0.3173,0.1856,0.4661
high_st_states,ger_latest_secondary_girls_clean,mgnreg_work_100_plus_days_per_1000,19,0.4561,0.0497,0.273,0.2581,0.4561
high_st_states,dropout_secondary_pct,mgnreg_average_days_worked,19,-0.2808,0.2442,-0.4276,0.0678,0.2808
high_st_states,gpi_secondary_clean,mgnreg_work_received_any_days_per_1000,19,0.1865,0.4445,0.2732,0.2578,0.1865
high_st_states,ger_latest_secondary_girls_clean,mgnreg_average_days_worked,19,0.1832,0.4528,0.2037,0.4029,0.1832
high_st_states,dropout_secondary_pct,mgnreg_work_received_any_days_per_1000,19,-0.1742,0.4757,-0.1877,0.4415,0.1742
high_st_states,ger_latest_secondary_total_clean,mgnreg_average_days_worked,19,0.1574,0.5199,0.1106,0.6521,0.1574
high_st_states,ger_latest_secondary_total_clean,mgnreg_sought_not_received_per_1000,19,0.1559,0.5239,0.2,0.4117,0.1559
high_st_states,gpi_secondary_clean,mgnreg_job_card_households_per_1000,19,0.152,0.5345,0.2328,0.3374,0.152
high_st_states,ger_latest_secondary_girls_clean,mgnreg_sought_not_received_per_1000,19,0.1392,0.5699,0.1175,0.6318,0.1392
high_st_states,gpi_secondary_clean,mgnreg_sought_not_received_per_1000,19,-0.0931,0.7047,-0.1778,0.4664,0.0931
high_st_states,dropout_secondary_pct,mgnreg_100_plus_share_of_work_received_pct,18,-0.0682,0.7881,-0.1049,0.6788,0.0682
high_st_states,dropout_secondary_pct,mgnreg_job_card_households_per_1000,19,-0.0571,0.8165,-0.0544,0.825,0.0571
high_st_states,ger_latest_secondary_girls_clean,mgnreg_work_received_any_days_per_1000,19,0.0523,0.8317,0.1211,0.6215,0.0523
high_st_states,dropout_secondary_pct,mgnreg_work_100_plus_days_per_1000,19,-0.0462,0.8511,-0.0467,0.8493,0.0462
high_st_states,gpi_secondary_clean,mgnreg_100_plus_share_of_work_received_pct,18,-0.0344,0.8923,-0.1768,0.4828,0.0344
high_st_states,ger_latest_secondary_total_clean,mgnreg_work_received_any_days_per_1000,19,0.019,0.9386,0.0404,0.8697,0.019
high_st_states,ger_latest_secondary_total_clean,mgnreg_job_card_households_per_1000,19,-0.0186,0.9397,-0.007,0.9773,0.0186
high_st_states,ger_latest_secondary_girls_clean,mgnreg_job_card_households_per_1000,19,-0.0092,0.9701,0.0491,0.8417,0.0092
high_st_states,gpi_secondary_clean,mgnreg_average_days_worked,19,0.0073,0.9764,0.0817,0.7397,0.0073
high_st_states,gpi_secondary_clean,mgnreg_work_100_plus_days_per_1000,19,0.0041,0.9866,-0.2249,0.3546,0.0041
