,st_literacy_rate_pct,literacy_gap_pct,ger_classes_ix_xii,ger_classes_ix_xii_girls,ger_classes_ix_xii_gpi,ger_latest_ix_xii_avg,ger_latest_ix_xii_avg_girls,gpi_ix_xii_avg,dropout_secondary_pct,st_bpl_mean_pct,scholarship_total_release_2023_24_lakh_per_100k_st_pop,scholarship_utilization_2023_24_pct,employment_lfpr_person_per_1000,employment_wpr_person_per_1000,employment_pu_person_per_1000,mgnreg_sought_not_received_per_1000,mgnreg_work_100_plus_days_per_1000,mgnreg_100_plus_share_of_work_received_pct,overall_priority_score
st_literacy_rate_pct,1.0,-0.7177139194889555,0.19046984175156634,0.1932479101650674,0.6301421480686213,-0.08281569977636595,-0.042639522896657754,0.2751065822756877,-0.4796090286723497,-0.10175482500404706,0.1744931147450475,-0.30209245240757804,-0.2710250128360679,-0.36061208618354607,0.6304453307507613,-0.4912570791968878,-0.07194464369308813,0.11961047788891789,-0.7868624455227393
literacy_gap_pct,-0.7177139194889555,1.0,-0.0158316815339718,-0.01678723339979572,-0.2840255942121819,0.29650316811863453,0.2752935867540901,-0.2701100578787884,0.40013072645612935,0.1475097242572148,0.09448772848107784,0.1217873483511094,0.32368680756046414,0.3742370154324507,-0.4362767952548223,0.03908299185539173,0.05712266098742933,0.035381374810567,0.7206397755261903
ger_classes_ix_xii,0.19046984175156634,-0.0158316815339718,1.0,0.9999371467963464,0.14074813796634048,0.017323553581674797,0.03766422243339155,0.06097756407907133,-0.2858013413054687,-0.288638844135953,0.08661273918911874,0.1362872605103535,-0.23456440352277869,-0.2212549640072797,0.038721401652505726,-0.22437460840676687,-0.06572857785455773,0.029366255239304775,-0.22198204646900707
ger_classes_ix_xii_girls,0.1932479101650674,-0.01678723339979572,0.9999371467963464,1.0,0.14603098220403848,0.010314747121587052,0.03121072037658354,0.06291272048078,-0.28600619154680834,-0.3287151064659659,0.0882416506440673,0.13690952497008596,-0.23323964299448308,-0.22053071555552553,0.04140382766804248,-0.22784192204018447,-0.06527673478987585,0.06343248699343756,-0.22400952691697718
ger_classes_ix_xii_gpi,0.6301421480686213,-0.2840255942121819,0.14074813796634048,0.14603098220403848,1.0,0.02841729289986145,0.11675914260897764,0.4956506359718007,-0.23917074144928163,-0.20241960839590684,0.18370049990211076,-0.27263523349787333,0.07998148336569183,0.005596487142213238,0.3720443598618479,-0.5732831085018614,0.033545565263950444,0.21606805989179392,-0.5476197704570539
ger_latest_ix_xii_avg,-0.08281569977636595,0.29650316811863453,0.017323553581674797,0.010314747121587052,0.02841729289986145,1.0,0.9888031697400617,-0.06278624503809735,-0.07531226516052289,-0.3313996092754463,0.08033892594530903,-0.19503878691899135,0.03266727269209907,0.07009629045396852,-0.2231819589325793,0.015301834532889705,0.26786801526047016,0.21143347492539719,0.0310062821310632
ger_latest_ix_xii_avg_girls,-0.042639522896657754,0.2752935867540901,0.03766422243339155,0.03121072037658354,0.11675914260897764,0.9888031697400617,1.0,0.0670296397361858,-0.046930843549510985,-0.2864173447718233,0.07133450845932088,-0.2259482500309929,0.008290217503327257,0.044513591350675806,-0.20595978393976916,-0.01127724717403879,0.2438904481355065,0.2565862397744075,0.011747571023221605
gpi_ix_xii_avg,0.2751065822756877,-0.2701100578787884,0.06097756407907133,0.06291272048078,0.4956506359718007,-0.06278624503809735,0.0670296397361858,1.0,0.1843659233006663,0.4977463107936308,-0.10825375924834675,-0.41434950643699153,-0.23865709993324707,-0.2650816545718895,0.2536618328870572,-0.04266715985149809,-0.10069741643403649,0.09637116773605428,-0.10005251123989241
dropout_secondary_pct,-0.4796090286723497,0.40013072645612935,-0.2858013413054687,-0.28600619154680834,-0.23917074144928163,-0.07531226516052289,-0.046930843549510985,0.1843659233006663,1.0,0.6644138693352941,-0.0301484187283564,0.03882059792853047,0.2876879198300499,0.29747863886858616,-0.17465948375904178,-0.025750094655261055,-0.181393337991375,-0.21130978453427854,0.7105826619930323
st_bpl_mean_pct,-0.10175482500404706,0.1475097242572148,-0.288638844135953,-0.3287151064659659,-0.20241960839590684,-0.3313996092754463,-0.2864173447718233,0.4977463107936308,0.6644138693352941,1.0,0.11576117147755215,-0.16371755525267503,-0.38173594093097657,-0.37114842243684687,0.12397326051722937,0.3277773802639033,-0.5083600496436599,-0.5206890475613593,0.7366218685848481
