state,demographics_year,total_population,st_population,st_share_state_population_pct,state_share_india_st_population_pct,decadal_growth_pct,high_st_share_year,high_st_share_state_population_pct,high_st_state_share_india_st_population_pct,is_high_st_share_state,literacy_year,total_literacy_rate_pct,st_literacy_rate_pct,literacy_gap_pct,enrolment_year,pre_primary_total,primary_total,upper_primary_total,pre_primary_female_share_pct,primary_female_share_pct,upper_primary_female_share_pct,academic_year,dropout_primary_pct,dropout_upper_primary_pct,dropout_secondary_pct,ger_classes_i_viii_boys,ger_classes_i_viii_girls,ger_classes_i_viii,ger_classes_i_x_boys,ger_classes_i_x_girls,ger_classes_i_x,ger_classes_i_xii_boys,ger_classes_i_xii_girls,ger_classes_i_xii,ger_classes_ix_x_boys,ger_classes_ix_x_girls,ger_classes_ix_x,ger_classes_ix_xii_boys,ger_classes_ix_xii_girls,ger_classes_ix_xii,ger_classes_xi_xii_boys,ger_classes_xi_xii_girls,ger_classes_xi_xii,ger_classes_i_viii_gpi,ger_classes_i_x_gpi,ger_classes_i_xii_gpi,ger_classes_ix_x_gpi,ger_classes_ix_xii_gpi,ger_classes_xi_xii_gpi,ger_year,ger_latest_year,ger_latest_primary_boys,ger_latest_primary_girls,ger_latest_primary_total,ger_latest_upper_primary_boys,ger_latest_upper_primary_girls,ger_latest_upper_primary_total,ger_latest_elementary_boys,ger_latest_elementary_girls,ger_latest_elementary_total,ger_latest_secondary_boys,ger_latest_secondary_girls,ger_latest_secondary_total,ger_latest_higher_secondary_boys,ger_latest_higher_secondary_girls,ger_latest_higher_secondary_total,ger_latest_primary_gpi,ger_latest_upper_primary_gpi,ger_latest_elementary_gpi,ger_latest_secondary_gpi,ger_latest_higher_secondary_gpi,ger_latest_ix_xii_avg_boys,ger_latest_ix_xii_avg_girls,ger_latest_ix_xii_avg_total,ger_latest_ix_xii_avg_gpi,ger_latest_ix_xii_avg,gpi_academic_year,gpi_primary_2021_22,gpi_upper_primary_2021_22,gpi_secondary_2021_22,gpi_higher_secondary_2021_22,gpi_primary_2020_21,gpi_upper_primary_2020_21,gpi_secondary_2020_21,gpi_higher_secondary_2020_21,gpi_primary,gpi_upper_primary,gpi_secondary,gpi_higher_secondary,gpi_ix_xii_avg,scholarship_post_matric_2019_20_release_lakh,scholarship_post_matric_2019_20_utilized_lakh,scholarship_post_matric_2020_21_release_lakh,scholarship_post_matric_2020_21_utilized_lakh,scholarship_post_matric_2021_22_release_lakh,scholarship_post_matric_2021_22_utilized_lakh,scholarship_post_matric_2022_23_release_lakh,scholarship_post_matric_2022_23_utilized_lakh,scholarship_post_matric_2023_24_release_lakh,scholarship_post_matric_2023_24_utilized_lakh,scholarship_pre_matric_2019_20_release_lakh,scholarship_pre_matric_2019_20_utilized_lakh,scholarship_pre_matric_2020_21_release_lakh,scholarship_pre_matric_2020_21_utilized_lakh,scholarship_pre_matric_2021_22_release_lakh,scholarship_pre_matric_2021_22_utilized_lakh,scholarship_pre_matric_2022_23_release_lakh,scholarship_pre_matric_2022_23_utilized_lakh,scholarship_pre_matric_2023_24_release_lakh,scholarship_pre_matric_2023_24_utilized_lakh,scholarship_total_release_2019_20_lakh,scholarship_total_utilized_2019_20_lakh,scholarship_utilization_2019_20_pct,scholarship_total_release_2020_21_lakh,scholarship_total_utilized_2020_21_lakh,scholarship_utilization_2020_21_pct,scholarship_total_release_2021_22_lakh,scholarship_total_utilized_2021_22_lakh,scholarship_utilization_2021_22_pct,scholarship_total_release_2022_23_lakh,scholarship_total_utilized_2022_23_lakh,scholarship_utilization_2022_23_pct,scholarship_total_release_2023_24_lakh,scholarship_total_utilized_2023_24_lakh,scholarship_utilization_2023_24_pct,scholarship_cumulative_release_lakh,scholarship_cumulative_utilized_lakh,scholarship_cumulative_utilization_pct,scholarship_total_release_2023_24_lakh_per_100k_st_pop,scholarship_total_utilized_2023_24_lakh_per_100k_st_pop,scholarship_cumulative_release_lakh_per_100k_st_pop,scholarship_cumulative_utilized_lakh_per_100k_st_pop,employment_lfpr_female_per_1000,employment_lfpr_male_per_1000,employment_lfpr_person_per_1000,employment_pu_female_per_1000,employment_pu_male_per_1000,employment_pu_person_per_1000,employment_wpr_female_per_1000,employment_wpr_male_per_1000,employment_wpr_person_per_1000,st_bpl_rural_pct,st_bpl_urban_pct,st_bpl_mean_pct,mgnreg_year,mgnreg_job_card_households_per_1000,mgnreg_work_less_20_days_per_1000,mgnreg_work_20_50_days_per_1000,mgnreg_work_50_100_days_per_1000,mgnreg_work_100_plus_days_per_1000,mgnreg_sought_not_received_per_1000,mgnreg_not_seeking_work_per_1000,mgnreg_average_days_worked,mgnreg_work_received_any_days_per_1000,mgnreg_100_plus_share_of_work_received_pct,st_population_rural,st_population_urban,st_population_residence_total,st_population_urban_share_pct,tribal_villages_gt_25_count,tribal_villages_gt_50_count,tribal_villages_gt_75_count,tribal_villages_gt_90_count,tribal_villages_100_pct_count,low_literacy_district_count,low_literacy_female_min_pct,low_literacy_female_mean_pct,low_literacy_total_mean_pct,tribe_count,tribe_population_total,tribe_weighted_literacy_total_pct,tribe_weighted_literacy_male_pct,tribe_weighted_literacy_female_pct,tribe_weighted_wpr_pct,tribe_weighted_main_worker_pct,tribe_weighted_marginal_worker_pct,hh_self_employed_agriculture_pct,hh_self_employed_non_agriculture_pct,hh_regular_wage_salary_pct,hh_casual_labour_agriculture_pct,hh_casual_labour_non_agriculture_pct,hh_others_pct,estimated_households,sample_households,st_literacy_deprivation_pct,female_literacy_deprivation_pct,score_component_st_literacy_deprivation_pct,score_component_female_literacy_deprivation_pct,score_component_literacy_gap_pct,score_component_dropout_secondary_pct,score_component_low_literacy_district_count,score_component_st_bpl_mean_pct,score_component_employment_pu_person_per_1000,score_component_mgnreg_sought_not_received_per_1000,education_disadvantage_score,economic_vulnerability_score,overall_priority_score,policy_priority_category,overall_priority_rank
Odisha,2011,41974218.0,9590756.0,22.85,17.75,9.2,2011,22.85,9.2,True,2011,72.9,52.2,20.6,2010,0.0,1338732,394877,,48.85951781237768,46.81103229613272,2021-22,0.42,8.77,33.12,113.5,114.8,114.1,100.3,101.0,100.6,89.1,88.5,88.8,43.2,40.7,42.1,32.6,28.1,30.4,20.1,14.2,17.2,1.011453744493392,1.0069790628115654,0.9932659932659933,0.9421296296296297,0.8619631901840491,0.7064676616915422,2013,2023,93.6,92.1,92.8,107.6,107.4,107.5,98.5,97.4,98.0,84.6,89.6,87.1,52.0,58.7,55.3,0.9839743589743589,0.9981412639405206,0.9888324873096447,1.0591016548463357,1.1288461538461538,68.3,74.15,71.19999999999999,1.0856515373352857,71.19999999999999,2021-22,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.1,1.05,16640.15,16640.15,19095.97,19095.97,21842.98,21842.98,17133.3,17125.25,13564.1,13564.1,6157.65,6157.65,6944.96,6944.96,5236.75,5236.75,9397.06,5266.47,0.0,0.0,22797.800000000003,22797.800000000003,100.0,26040.93,26040.93,100.0,27079.73,27079.73,100.0,26530.36,22391.72,84.40036245267686,13564.1,13564.1,100.0,116012.92000000001,111874.28000000001,96.43260423063225,141.42889257113828,141.42889257113828,1209.6326921464795,1166.4803066619568,392.0,632.0,511.0,0.0,15.0,7.0,392.0,617.0,504.0,63.5,39.7,51.6,2013,503,178,102,42,0,255,420,26,322,0.0,8994967.0,595789.0,9590756.0,6.21211716782285,23208.0,17798.0,12396.0,8684.0,3839.0,6.0,25.4,28.8,38.833333333333336,62.0,9464943.0,52.02067664855457,63.44168025100626,41.03999544424092,49.76809170430292,48.863082809901755,51.136917190098245,29.4,18.2,12.5,4.4,23.1,12.4,,2864.0,47.8,58.96000455575908,0.9294117647058824,0.9378672484585462,0.7976653696498055,1.0,0.3333333333333333,1.0,0.14893617021276595,0.255,0.7996555432295135,0.46797872340425534,0.6338171333168844,High education disadvantage and high economic vulnerability,1.0
Bihar,2011,104099452.0,1336573.0,1.28,76.25,1.28,,,,False,2011,61.8,51.1,10.7,2010,0.0,181273,44370,,40.53720079658857,41.6114491773721,2021-22,0.0,0.0,16.87,145.4,108.4,127.7,124.4,92.3,109.0,110.5,81.2,96.5,40.7,26.5,33.9,37.2,23.1,30.5,33.3,19.3,26.6,0.7455295735900963,0.7419614147909968,0.7348416289592761,0.6511056511056511,0.6209677419354839,0.5795795795795796,2013,2023,127.5,123.9,125.8,95.3,96.8,96.0,115.5,113.6,114.6,57.1,60.9,59.0,45.9,48.9,47.4,0.971764705882353,1.0157397691500525,0.9835497835497835,1.0665499124343256,1.065359477124183,51.5,54.9,53.2,1.066019417475728,53.2,2021-22,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1525.43,1525.43,708.22,539.1,0.0,0.0,0.0,0.0,0.0,0.0,7131.47,6773.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8656.9,8298.76,95.86295325116382,708.22,539.1,76.12041456044732,0.0,0.0,,0.0,0.0,,0.0,0.0,,9365.119999999999,8837.86,94.3699600218684,0.0,0.0,700.6815190790177,661.2328694354892,58.0,565.0,313.0,0.0,20.0,10.0,58.0,545.0,303.0,59.3,10.3,34.8,2013,294,79,3,4,0,522,388,23,86,0.0,1270851.0,65722.0,1336573.0,4.91720242740202,1155.0,720.0,447.0,295.0,98.0,,,,,32.0,1219547.0,51.415010409602914,61.72428852680545,40.591464781595135,40.73205985501174,52.610029051770866,47.389970948229134,36.1,19.9,8.5,6.9,22.3,6.3,,3200.0,48.9,59.408535218404865,0.9552941176470588,0.945001953104423,0.41245136186770426,0.5093599033816426,,0.6254180602006688,0.2127659574468085,0.522,0.7055268340002072,0.4533946725491591,0.5794607532746832,High education disadvantage and high economic vulnerability,2.0
Madhya Pradesh,2011,72626809.0,15316784.0,21.09,25.2,14.69,2011,21.09,14.69,True,2011,69.3,50.6,18.8,2010,0.0,2794779,946600,,49.38157900857277,50.61673357278682,2021-22,4.49,14.02,17.6,132.4,137.3,134.8,119.4,119.1,119.3,108.0,104.8,106.4,60.0,36.6,48.5,48.5,29.5,39.0,35.6,22.2,28.7,1.0370090634441087,0.9974874371859296,0.9703703703703703,0.61,0.6082474226804123,0.6235955056179775,2013,2023,80.9,79.4,80.2,87.8,83.2,85.5,83.2,80.7,82.0,56.1,56.3,56.2,30.9,35.0,32.9,0.9814585908529049,0.9476082004555809,0.9699519230769231,1.0035650623885917,1.132686084142395,43.5,45.65,44.55,1.049425287356322,44.55,2021-22,1.0,0.9,1.0,1.0,1.0,0.9,0.9,1.1,1.0,0.9,1.0,1.0,1.0,12198.58,12198.58,12344.0,12344.0,24529.43,24529.43,27048.58,27048.58,35000.0,35000.0,7698.9,7698.9,5429.34,5429.34,11458.18,11458.18,12743.85,6964.49,0.0,0.0,19897.48,19897.48,100.0,17773.34,17773.34,100.0,35987.61,35987.61,100.0,39792.43,34013.07,85.47623253970667,35000.0,35000.0,100.0,148450.86,142671.5,96.1068868176311,228.50749870207738,228.50749870207738,969.2038485363506,931.4716457449553,333.0,577.0,456.0,1.0,8.0,4.0,332.0,569.0,452.0,55.3,32.3,43.8,2013,740,198,227,68,4,236,143,31,497,0.8048289738430584,14276874.0,1039910.0,15316784.0,6.789349513579351,20927.0,15022.0,10687.0,7338.0,1619.0,11.0,26.7,31.481818181818184,40.22727272727273,43.0,15052812.0,50.29019120812776,59.29607959629071,41.19527921427571,49.90189499476908,63.847575017877055,36.152424982122945,52.3,10.8,10.5,9.5,14.2,2.8,,2656.0,49.4,58.80472078572429,0.9670588235294117,0.9353971746647922,0.7276264591439688,0.531400966183575,0.6666666666666666,0.826086956521739,0.0851063829787234,0.236,0.7656300180376829,0.3823977798334875,0.5740138989355852,High education disadvantage and high economic vulnerability,3.0
West Bengal,2011,91276115.0,5296953.0,5.8,20.2,5.08,,,,False,2011,76.3,57.9,18.3,2010,0.0,608404,331641,,49.184423508063716,50.12317536130937,2021-22,10.01,0.0,12.14,116.9,119.7,118.2,105.2,108.2,106.7,93.9,94.6,94.2,60.5,62.4,61.4,48.5,43.7,46.2,35.6,24.4,30.1,1.0239520958083832,1.0285171102661597,1.007454739084132,1.031404958677686,0.9010309278350516,0.6853932584269662,2013,2023,109.0,110.1,109.6,104.7,106.8,105.8,107.4,108.9,108.1,100.1,108.1,104.0,49.8,63.8,56.7,1.010091743119266,1.0200573065902578,1.0139664804469273,1.0799200799200799,1.2811244979919678,74.94999999999999,85.94999999999999,80.35,1.1467645096731154,80.35,2021-22,1.0,1.0,1.2,1.3,1.0,1.0,1.2,1.1,1.0,1.0,1.2,1.3,1.25,2411.0,2411.0,2256.42,2256.42,3872.05,3872.05,0.0,0.0,3405.83,0.0,894.18,894.18,788.22,788.22,912.51,912.51,0.0,0.0,2988.85,0.0,3305.18,3305.18,100.0,3044.6400000000003,3044.6400000000003,100.0,4784.56,4784.56,100.0,0.0,0.0,,6394.68,0.0,0.0,17529.06,11134.380000000001,63.51954982183871,120.72374438663134,0.0,330.92723307154137,210.20348868491,196.0,621.0,410.0,10.0,12.0,11.0,185.0,609.0,399.0,50.1,44.5,47.3,2013,758,395,222,36,0,193,149,22,653,0.0,4855115.0,441838.0,5296953.0,8.341361533696826,7454.0,3977.0,2357.0,1629.0,711.0,,,,,40.0,5055901.0,57.535758631349786,67.8704607744495,47.266786533201504,47.46247169396711,58.126199346071054,41.87380065392894,27.3,22.4,17.2,11.2,15.5,6.3,,3392.0,42.1,52.733213466798496,0.7952941176470589,0.8388186905533852,0.708171206225681,0.3665458937198068,,0.9041248606465997,0.23404255319148937,0.193,0.677207477036483,0.44372247127936304,0.5604649741579231,High education disadvantage and high economic vulnerability,4.0
Tamil Nadu,2011,72147030.0,794697.0,1.1,22.01,0.76,,,,False,2011,80.1,54.3,25.8,2010,19603.0,113932,53469,45.0033158190073,47.855738510690585,48.10450915483738,,,,,150.4,151.9,151.1,138.0,140.6,139.3,125.0,128.5,126.6,81.5,85.8,83.5,63.7,69.1,66.3,44.0,51.1,47.3,1.0099734042553192,1.018840579710145,1.028,1.052760736196319,1.084772370486656,1.1613636363636364,2013,2023,110.7,112.6,111.6,116.2,115.4,115.8,112.7,113.6,113.1,97.3,103.3,100.1,69.2,85.6,77.0,1.017163504968383,0.9931153184165232,1.007985803016859,1.0616649537512848,1.2369942196531791,83.25,94.44999999999999,88.55,1.1345345345345343,88.55,2021-22,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.1,1.05,5025.19,5025.19,3328.99,3328.99,4849.38,4849.38,2854.28,2854.28,2000.0,2000.0,589.74,589.74,241.0,241.0,546.55,546.55,404.46,404.46,362.34,300.0,5614.929999999999,5614.929999999999,100.0,3569.99,3569.99,100.0,5395.93,5395.93,100.0,3258.7400000000002,3258.7400000000002,100.0,2362.34,2300.0,97.3610911215151,20201.93,20139.59,99.69141562217075,297.2629819918787,289.418482767646,2542.0921432948658,2534.247644070633,306.0,676.0,501.0,0.0,4.0,2.0,306.0,672.0,499.0,36.8,2.8,19.799999999999997,2013,293,91,79,116,0,11,703,41,286,0.0,660280.0,134417.0,794697.0,16.914245303555948,391.0,320.0,282.0,231.0,46.0,,,,,36.0,740060.0,53.646209631651494,61.16300340512931,46.0680752911926,54.810987757749366,82.32926884306677,17.67073115693322,17.5,13.0,27.1,12.8,19.7,9.9,,3136.0,45.7,53.9319247088074,0.8800000000000001,0.8578863962415016,1.0,,,0.29096989966555176,0.0425531914893617,0.011,0.9126287987471673,0.11484103038497116,0.5137349145660692,Education disadvantage priority,5.0
Jharkhand,2011,32988134.0,8645042.0,26.21,21.98,8.29,2011,26.21,8.29,True,2011,66.4,57.1,9.3,2010,25363.0,1517535,478008,43.0272444111501,48.83379954992801,48.9839082191093,2021-22,2.9,5.37,12.71,134.1,131.6,132.8,115.5,112.4,114.0,99.0,95.5,97.3,42.7,39.0,40.9,27.6,24.5,26.0,11.1,9.1,10.1,0.9813571961222968,0.9731601731601732,0.9646464646464646,0.9133489461358313,0.8876811594202898,0.8198198198198198,2013,2023,99.1,101.6,100.3,82.3,84.8,83.6,92.8,95.1,93.9,55.1,60.2,57.7,32.4,37.2,34.8,1.0252270433905146,1.0303766707168893,1.0247844827586206,1.0925589836660616,1.1481481481481484,43.75,48.7,46.25,1.1131428571428572,46.25,2021-22,1.0,1.0,1.1,1.1,1.0,1.0,1.1,1.1,1.0,1.0,1.1,1.1,1.1,7862.86,7862.86,0.0,0.0,12654.88,12654.88,0.0,0.0,5310.66,5310.66,1514.49,1514.49,0.0,0.0,3899.03,3899.03,0.0,0.0,5700.0,0.0,9377.35,9377.35,100.0,0.0,0.0,,16553.91,16553.91,100.0,0.0,0.0,,11010.66,5310.66,48.231986093476685,36941.92,31241.920000000002,84.5703742523399,127.36386937160052,61.43012376342416,427.31915009782483,361.3854044896486,226.0,540.0,394.0,3.0,33.0,19.0,223.0,507.0,375.0,51.6,28.7,40.15,2013,391,140,29,20,0,245,491,20,189,0.0,7868150.0,776892.0,8645042.0,8.986561314566199,15171.0,12239.0,9008.0,6370.0,2451.0,6.0,28.3,31.966666666666665,43.199999999999996,32.0,8471296.0,57.0837382497318,68.12397774791485,46.1635147561837,46.90740880734188,46.28981132284836,53.71018867715164,33.4,19.7,12.4,0.7,28.9,4.9,,1656.0,42.9,53.8364852438163,0.8141176470588236,0.8563682561209237,0.3579766536964981,0.38375603864734303,0.3333333333333333,0.7447045707915273,0.40425531914893614,0.245,0.5491103857713844,0.4646532966468211,0.5068818412091027,Economic vulnerability priority,6.0
Maharashtra,2011,112374333.0,10510213.0,9.35,22.54,10.08,2011,9.35,10.08,True,2011,82.3,65.7,16.6,2010,,1335035,568234,,47.57628077166516,45.859804235579006,2021-22,0.77,2.85,21.04,115.9,112.7,114.4,104.6,98.9,101.9,96.8,90.1,93.6,56.5,40.8,49.0,54.0,41.0,47.7,51.2,41.2,46.3,0.9723899913718723,0.945506692160612,0.9307851239669421,0.7221238938053097,0.7592592592592593,0.8046875,2013,2023,101.0,104.7,102.8,96.9,100.6,98.6,99.4,103.2,101.2,90.7,91.5,91.1,54.7,54.4,54.6,1.0366336633663367,1.0381836945304437,1.0382293762575452,1.0088202866593163,0.9945155393053016,72.7,72.95,72.85,1.0034387895460797,72.85,2021-22,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.95,15575.38,15575.38,18149.52,18149.52,19214.82,19214.82,9026.85,9026.85,57035.8,56371.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15575.38,15575.38,100.0,18149.52,18149.52,100.0,19214.82,19214.82,100.0,9026.85,9026.85,100.0,57035.8,56371.8,98.83581890672174,119002.37,118338.37,99.44202791927589,542.6702579671792,536.352593425081,1132.2545984558067,1125.9369339137086,447.0,561.0,504.0,2.0,5.0,4.0,445.0,555.0,501.0,61.6,23.3,42.45,2013,214,46,11,6,0,218,719,22,63,0.0,9006077.0,1504136.0,10510213.0,14.311184749538377,10257.0,6738.0,4836.0,3760.0,930.0,,,,,45.0,10334671.0,65.33029302045513,73.86391398429618,56.66043894382318,50.672318267315916,82.33164122979821,17.66835877020178,37.0,12.4,19.8,18.0,6.3,6.4,,3584.0,34.3,43.33956105617682,0.611764705882353,0.6893953822326738,0.642023346303502,0.6352657004830918,,0.7959866220735786,0.0851063829787234,0.218,0.6446122837254051,0.366364335017434,0.5054883093714195,High education disadvantage and high economic vulnerability,7.0
Uttar Pradesh,2011,199812341.0,1134273.0,0.57,950.61,1.09,,,,False,2011,67.7,55.7,12.0,2010,0.0,154506,48415,,48.3023313010498,44.81255809150057,2021-22,0.0,0.0,12.33,849.6,812.3,831.5,832.1,753.2,793.5,782.4,685.8,735.0,749.4,489.1,618.9,619.8,399.1,509.0,485.0,306.3,395.0,0.9560969868173257,0.9051796659055402,0.8765337423312883,0.652655457699493,0.6439173927073251,0.6315463917525773,2013,2023,128.6,125.3,127.0,134.9,134.5,134.7,130.7,128.4,129.6,136.5,134.8,135.7,134.5,131.6,133.1,0.9743390357698289,0.9970348406226834,0.9824024483550116,0.9875457875457876,0.9784386617100371,135.5,133.2,134.39999999999998,0.9830258302583025,134.39999999999998,2021-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1822.71,1822.71,2218.67,2218.67,0.0,0.0,0.0,0.0,1000.0,503.54,0.0,0.0,0.0,0.0,88.17,0.0,0.0,0.0,0.0,0.0,1822.71,1822.71,100.0,2218.67,2218.67,100.0,88.17,0.0,0.0,0.0,0.0,,1000.0,503.54,50.354,5129.55,4544.92,88.6027039408915,88.16219728407535,44.3931928204233,452.2323990785287,400.6901336803398,247.0,583.0,414.0,0.0,0.0,0.0,247.0,583.0,414.0,27.0,16.3,21.65,2013,140,13,84,42,0,304,556,37,139,0.0,1031076.0,103197.0,1134273.0,9.098074273124723,623.0,340.0,197.0,124.0,23.0,16.0,0.0,24.15625,35.65,15.0,1051660.0,55.10190251602229,66.71319884753626,42.92684403704618,36.91356046631041,50.154988304204785,49.845011695795215,48.5,17.9,8.4,2.9,16.8,5.5,,5824.0,44.3,57.07315596295382,0.8470588235294118,0.9078534533219023,0.46303501945525294,0.3722826086956522,1.0,0.3322185061315496,0.0,0.304,0.7180459810004438,0.21207283537718316,0.4650594081888135,Education disadvantage priority,8.0
Rajasthan,2011,68548437.0,9238534.0,13.48,30.16,8.86,2011,13.48,8.86,True,2011,66.1,52.8,13.3,2010,47602.0,1343512,454484,39.42691483551111,46.02109992318639,41.6863960007393,2021-22,3.66,5.57,9.34,120.0,107.7,114.2,108.4,95.8,102.4,96.7,84.0,90.6,58.1,44.3,51.5,44.0,31.9,38.2,28.7,18.9,23.9,0.8975000000000001,0.8837638376383763,0.8686659772492243,0.7624784853700516,0.725,0.6585365853658536,2013,2023,97.8,98.1,97.9,98.3,97.1,97.7,98.0,97.7,97.9,80.3,79.4,79.8,59.1,57.8,58.5,1.0030674846625767,0.987792472024415,0.9969387755102042,0.9887920298879204,0.9780033840947546,69.7,68.6,69.15,0.9842180774748923,69.15,2021-22,1.0,0.9,0.9,0.9,1.0,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,25950.52,25950.52,25557.03,25557.03,13744.7,13744.7,18810.1,18810.1,22000.0,21920.15,5346.97,5346.97,3126.9,3126.9,6234.34,6234.34,3530.8,3182.27,0.0,0.0,31297.49,31297.49,100.0,28683.93,28683.93,100.0,19979.04,19979.04,100.0,22340.899999999998,21992.37,98.43994646589887,22000.0,21920.15,99.63704545454546,124301.35999999999,123872.97999999998,99.65536982057155,238.13301980595622,237.26870518634234,1345.4662828539679,1340.8293999892187,401.0,509.0,457.0,3.0,4.0,3.0,399.0,505.0,454.0,41.4,21.7,31.549999999999997,2013,828,22,135,617,3,82,93,78,777,0.3861003861003861,8693123.0,545411.0,9238534.0,5.903653112063018,10654.0,7763.0,5701.0,4456.0,1152.0,11.0,18.2,25.99090909090909,41.17272727272727,12.0,9180837.0,52.5076798226567,67.20003616228018,37.13395509581534,48.33679114442398,59.29392959487245,40.70607040512755,44.3,19.6,19.8,2.0,10.4,3.8,,2496.0,47.2,62.86604490418466,0.9152941176470589,1.0,0.5136186770428016,0.2820048309178744,0.6666666666666666,0.5529542920847268,0.06382978723404255,0.082,0.6755168584548803,0.23292802643958976,0.45422244244723503,Education disadvantage priority,9.0
Nagaland,2011,1978502.0,1710973.0,86.48,3.55,1.64,2011,86.48,1.64,True,2011,79.6,80.0,0.5,2010,108815.0,206716,83903,47.58810825713367,47.98370711507576,48.04357412726601,2021-22,3.88,3.2,16.79,88.7,86.7,87.7,74.3,73.4,73.9,63.1,62.2,62.7,28.9,30.6,29.7,23.5,23.9,23.7,18.3,17.5,17.9,0.9774520856820744,0.9878869448183043,0.9857369255150555,1.0588235294117647,1.0170212765957447,0.9562841530054644,2013,2023,85.7,89.5,87.5,66.4,72.9,69.5,77.6,82.6,80.0,54.8,64.1,59.3,36.6,43.4,40.0,1.044340723453909,1.0978915662650601,1.0644329896907216,1.1697080291970803,1.185792349726776,45.7,53.75,49.65,1.176148796498906,49.65,2021-22,1.1,1.1,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,3268.73,3268.73,3226.37,3226.37,4435.75,4435.75,3608.43,3608.43,3500.0,0.0,0.0,0.0,60.75,47.03,0.0,0.0,0.0,0.0,0.0,0.0,3268.73,3268.73,100.0,3287.12,3273.4,99.58261335150527,4435.75,4435.75,100.0,3608.43,3608.43,100.0,3500.0,0.0,0.0,18100.03,14586.310000000001,80.58721449632958,204.56196561839374,0.0,1057.8793470148273,852.5154984912094,325.0,532.0,432.0,42.0,51.0,47.0,283.0,481.0,385.0,,,,2013,695,241,126,253,0,154,224,39,620,0.0,1306838.0,404135.0,1710973.0,23.620185707197017,1388.0,1351.0,1265.0,1136.0,215.0,,,,,23.0,3369790.0,79.75140142727865,83.05237057365284,76.38144702827144,70.7037545069574,75.19753601358303,34.18763810207757,36.3,19.0,39.7,0.3,2.8,1.9,,568.0,20.0,23.618552971728562,0.2752941176470589,0.3756964989244361,0.015564202334630352,0.5069444444444444,,,1.0,0.154,0.29337481583764247,0.577,0.4351874079188212,Economic vulnerability priority,10.0
