state,demographics_year,total_population,st_population,st_share_state_population_pct,state_share_india_st_population_pct,decadal_growth_pct,high_st_share_year,high_st_share_state_population_pct,high_st_state_share_india_st_population_pct,is_high_st_share_state,literacy_year,total_literacy_rate_pct,st_literacy_rate_pct,literacy_gap_pct,enrolment_year,pre_primary_total,primary_total,upper_primary_total,pre_primary_female_share_pct,primary_female_share_pct,upper_primary_female_share_pct,academic_year,dropout_primary_pct,dropout_upper_primary_pct,dropout_secondary_pct,ger_classes_i_viii,ger_classes_i_x,ger_classes_i_xii,ger_classes_ix_x,ger_classes_ix_xii,ger_classes_xi_xii,employment_lfpr_female_per_1000,employment_lfpr_male_per_1000,employment_lfpr_person_per_1000,employment_pu_female_per_1000,employment_pu_male_per_1000,employment_pu_person_per_1000,employment_wpr_female_per_1000,employment_wpr_male_per_1000,employment_wpr_person_per_1000,st_bpl_rural_pct,st_bpl_urban_pct,st_bpl_mean_pct,mgnreg_year,mgnreg_job_card_households_per_1000,mgnreg_work_less_20_days_per_1000,mgnreg_work_20_50_days_per_1000,mgnreg_work_50_100_days_per_1000,mgnreg_work_100_plus_days_per_1000,mgnreg_sought_not_received_per_1000,mgnreg_not_seeking_work_per_1000,mgnreg_average_days_worked,st_population_rural,st_population_urban,st_population_residence_total,st_population_urban_share_pct,tribal_villages_gt_25_count,tribal_villages_gt_50_count,tribal_villages_gt_75_count,tribal_villages_gt_90_count,tribal_villages_100_pct_count,low_literacy_district_count,low_literacy_female_min_pct,low_literacy_female_mean_pct,low_literacy_total_mean_pct,tribe_count,tribe_population_total,tribe_weighted_literacy_total_pct,tribe_weighted_literacy_male_pct,tribe_weighted_literacy_female_pct,tribe_weighted_wpr_pct,tribe_weighted_main_worker_pct,tribe_weighted_marginal_worker_pct,hh_self_employed_agriculture_pct,hh_self_employed_non_agriculture_pct,hh_regular_wage_salary_pct,hh_casual_labour_agriculture_pct,hh_casual_labour_non_agriculture_pct,hh_others_pct,estimated_households,sample_households,st_literacy_deprivation_pct,female_literacy_deprivation_pct,score_component_st_literacy_deprivation_pct,score_component_female_literacy_deprivation_pct,score_component_literacy_gap_pct,score_component_dropout_secondary_pct,score_component_low_literacy_district_count,score_component_st_bpl_mean_pct,score_component_employment_pu_person_per_1000,score_component_mgnreg_sought_not_received_per_1000,education_disadvantage_score,economic_vulnerability_score,overall_priority_score,policy_priority_category,overall_priority_rank
Odisha,2011,41974218.0,9590756.0,22.85,17.75,9.2,2011,22.85,9.2,True,2011,72.9,52.2,20.6,2010,0.0,1338732,394877,,48.85951781237768,46.81103229613272,2021-22,0.42,8.77,33.12,114.1,100.6,88.8,42.1,30.4,17.2,392.0,632.0,511.0,0.0,15.0,7.0,392.0,617.0,504.0,63.5,39.7,51.6,2013,503,178,102,42,0,255,420,26,8994967.0,595789.0,9590756.0,6.21211716782285,23208.0,17798.0,12396.0,8684.0,3839.0,6.0,25.4,28.8,38.833333333333336,62.0,9464943.0,52.02067664855457,63.44168025100626,41.03999544424092,49.76809170430292,48.863082809901755,51.136917190098245,29.4,18.2,12.5,4.4,23.1,12.4,,2864.0,47.8,58.96000455575908,0.9294117647058824,0.9378672484585462,0.7976653696498055,1.0,0.3333333333333333,1.0,0.14893617021276595,0.255,0.7996555432295135,0.46797872340425534,0.6338171333168844,High education disadvantage and high economic vulnerability,1.0
Madhya Pradesh,2011,72626809.0,15316784.0,21.09,25.2,14.69,2011,21.09,14.69,True,2011,69.3,50.6,18.8,2010,0.0,2794779,946600,,49.38157900857277,50.61673357278682,2021-22,4.49,14.02,17.6,134.8,119.3,106.4,48.5,39.0,28.7,333.0,577.0,456.0,1.0,8.0,4.0,332.0,569.0,452.0,55.3,32.3,43.8,2013,740,198,227,68,4,236,143,31,14276874.0,1039910.0,15316784.0,6.789349513579351,20927.0,15022.0,10687.0,7338.0,1619.0,11.0,26.7,31.481818181818184,40.22727272727273,43.0,15052812.0,50.29019120812776,59.29607959629071,41.19527921427571,49.90189499476908,63.847575017877055,36.152424982122945,52.3,10.8,10.5,9.5,14.2,2.8,,2656.0,49.4,58.80472078572429,0.9670588235294117,0.9353971746647922,0.7276264591439688,0.531400966183575,0.6666666666666666,0.826086956521739,0.0851063829787234,0.236,0.7656300180376829,0.3823977798334875,0.5740138989355852,High education disadvantage and high economic vulnerability,3.0
Jharkhand,2011,32988134.0,8645042.0,26.21,21.98,8.29,2011,26.21,8.29,True,2011,66.4,57.1,9.3,2010,25363.0,1517535,478008,43.0272444111501,48.83379954992801,48.9839082191093,2021-22,2.9,5.37,12.71,132.8,114.0,97.3,40.9,26.0,10.1,226.0,540.0,394.0,3.0,33.0,19.0,223.0,507.0,375.0,51.6,28.7,40.15,2013,391,140,29,20,0,245,491,20,7868150.0,776892.0,8645042.0,8.986561314566199,15171.0,12239.0,9008.0,6370.0,2451.0,6.0,28.3,31.966666666666665,43.199999999999996,32.0,8471296.0,57.0837382497318,68.12397774791485,46.1635147561837,46.90740880734188,46.28981132284836,53.71018867715164,33.4,19.7,12.4,0.7,28.9,4.9,,1656.0,42.9,53.8364852438163,0.8141176470588236,0.8563682561209237,0.3579766536964981,0.38375603864734303,0.3333333333333333,0.7447045707915273,0.40425531914893614,0.245,0.5491103857713844,0.4646532966468211,0.5068818412091027,Economic vulnerability priority,6.0
Maharashtra,2011,112374333.0,10510213.0,9.35,22.54,10.08,2011,9.35,10.08,True,2011,82.3,65.7,16.6,2010,,1335035,568234,,47.57628077166516,45.859804235579006,2021-22,0.77,2.85,21.04,114.4,101.9,93.6,49.0,47.7,46.3,447.0,561.0,504.0,2.0,5.0,4.0,445.0,555.0,501.0,61.6,23.3,42.45,2013,214,46,11,6,0,218,719,22,9006077.0,1504136.0,10510213.0,14.311184749538377,10257.0,6738.0,4836.0,3760.0,930.0,,,,,45.0,10334671.0,65.33029302045513,73.86391398429618,56.66043894382318,50.672318267315916,82.33164122979821,17.66835877020178,37.0,12.4,19.8,18.0,6.3,6.4,,3584.0,34.3,43.33956105617682,0.611764705882353,0.6893953822326738,0.642023346303502,0.6352657004830918,,0.7959866220735786,0.0851063829787234,0.218,0.6446122837254051,0.366364335017434,0.5054883093714195,High education disadvantage and high economic vulnerability,7.0
Rajasthan,2011,68548437.0,9238534.0,13.48,30.16,8.86,2011,13.48,8.86,True,2011,66.1,52.8,13.3,2010,47602.0,1343512,454484,39.42691483551111,46.02109992318639,41.6863960007393,2021-22,3.66,5.57,9.34,114.2,102.4,90.6,51.5,38.2,23.9,401.0,509.0,457.0,3.0,4.0,3.0,399.0,505.0,454.0,41.4,21.7,31.549999999999997,2013,828,22,135,617,3,82,93,78,8693123.0,545411.0,9238534.0,5.903653112063018,10654.0,7763.0,5701.0,4456.0,1152.0,11.0,18.2,25.99090909090909,41.17272727272727,12.0,9180837.0,52.5076798226567,67.20003616228018,37.13395509581534,48.33679114442398,59.29392959487245,40.70607040512755,44.3,19.6,19.8,2.0,10.4,3.8,,2496.0,47.2,62.86604490418466,0.9152941176470589,1.0,0.5136186770428016,0.2820048309178744,0.6666666666666666,0.5529542920847268,0.06382978723404255,0.082,0.6755168584548803,0.23292802643958976,0.45422244244723503,Education disadvantage priority,9.0
Nagaland,2011,1978502.0,1710973.0,86.48,3.55,1.64,2011,86.48,1.64,True,2011,79.6,80.0,0.5,2010,108815.0,206716,83903,47.58810825713367,47.98370711507576,48.04357412726601,2021-22,3.88,3.2,16.79,87.7,73.9,62.7,29.7,23.7,17.9,325.0,532.0,432.0,42.0,51.0,47.0,283.0,481.0,385.0,,,,2013,695,241,126,253,0,154,224,39,1306838.0,404135.0,1710973.0,23.620185707197017,1388.0,1351.0,1265.0,1136.0,215.0,,,,,23.0,3369790.0,79.75140142727865,83.05237057365284,76.38144702827144,70.7037545069574,75.19753601358303,34.18763810207757,36.3,19.0,39.7,0.3,2.8,1.9,,568.0,20.0,23.618552971728562,0.2752941176470589,0.3756964989244361,0.015564202334630352,0.5069444444444444,,,1.0,0.154,0.29337481583764247,0.577,0.4351874079188212,Economic vulnerability priority,10.0
Chhattisgarh,2011,25545198.0,7822902.0,30.62,18.23,7.5,2011,30.62,7.5,True,2011,70.3,59.1,11.2,2010,22313.0,995539,395242,47.00847039842244,48.247431793229595,46.95098193005804,2021-22,1.99,5.92,12.79,101.6,92.8,82.9,56.7,43.1,28.6,401.0,511.0,456.0,0.0,0.0,0.0,400.0,510.0,455.0,52.6,35.2,43.900000000000006,2013,613,185,229,105,0,233,247,36,7231082.0,591820.0,7822902.0,7.5652232381282545,,,,,,2.0,24.2,25.1,33.7,42.0,7790714.0,58.94139805414498,69.52511072797692,48.615475462197686,52.83835453335856,60.288156477057164,39.711843522942836,54.3,7.6,14.5,7.4,10.9,5.3,,1400.0,40.9,51.384524537802314,0.7670588235294118,0.8173653140756421,0.43190661478599224,0.38617149758454106,0.06666666666666667,0.8283166109253067,0.0,0.233,0.49383378332845085,0.3537722036417689,0.42380299348510986,Economic vulnerability priority,11.0
Jammu and Kashmir,2011,12541302.0,1493299.0,11.91,35.02,1.43,2011,11.91,1.43,True,2011,67.2,50.6,16.6,2010,7117.0,129837,52954,45.66530841646762,46.13245839013532,44.55376364391736,2021-22,3.31,5.02,14.17,80.6,71.2,63.8,31.7,26.9,21.7,688.0,562.0,620.0,0.0,1.0,0.0,688.0,561.0,620.0,16.3,3.0,9.65,2013,368,36,0,0,0,32,588,14,1406833.0,86466.0,1493299.0,5.790267053014835,1295.0,766.0,488.0,369.0,89.0,15.0,19.8,28.720000000000002,39.24,12.0,1381674.0,50.02394450499901,60.08267333683633,39.16619528195508,35.66053996818353,44.71105644312624,55.28894355687376,18.6,30.4,28.5,0.0,18.6,3.8,,1784.0,49.4,60.83380471804492,0.9670588235294117,0.9676734843231013,0.642023346303502,0.42783816425120774,0.9333333333333333,0.06465997770345597,0.0,0.032,0.7875854303481112,0.032219992567818656,0.409902711457965,Education disadvantage priority,12.0
Gujarat,2011,60439692.0,8917174.0,14.75,19.2,8.55,2011,14.75,8.55,True,2011,78.0,62.5,15.6,2010,0.0,1225038,355397,,48.18438285179725,47.13630109426923,2021-22,0.54,6.47,20.35,109.1,98.3,88.7,52.2,42.5,31.4,370.0,567.0,473.0,8.0,9.0,8.0,363.0,558.0,465.0,36.5,30.1,33.3,2013,450,203,84,27,0,96,512,23,8021848.0,895326.0,8917174.0,10.040467977859354,6085.0,4970.0,4089.0,3531.0,935.0,1.0,31.5,31.5,44.3,29.0,8706477.0,62.149528770362565,71.44834611060249,52.67811191599082,49.8403157787013,68.4089298576221,31.591070142377912,40.7,11.9,24.4,9.5,7.9,5.7,,1664.0,37.5,47.32188808400918,0.6870588235294118,0.7527416136347272,0.603112840466926,0.6144323671497586,0.0,0.5919732441471571,0.1702127659574468,0.096,0.5314691289561647,0.2860620033682013,0.408765566162183,Monitor / comparatively lower priority,13.0
Tripura,2011,3673917.0,1166813.0,31.76,17.45,1.12,2011,31.76,1.12,True,2011,87.2,79.1,8.2,2010,1907.0,168117,74228,45.9884635553225,48.63339222089378,47.05097806757558,2021-22,1.99,7.49,9.21,125.3,114.4,99.1,72.6,47.3,20.2,211.0,582.0,409.0,39.0,37.0,38.0,172.0,545.0,372.0,,,,2013,884,9,227,640,0,39,80,66,1117566.0,49247.0,1166813.0,4.220642039469906,564.0,466.0,385.0,301.0,22.0,,,,,19.0,1118457.0,78.89166360441214,86.32496653872253,71.29769664815008,43.555154556679426,64.45584354159345,35.54415645840654,33.4,22.3,12.4,4.5,22.1,5.3,,1216.0,20.900000000000006,28.70230335184992,0.2964705882352943,0.4565628933010761,0.3151750972762646,0.2780797101449276,,,0.8085106382978723,0.039,0.3365720722393907,0.42375531914893616,0.3801636956941634,Economic vulnerability priority,15.0
