state,year,additional_information,total_population,state_share_india_population_pct,st_population,state_share_india_st_population_pct,st_share_state_population_pct,decadal_growth_pct
Andaman and Nicobar Islands,2011,,380581.0,6.86,28530.0,3.19,7.5,0.03
Andhra Pradesh,2011,,84580777.0,10.98,5918073.0,17.79,7.0,5.68
Arunachal Pradesh,2011,,1383727.0,26.03,951821.0,34.98,68.79,0.91
Assam,2011,,31205576.0,17.07,3884371.0,17.4,12.45,3.72
Bihar,2011,,104099452.0,25.42,1336573.0,76.25,1.28,1.28
Chandigarh,2011,,1055450.0,17.19,,,,
Chhattisgarh,2011,Chhattigarh is created in the year 2000 after reorganization of the state Madhya Pradesh,25545198.0,22.61,7822902.0,18.23,30.62,7.5
Delhi,2011,,16787941.0,21.21,,,,
Goa,2011,,1458545.0,8.23,149275.0,26273.67,10.23,0.14
Gujarat,2011,,60439692.0,19.28,8917174.0,19.2,14.75,8.55
Haryana,2011,,25351462.0,19.9,,,0.0,0.0
Himachal Pradesh,2011,,6864602.0,12.94,392126.0,60.32,5.71,0.38
Jammu and Kashmir,2011,,12541302.0,23.64,1493299.0,35.02,11.91,1.43
Jharkhand,2011,Jharkhand is created in the year 2000 after reorganization of the state Bihar,32988134.0,22.42,8645042.0,21.98,26.21,8.29
Karnataka,2011,,61095297.0,15.6,4248987.0,22.66,6.95,4.07
Kerala,2011,,33406061.0,4.91,484839.0,33.13,1.45,0.46
Lakshadweep,2011,,64473.0,6.3,61120.0,6.63,94.8,0.06
Madhya Pradesh,2011,,72626809.0,20.35,15316784.0,25.2,21.09,14.69
Maharashtra,2011,,112374333.0,15.99,10510213.0,22.54,9.35,10.08
Manipur,2011,,2570390.0,18.63,902740.0,21.8,35.12,0.87
Meghalaya,2011,,2966889.0,27.95,2555861.0,28.25,86.15,2.45
Mizoram,2011,,1097206.0,23.48,1036115.0,23.45,94.43,0.99
Nagaland,2011,,1978502.0,-0.58,1710973.0,3.55,86.48,1.64
Odisha,2011,,41974218.0,14.05,9590756.0,17.75,22.85,9.2
Puducherry,2011,,1247953.0,28.08,,,,
Punjab,2011,,27743338.0,13.89,,,0.0,0.0
Rajasthan,2011,,68548437.0,21.31,9238534.0,30.16,13.48,8.86
Sikkim,2011,,610577.0,12.89,206360.0,85.23,33.8,0.2
Tamil Nadu,2011,,72147030.0,15.61,794697.0,22.01,1.1,0.76
Dadra and Nagar Haveli and Daman and Diu,2011,,586956.0,109.64,193927.0,39.88,58.27,0.18
Tripura,2011,,3673917.0,14.84,1166813.0,17.45,31.76,1.12
Uttar Pradesh,2011,,199812341.0,20.23,1134273.0,950.61,0.57,1.09
Uttarakhand,2011,Uttarakhand is created in the year 2000 after reorganization of the state Uttar Pradesh,10086292.0,18.81,291903.0,13.97,2.89,0.28
West Bengal,2011,,91276115.0,13.84,5296953.0,20.2,5.8,5.08
Andaman and Nicobar Islands,2001,,356152.0,6.86,29469.0,3.19,7.5,0.03
Andhra Pradesh,2001,,76210007.0,10.98,5024104.0,17.79,7.0,5.68
Arunachal Pradesh,2001,,1097968.0,26.03,705158.0,34.98,68.79,0.91
Assam,2001,,26655528.0,17.07,3308570.0,17.4,12.45,3.72
Bihar,2001,,82998509.0,25.42,758351.0,76.25,1.28,1.28
