state,academic_year,dropout_primary_pct,dropout_upper_primary_pct,dropout_secondary_pct
Andaman and Nicobar Islands,2021-22,0.0,2.96,10.34
Andhra Pradesh,2021-22,1.23,6.23,11.64
Arunachal Pradesh,2021-22,10.9,7.39,9.04
Assam,2021-22,6.29,4.76,12.67
Bihar,2021-22,0.0,0.0,16.87
Chandigarh,2021-22,3.56,0.0,0.0
Chhattisgarh,2021-22,1.99,5.92,12.79
Dadra and Nagar Haveli and Daman and Diu,2021-22,0.0,0.0,12.21
Delhi,2021-22,0.0,0.0,0.0
Goa,2021-22,0.0,0.0,2.34
Gujarat,2021-22,0.54,6.47,20.35
Haryana,2021-22,0.0,0.0,0.0
Himachal Pradesh,2021-22,0.0,0.0,0.0
Jammu and Kashmir,2021-22,3.31,5.02,14.17
Jharkhand,2021-22,2.9,5.37,12.71
Karnataka,2021-22,0.67,1.77,16.47
Kerala,2021-22,0.04,0.0,7.83
Ladakh,2021-22,6.35,0.58,3.47
Lakshadweep,2021-22,0.0,2.24,0.0
Madhya Pradesh,2021-22,4.49,14.02,17.6
Maharashtra,2021-22,0.77,2.85,21.04
Manipur,2021-22,15.48,5.71,3.23
Meghalaya,2021-22,9.96,10.83,21.99
Mizoram,2021-22,6.16,2.51,11.48
Nagaland,2021-22,3.88,3.2,16.79
Odisha,2021-22,0.42,8.77,33.12
Puducherry,2021-22,0.0,0.0,21.17
Punjab,2021-22,0.34,0.0,0.0
Rajasthan,2021-22,3.66,5.57,9.34
Sikkim,2021-22,1.58,0.0,11.5
Tamilnadu,2021-22,0.0,0.52,9.44
Telangana,2021-22,0.51,4.57,13.01
Tripura,2021-22,1.99,7.49,9.21
Uttarakhand,2021-22,0.0,1.46,6.36
Uttar Pradesh,2021-22,0.0,0.0,12.33
West Bengal,2021-22,10.01,0.0,12.14
