state,year,gender,gender_key,employment_indicator,employment_indicator_key,employment_indicator_value_per_1000
Andaman and Nicobar Islands,2013,Female,female,Labour force participation rate (LFPR),lfpr,187.0
Andaman and Nicobar Islands,2013,Female,female,Proportion Unemployed (PU),pu,35.0
Andaman and Nicobar Islands,2013,Female,female,Worker population ratio (WPR),wpr,151.0
Andhra Pradesh,2013,Female,female,Labour force participation rate (LFPR),lfpr,544.0
Andhra Pradesh,2013,Female,female,Proportion Unemployed (PU),pu,0.0
Andhra Pradesh,2013,Female,female,Worker population ratio (WPR),wpr,544.0
Arunachal Pradesh,2013,Female,female,Labour force participation rate (LFPR),lfpr,295.0
Arunachal Pradesh,2013,Female,female,Proportion Unemployed (PU),pu,2.0
Arunachal Pradesh,2013,Female,female,Worker population ratio (WPR),wpr,292.0
Assam,2013,Female,female,Labour force participation rate (LFPR),lfpr,200.0
Assam,2013,Female,female,Proportion Unemployed (PU),pu,9.0
Assam,2013,Female,female,Worker population ratio (WPR),wpr,191.0
Bihar,2013,Female,female,Labour force participation rate (LFPR),lfpr,58.0
Bihar,2013,Female,female,Proportion Unemployed (PU),pu,0.0
Bihar,2013,Female,female,Worker population ratio (WPR),wpr,58.0
Chandigarh,2013,Female,female,Labour force participation rate (LFPR),lfpr,
Chandigarh,2013,Female,female,Proportion Unemployed (PU),pu,
Chandigarh,2013,Female,female,Worker population ratio (WPR),wpr,
Chhattisgarh,2013,Female,female,Labour force participation rate (LFPR),lfpr,401.0
Chhattisgarh,2013,Female,female,Proportion Unemployed (PU),pu,0.0
Chhattisgarh,2013,Female,female,Worker population ratio (WPR),wpr,400.0
Dadra and Nagar Haveli,2013,Female,female,Labour force participation rate (LFPR),lfpr,44.0
Dadra and Nagar Haveli,2013,Female,female,Proportion Unemployed (PU),pu,0.0
Dadra and Nagar Haveli,2013,Female,female,Worker population ratio (WPR),wpr,44.0
Daman and Diu,2013,Female,female,Labour force participation rate (LFPR),lfpr,243.0
Daman and Diu,2013,Female,female,Proportion Unemployed (PU),pu,5.0
Daman and Diu,2013,Female,female,Worker population ratio (WPR),wpr,238.0
Delhi,2013,Female,female,Labour force participation rate (LFPR),lfpr,286.0
Delhi,2013,Female,female,Proportion Unemployed (PU),pu,0.0
Delhi,2013,Female,female,Worker population ratio (WPR),wpr,286.0
Goa,2013,Female,female,Labour force participation rate (LFPR),lfpr,197.0
Goa,2013,Female,female,Proportion Unemployed (PU),pu,2.0
Goa,2013,Female,female,Worker population ratio (WPR),wpr,195.0
Gujarat,2013,Female,female,Labour force participation rate (LFPR),lfpr,370.0
Gujarat,2013,Female,female,Proportion Unemployed (PU),pu,8.0
Gujarat,2013,Female,female,Worker population ratio (WPR),wpr,363.0
Haryana,2013,Female,female,Labour force participation rate (LFPR),lfpr,316.0
Haryana,2013,Female,female,Proportion Unemployed (PU),pu,34.0
Haryana,2013,Female,female,Worker population ratio (WPR),wpr,281.0
Himachal Pradesh,2013,Female,female,Labour force participation rate (LFPR),lfpr,405.0
Himachal Pradesh,2013,Female,female,Proportion Unemployed (PU),pu,6.0
Himachal Pradesh,2013,Female,female,Worker population ratio (WPR),wpr,398.0
Jammu and Kashmir,2013,Female,female,Labour force participation rate (LFPR),lfpr,688.0
Jammu and Kashmir,2013,Female,female,Proportion Unemployed (PU),pu,0.0
Jammu and Kashmir,2013,Female,female,Worker population ratio (WPR),wpr,688.0
Jharkhand,2013,Female,female,Labour force participation rate (LFPR),lfpr,226.0
Jharkhand,2013,Female,female,Proportion Unemployed (PU),pu,3.0
Jharkhand,2013,Female,female,Worker population ratio (WPR),wpr,223.0
Karnataka,2013,Female,female,Labour force participation rate (LFPR),lfpr,420.0
Karnataka,2013,Female,female,Proportion Unemployed (PU),pu,0.0
Karnataka,2013,Female,female,Worker population ratio (WPR),wpr,419.0
Kerala,2013,Female,female,Labour force participation rate (LFPR),lfpr,282.0
Kerala,2013,Female,female,Proportion Unemployed (PU),pu,41.0
Kerala,2013,Female,female,Worker population ratio (WPR),wpr,241.0
Lakshadweep,2013,Female,female,Labour force participation rate (LFPR),lfpr,295.0
Lakshadweep,2013,Female,female,Proportion Unemployed (PU),pu,41.0
Lakshadweep,2013,Female,female,Worker population ratio (WPR),wpr,254.0
Madhya Pradesh,2013,Female,female,Labour force participation rate (LFPR),lfpr,333.0
Madhya Pradesh,2013,Female,female,Proportion Unemployed (PU),pu,1.0
Madhya Pradesh,2013,Female,female,Worker population ratio (WPR),wpr,332.0
Maharashtra,2013,Female,female,Labour force participation rate (LFPR),lfpr,447.0
Maharashtra,2013,Female,female,Proportion Unemployed (PU),pu,2.0
Maharashtra,2013,Female,female,Worker population ratio (WPR),wpr,445.0
Manipur,2013,Female,female,Labour force participation rate (LFPR),lfpr,269.0
Manipur,2013,Female,female,Proportion Unemployed (PU),pu,6.0
Manipur,2013,Female,female,Worker population ratio (WPR),wpr,263.0
Meghalaya,2013,Female,female,Labour force participation rate (LFPR),lfpr,358.0
Meghalaya,2013,Female,female,Proportion Unemployed (PU),pu,5.0
Meghalaya,2013,Female,female,Worker population ratio (WPR),wpr,352.0
Mizoram,2013,Female,female,Labour force participation rate (LFPR),lfpr,360.0
Mizoram,2013,Female,female,Proportion Unemployed (PU),pu,8.0
Mizoram,2013,Female,female,Worker population ratio (WPR),wpr,352.0
Nagaland,2013,Female,female,Labour force participation rate (LFPR),lfpr,325.0
