state,year,gender,gender_key,class_group,class_group_key,ger_ratio
Andaman and Nicobar Islands,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,77.3
Andaman and Nicobar Islands,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,74.5
Andaman and Nicobar Islands,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,76.7
Andaman and Nicobar Islands,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,50.7
Andaman and Nicobar Islands,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,63.5
Andaman and Nicobar Islands,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,72.9
Andaman and Nicobar Islands,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,75.4
Andaman and Nicobar Islands,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,76.5
Andaman and Nicobar Islands,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,75.6
Andaman and Nicobar Islands,2013,Girls,girls,Classes XI-XII (16-17  Years),classes_xi_xii,59.6
Andaman and Nicobar Islands,2013,Girls,girls,Classes IX-XII (14-17  Years),classes_ix_xii,68.5
Andaman and Nicobar Islands,2013,Girls,girls,Classes I-XII (6-17 Years),classes_i_xii,73.1
Andaman and Nicobar Islands,2013,Total,total,Classes I-VIII (6-13 Years),classes_i_viii,76.4
Andaman and Nicobar Islands,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,75.4
Andaman and Nicobar Islands,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,76.2
Andaman and Nicobar Islands,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,55.0
Andaman and Nicobar Islands,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,66.0
Andaman and Nicobar Islands,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,73.0
Andhra Pradesh,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,111.6
Andhra Pradesh,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,71.1
Andhra Pradesh,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,104.0
Andhra Pradesh,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,60.4
Andhra Pradesh,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,66.2
Andhra Pradesh,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,98.0
Andhra Pradesh,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,112.5
Andhra Pradesh,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,74.2
Andhra Pradesh,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,105.8
Andhra Pradesh,2013,Girls,girls,Classes XI-XII (16-17  Years),classes_xi_xii,46.1
Andhra Pradesh,2013,Girls,girls,Classes IX-XII (14-17  Years),classes_ix_xii,60.6
Andhra Pradesh,2013,Girls,girls,Classes I-XII (6-17 Years),classes_i_xii,97.3
Andhra Pradesh,2013,Total,total,Classes I-VIII (6-13 Years),classes_i_viii,112.0
Andhra Pradesh,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,72.5
Andhra Pradesh,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,104.9
Andhra Pradesh,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,53.5
Andhra Pradesh,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,63.6
Andhra Pradesh,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,97.7
Arunachal Pradesh,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,174.0
Arunachal Pradesh,2013,Boys,boys,Classes IX-X (14-15 Years),classes_ix_x,77.8
Arunachal Pradesh,2013,Boys,boys,Classes I-X (6-15 Years),classes_i_x,153.7
Arunachal Pradesh,2013,Boys,boys,Classes XI-XII (16-17  Years),classes_xi_xii,55.0
Arunachal Pradesh,2013,Boys,boys,Classes IX-XII (14-17  Years),classes_ix_xii,66.9
Arunachal Pradesh,2013,Boys,boys,Classes I-XII (6-17 Years),classes_i_xii,137.9
Arunachal Pradesh,2013,Girls,girls,Classes I-VIII (6-13 Years),classes_i_viii,165.7
Arunachal Pradesh,2013,Girls,girls,Classes IX-X (14-15 Years),classes_ix_x,69.3
Arunachal Pradesh,2013,Girls,girls,Classes I-X (6-15 Years),classes_i_x,145.6
Arunachal Pradesh,2013,Girls,girls,Classes XI-XII (16-17  Years),classes_xi_xii,49.6
Arunachal Pradesh,2013,Girls,girls,Classes IX-XII (14-17  Years),classes_ix_xii,59.9
Arunachal Pradesh,2013,Girls,girls,Classes I-XII (6-17 Years),classes_i_xii,130.5
Arunachal Pradesh,2013,Total,total,Classes I-VIII (6-13 Years),classes_i_viii,169.9
Arunachal Pradesh,2013,Total,total,Classes IX-X (14-15 Years),classes_ix_x,73.5
Arunachal Pradesh,2013,Total,total,Classes I-X (6-15 Years),classes_i_x,149.7
Arunachal Pradesh,2013,Total,total,Classes XI-XII (16-17  Years),classes_xi_xii,52.3
Arunachal Pradesh,2013,Total,total,Classes IX-XII (14-17  Years),classes_ix_xii,63.5
Arunachal Pradesh,2013,Total,total,Classes I-XII (6-17 Years),classes_i_xii,134.2
Assam,2013,Boys,boys,Classes I-VIII (6-13 Years),classes_i_viii,96.4
