state,ger_classes_i_viii_boys,ger_classes_i_viii_girls,ger_classes_i_viii,ger_classes_i_x_boys,ger_classes_i_x_girls,ger_classes_i_x,ger_classes_i_xii_boys,ger_classes_i_xii_girls,ger_classes_i_xii,ger_classes_ix_x_boys,ger_classes_ix_x_girls,ger_classes_ix_x,ger_classes_ix_xii_boys,ger_classes_ix_xii_girls,ger_classes_ix_xii,ger_classes_xi_xii_boys,ger_classes_xi_xii_girls,ger_classes_xi_xii,ger_classes_i_viii_gpi,ger_classes_i_x_gpi,ger_classes_i_xii_gpi,ger_classes_ix_x_gpi,ger_classes_ix_xii_gpi,ger_classes_xi_xii_gpi,ger_year
Andaman and Nicobar Islands,77.3,75.4,76.4,76.7,75.6,76.2,72.9,73.1,73.0,74.5,76.5,75.4,63.5,68.5,66.0,50.7,59.6,55.0,0.9754204398447608,0.9856584093872228,1.0027434842249656,1.0268456375838926,1.078740157480315,1.175542406311637,2013
Andhra Pradesh,111.6,112.5,112.0,104.0,105.8,104.9,98.0,97.3,97.7,71.1,74.2,72.5,66.2,60.6,63.6,60.4,46.1,53.5,1.0080645161290323,1.0173076923076922,0.9928571428571429,1.0436005625879046,0.9154078549848942,0.7632450331125828,2013
Arunachal Pradesh,174.0,165.7,169.9,153.7,145.6,149.7,137.9,130.5,134.2,77.8,69.3,73.5,66.9,59.9,63.5,55.0,49.6,52.3,0.9522988505747125,0.9472999349381913,0.9463379260333574,0.890745501285347,0.8953662182361734,0.9018181818181819,2013
Assam,96.4,97.2,96.8,87.4,85.9,86.7,74.9,72.0,73.5,55.4,47.0,51.2,36.8,29.4,33.1,18.6,12.6,15.5,1.008298755186722,0.982837528604119,0.9612817089452603,0.848375451263538,0.7989130434782609,0.6774193548387096,2013
Bihar,145.4,108.4,127.7,124.4,92.3,109.0,110.5,81.2,96.5,40.7,26.5,33.9,37.2,23.1,30.5,33.3,19.3,26.6,0.7455295735900963,0.7419614147909968,0.7348416289592761,0.6511056511056511,0.6209677419354839,0.5795795795795796,2013
Chhattisgarh,104.8,98.4,101.6,95.6,90.0,92.8,85.9,79.7,82.9,58.0,55.2,56.7,45.9,40.3,43.1,32.6,24.7,28.6,0.9389312977099238,0.9414225941422595,0.9278230500582072,0.9517241379310345,0.877995642701525,0.7576687116564417,2013
Dadra and Nagar Haveli and Daman and Diu,161.1,168.6,164.5,154.7,161.7,157.8,141.7,148.2,144.5,126.6,126.8,126.7,95.4,95.2,95.2,57.5,60.2,58.1,1.0465549348230911,1.0452488687782806,1.0458715596330275,1.0015797788309637,0.9979035639412998,1.0469565217391306,2013
Goa,16011.8,12190.5,13942.5,16264.6,12120.5,13985.7,14027.4,11677.0,12792.9,17643.6,11808.0,14195.8,10131.7,10435.7,10280.5,5908.7,8813.5,7091.4,0.7613447582407974,0.7452073829052052,0.8324422202261289,0.6692511732299531,1.0300048363058518,1.491614060622472,2013
Gujarat,108.8,109.4,109.1,98.1,98.5,98.3,88.8,88.7,88.7,52.5,51.9,52.2,43.5,41.4,42.5,33.2,29.5,31.4,1.005514705882353,1.0040774719673802,0.9988738738738739,0.9885714285714285,0.9517241379310345,0.8885542168674698,2013
Himachal Pradesh,148.2,145.7,147.0,146.0,144.4,145.2,141.0,136.8,138.9,137.1,139.2,138.2,126.8,119.9,123.4,116.4,101.6,108.9,0.9831309041835358,0.989041095890411,0.9702127659574469,1.0153172866520788,0.9455835962145112,0.8728522336769758,2013
