state,ger_latest_year,ger_latest_primary_boys,ger_latest_primary_girls,ger_latest_primary_total,ger_latest_upper_primary_boys,ger_latest_upper_primary_girls,ger_latest_upper_primary_total,ger_latest_elementary_boys,ger_latest_elementary_girls,ger_latest_elementary_total,ger_latest_secondary_boys,ger_latest_secondary_girls,ger_latest_secondary_total,ger_latest_higher_secondary_boys,ger_latest_higher_secondary_girls,ger_latest_higher_secondary_total,ger_latest_primary_gpi,ger_latest_upper_primary_gpi,ger_latest_elementary_gpi,ger_latest_secondary_gpi,ger_latest_higher_secondary_gpi,ger_latest_ix_xii_avg_boys,ger_latest_ix_xii_avg_girls,ger_latest_ix_xii_avg_total,ger_latest_ix_xii_avg_gpi,ger_latest_ix_xii_avg
Andaman and Nicobar Islands,2023,86.3,94.4,90.0,95.7,108.0,101.3,89.8,99.5,94.3,77.7,90.5,83.7,65.3,86.3,75.2,1.0938586326767092,1.128526645768025,1.1080178173719377,1.1647361647361647,1.321592649310873,71.5,88.4,79.45,1.2363636363636366,79.45
Andhra Pradesh,2023,116.0,121.2,118.5,112.5,115.1,113.7,114.7,119.0,116.8,96.0,97.2,96.6,66.1,72.0,69.0,1.0448275862068965,1.023111111111111,1.037489102005231,1.0125,1.0892586989409985,81.05,84.6,82.8,1.043800123380629,82.8
Arunachal Pradesh,2023,109.3,112.8,111.0,83.8,91.0,87.4,98.9,103.7,101.2,65.6,69.5,67.5,48.7,53.2,51.0,1.0320219579139982,1.0859188544152745,1.0485338725985844,1.0594512195121952,1.0924024640657084,57.15,61.35,59.25,1.073490813648294,59.25
Assam,2023,117.9,124.3,121.0,99.7,104.7,102.1,110.7,116.4,113.5,92.5,96.8,94.7,53.7,53.0,53.3,1.0542832909245121,1.0501504513540623,1.051490514905149,1.0464864864864865,0.9869646182495344,73.1,74.9,74.0,1.024623803009576,74.0
Bihar,2023,127.5,123.9,125.8,95.3,96.8,96.0,115.5,113.6,114.6,57.1,60.9,59.0,45.9,48.9,47.4,0.971764705882353,1.0157397691500525,0.9835497835497835,1.0665499124343256,1.065359477124183,51.5,54.9,53.2,1.066019417475728,53.2
Chandigarh,2023,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,2023,87.7,88.2,87.9,87.0,87.7,87.4,87.5,88.0,87.7,63.4,72.4,67.8,39.8,53.4,46.6,1.0057012542759407,1.0080459770114942,1.0057142857142858,1.1419558359621451,1.341708542713568,51.599999999999994,62.900000000000006,57.2,1.2189922480620157,57.2
Dadra and Nagar Haveli and Daman and Diu,2023,65.9,71.4,68.5,64.0,68.6,66.2,65.1,70.3,67.6,66.0,76.1,70.7,25.6,34.9,29.9,1.0834597875569043,1.071875,1.0798771121351767,1.1530303030303028,1.3632812499999998,45.8,55.5,50.3,1.2117903930131004,50.3
Delhi,2023,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,2023,62.7,68.6,65.5,66.0,71.0,68.4,64.0,69.5,66.6,60.9,71.6,65.9,63.2,72.1,67.6,1.0940988835725676,1.0757575757575757,1.0859375,1.1756978653530377,1.1408227848101264,62.05,71.85,66.75,1.1579371474617244,66.75
