state,gpi_academic_year,gpi_primary_2021_22,gpi_upper_primary_2021_22,gpi_secondary_2021_22,gpi_higher_secondary_2021_22,gpi_primary_2020_21,gpi_upper_primary_2020_21,gpi_secondary_2020_21,gpi_higher_secondary_2020_21,gpi_primary,gpi_upper_primary,gpi_secondary,gpi_higher_secondary,gpi_ix_xii_avg
Andaman and Nicobar Islands,2021-22,1.2,1.1,1.2,1.1,1.1,1.2,1.1,1.4,1.2,1.1,1.2,1.1,1.15
Andhra Pradesh,2021-22,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.1,1.05
Arunachal Pradesh,2021-22,1.0,1.1,1.0,1.1,1.0,1.1,1.1,1.1,1.0,1.1,1.0,1.1,1.05
Assam,2021-22,1.1,1.0,1.0,1.0,1.1,1.0,1.0,0.9,1.1,1.0,1.0,1.0,1.0
Bihar,2021-22,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0
Chandigarh,2021-22,,,,,,,,,,,,,
Chhattisgarh,2021-22,1.0,1.0,1.1,1.2,1.0,1.0,1.1,1.2,1.0,1.0,1.1,1.2,1.15
Dadra and Nagar Haveli and Daman and Diu,2021-22,1.1,1.0,1.0,1.3,1.1,1.1,1.1,1.3,1.1,1.0,1.0,1.3,1.15
Delhi,2021-22,,,,,,,,,,,,,
Goa,2021-22,1.0,1.1,1.2,1.0,1.1,1.1,1.0,1.1,1.0,1.1,1.2,1.0,1.1
Gujarat,2021-22,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.1,1.05
Haryana,2021-22,,,,,,,,,,,,,
Himachal Pradesh,2021-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jammu and Kashmir,2021-22,0.9,1.1,0.9,0.8,1.0,1.0,0.9,0.8,0.9,1.1,0.9,0.8,0.8500000000000001
Jharkhand,2021-22,1.0,1.0,1.1,1.1,1.0,1.0,1.1,1.1,1.0,1.0,1.1,1.1,1.1
Karnataka,2021-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0
Kerala,2021-22,1.0,1.0,0.9,1.1,1.0,1.0,0.9,1.1,1.0,1.0,0.9,1.1,1.0
Ladakh,2021-22,1.1,1.2,1.1,1.2,1.1,1.2,1.1,1.3,1.1,1.2,1.1,1.2,1.15
Lakshadweep,2021-22,1.0,0.8,0.9,0.9,1.0,0.8,1.0,0.9,1.0,0.8,0.9,0.9,0.9
Madhya Pradesh,2021-22,1.0,0.9,1.0,1.0,1.0,0.9,0.9,1.1,1.0,0.9,1.0,1.0,1.0
Maharashtra,2021-22,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.95
Manipur,2021-22,1.1,1.1,1.1,1.0,1.1,1.1,1.1,1.0,1.1,1.1,1.1,1.0,1.05
Meghalaya,2021-22,1.0,1.2,1.3,1.4,1.0,1.1,1.3,1.3,1.0,1.2,1.3,1.4,1.35
Mizoram,2021-22,1.0,1.0,1.1,1.1,1.0,1.0,1.1,1.1,1.0,1.0,1.1,1.1,1.1
Nagaland,2021-22,1.1,1.1,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2
Odisha,2021-22,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.1,1.05
Puducherry,2021-22,,,,,,,,,,,,,
Punjab,2021-22,,,,,,,,,,,,,
Rajasthan,2021-22,1.0,0.9,0.9,0.9,1.0,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9
Sikkim,2021-22,0.9,1.0,1.1,1.3,0.9,1.0,1.2,1.3,0.9,1.0,1.1,1.3,1.2000000000000002
Tamil Nadu,2021-22,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.1,1.05
Telangana,2021-22,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.1,1.05
Tripura,2021-22,1.0,1.0,1.1,1.2,1.0,1.0,1.1,1.1,1.0,1.0,1.1,1.2,1.15
Uttarakhand,2021-22,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.0,1.0,1.0,1.0
Uttar Pradesh,2021-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
West Bengal,2021-22,1.0,1.0,1.2,1.3,1.0,1.0,1.2,1.1,1.0,1.0,1.2,1.3,1.25
