state,year,hh_self_employed_agriculture_pct,hh_self_employed_non_agriculture_pct,hh_regular_wage_salary_pct,hh_casual_labour_agriculture_pct,hh_casual_labour_non_agriculture_pct,hh_others_pct,estimated_households,sample_households
Andaman and Nicobar Islands,2023,27.5,14.4,33.9,1.8,14.8,7.6,,240.0
Andhra Pradesh,2023,27.7,14.8,13.6,15.9,11.3,16.5,,2160.0
Arunachal Pradesh,2023,48.7,16.1,27.5,0.0,5.3,2.4,,1084.0
Assam,2023,24.2,27.1,21.0,4.8,21.5,1.3,,2616.0
Bihar,2023,36.1,19.9,8.5,6.9,22.3,6.3,,3200.0
Chhattisgarh,2023,54.3,7.6,14.5,7.4,10.9,5.3,,1400.0
Delhi,2023,5.7,32.2,43.6,0.1,16.8,1.7,,64.0
Goa,2023,6.2,33.1,40.8,5.0,3.7,11.1,,192.0
Gujarat,2023,40.7,11.9,24.4,9.5,7.9,5.7,,1664.0
Haryana,2023,24.5,17.7,33.0,3.4,11.4,9.9,,1336.0
Himachal Pradesh,2023,30.4,17.0,28.2,0.9,15.0,8.4,,1656.0
Jammu and Kashmir,2023,18.6,30.4,28.5,0.0,18.6,3.8,,1784.0
Jharkhand,2023,33.4,19.7,12.4,0.7,28.9,4.9,,1656.0
Karnataka,2023,41.8,10.6,11.8,15.4,10.0,10.4,,1792.0
Kerala,2023,17.3,21.5,26.5,7.0,15.1,12.5,,2104.0
Ladakh,2023,17.0,28.8,42.3,0.0,11.5,0.3,,128.0
Lakshadweep,2023,14.7,16.5,43.6,0.1,21.8,3.4,,64.0
Madhya Pradesh,2023,52.3,10.8,10.5,9.5,14.2,2.8,,2656.0
Maharashtra,2023,37.0,12.4,19.8,18.0,6.3,6.4,,3584.0
Manipur,2023,42.6,24.4,26.5,0.5,4.9,1.0,,1112.0
Meghalaya,2023,32.0,12.3,16.8,15.4,23.2,0.2,,832.0
Mizoram,2023,41.2,25.2,29.1,0.4,3.6,0.4,,512.0
Nagaland,2023,36.3,19.0,39.7,0.3,2.8,1.9,,568.0
Odisha,2023,29.4,18.2,12.5,4.4,23.1,12.4,,2864.0
Puducherry,2023,5.6,12.2,52.5,8.8,16.1,4.8,,128.0
Punjab,2023,23.0,18.5,24.5,8.4,16.1,9.4,,1528.0
Rajasthan,2023,44.3,19.6,19.8,2.0,10.4,3.8,,2496.0
Sikkim,2023,18.1,20.9,48.8,0.0,11.4,0.7,,448.0
Tamil Nadu,2023,17.5,13.0,27.1,12.8,19.7,9.9,,3136.0
Telangana,2023,39.0,17.5,13.1,12.2,5.0,13.2,,1272.0
Dadra and Nagar Haveli and Daman and Diu,2023,2.6,8.5,75.2,4.7,8.0,1.0,,128.0
Tripura,2023,33.4,22.3,12.4,4.5,22.1,5.3,,1216.0
Uttar Pradesh,2023,48.5,17.9,8.4,2.9,16.8,5.5,,5824.0
Uttarakhand,2023,31.3,20.1,26.3,3.1,9.3,9.9,,960.0
West Bengal,2023,27.3,22.4,17.2,11.2,15.5,6.3,,3392.0
Andaman and Nicobar Islands,2022,27.4,17.4,36.1,2.9,10.0,6.2,,238.0
Andhra Pradesh,2022,24.6,16.6,15.3,16.9,11.2,15.4,,2168.0
Arunachal Pradesh,2022,50.3,11.3,31.9,0.3,6.3,0.1,,1080.0
Assam,2022,41.1,11.4,7.9,3.1,36.0,0.5,,2616.0
Bihar,2022,30.8,25.6,7.7,8.6,19.6,7.8,,3200.0
Chandigarh,2022,0.0,22.3,61.3,0.0,15.5,0.9,,64.0
Chhattisgarh,2022,53.4,8.8,13.3,7.5,11.1,6.0,,1408.0
Delhi,2022,8.4,23.7,34.7,0.0,11.3,22.0,,64.0
Goa,2022,11.2,23.6,42.4,4.2,3.6,15.0,,192.0
Gujarat,2022,39.2,12.8,24.4,11.2,8.6,3.8,,1664.0
Haryana,2022,30.3,16.7,27.7,3.1,14.4,7.8,,1320.0
Himachal Pradesh,2022,36.4,18.7,28.1,0.9,11.6,4.2,,1659.0
Jammu and Kashmir,2022,20.0,30.1,27.2,0.0,20.9,1.8,,1792.0
Jharkhand,2022,30.0,24.5,12.5,0.9,25.1,7.1,,1662.0
Karnataka,2022,40.6,11.6,14.4,15.2,10.5,7.7,,1792.0
Kerala,2022,14.3,20.5,25.4,8.4,18.3,13.1,,2096.0
Ladakh,2022,13.4,37.4,28.9,0.0,20.0,0.4,,128.0
Lakshadweep,2022,10.2,11.0,43.6,4.3,13.6,17.3,,64.0
Madhya Pradesh,2022,49.6,12.0,11.4,9.8,13.5,3.7,,2680.0
Maharashtra,2022,39.4,12.9,15.4,20.5,6.7,5.1,,3568.0
Manipur,2022,37.7,26.5,28.4,0.2,5.1,2.1,,1072.0
Meghalaya,2022,28.5,13.7,16.0,16.5,22.9,2.4,,832.0
Mizoram,2022,44.6,22.0,30.4,1.0,1.6,0.4,,512.0
Nagaland,2022,42.4,14.3,38.7,0.8,3.3,0.4,,576.0
Odisha,2022,31.9,18.1,10.2,4.7,21.7,13.4,,2861.0
Puducherry,2022,7.8,13.1,44.8,12.1,12.0,10.3,,128.0
Punjab,2022,20.8,22.0,22.0,7.5,18.8,8.9,,1536.0
Rajasthan,2022,46.2,18.5,13.9,2.7,13.3,5.3,,2488.0
Sikkim,2022,24.1,16.2,45.0,0.1,12.9,1.6,,448.0
Tamil Nadu,2022,17.0,15.8,23.4,12.1,21.8,9.9,,3136.0
Telangana,2022,45.6,16.1,11.0,9.0,4.9,13.3,,1280.0
Dadra and Nagar Haveli and Daman and Diu,2022,7.4,15.7,66.9,4.2,4.4,1.5,,128.0
Tripura,2022,26.8,25.0,17.9,3.8,18.6,7.8,,1216.0
Uttar Pradesh,2022,46.7,17.1,10.5,2.9,17.4,5.5,,5824.0
Uttarakhand,2022,34.4,19.9,23.6,3.2,8.4,10.5,,960.0
West Bengal,2022,25.2,24.4,14.5,10.8,17.8,7.1,,3392.0
Andaman and Nicobar Islands,2021,33.1,9.1,24.5,4.5,25.0,3.8,537.0,184.0
Andhra Pradesh,2021,23.0,16.4,15.9,21.4,11.2,12.1,96721.0,2168.0
Arunachal Pradesh,2021,58.2,11.0,24.9,1.0,3.0,1.8,2032.0,1073.0
Assam,2021,31.7,25.9,19.1,4.5,16.1,2.7,60921.0,2624.0
Bihar,2021,33.6,21.9,8.0,10.1,17.2,9.4,202083.0,3192.0
Chandigarh,2021,5.7,6.9,60.7,0.0,7.8,19.0,113.0,64.0
Chhattisgarh,2021,59.1,8.1,12.2,6.3,9.2,5.2,45734.0,1408.0
Delhi,2021,5.5,16.8,64.9,0.0,9.2,3.6,950.0,64.0
Goa,2021,6.4,27.3,47.7,4.4,3.2,10.9,1282.0,192.0
Gujarat,2021,44.0,11.8,22.0,11.4,7.1,3.8,71721.0,1664.0
Haryana,2021,32.7,14.7,24.3,4.7,16.8,6.8,33799.0,1344.0
Himachal Pradesh,2021,35.6,14.9,25.5,1.3,14.5,8.2,15498.0,1664.0
Jammu and Kashmir,2021,19.7,26.2,28.1,0.1,23.5,2.3,18193.0,1776.0
Jharkhand,2021,38.0,17.3,11.7,2.0,27.4,3.5,55562.0,1664.0
Karnataka,2021,38.7,13.2,15.5,18.2,10.0,4.5,88633.0,1792.0
Kerala,2021,14.7,19.2,23.6,6.7,22.4,13.5,45564.0,2080.0
Ladakh,2021,11.9,23.4,45.2,0.0,19.0,0.5,513.0,128.0
Lakshadweep,2021,4.5,16.2,50.9,4.4,13.9,10.0,31.0,64.0
Madhya Pradesh,2021,54.1,9.2,8.5,11.3,13.3,3.6,112371.0,2688.0
Maharashtra,2021,37.1,12.3,13.8,24.2,6.7,5.9,137812.0,3552.0
Manipur,2021,41.9,18.2,27.2,1.1,6.6,5.0,4436.0,1272.0
Meghalaya,2021,21.2,18.7,19.5,16.4,21.7,2.5,5521.0,832.0
Mizoram,2021,47.6,21.9,24.7,1.9,2.9,1.0,1139.0,512.0
Nagaland,2021,31.8,17.8,42.1,0.2,4.1,4.1,3151.0,576.0
Odisha,2021,31.7,19.9,11.9,4.3,21.5,10.7,82414.0,2864.0
Puducherry,2021,16.0,19.4,37.6,12.8,8.5,5.8,1134.0,128.0
Punjab,2021,23.8,16.9,20.1,5.6,23.9,9.5,36081.0,1520.0
Rajasthan,2021,48.0,16.4,13.1,2.5,13.7,6.4,102675.0,2496.0
Sikkim,2021,25.5,13.9,54.2,0.5,5.5,0.4,1196.0,440.0
Tamil Nadu,2021,20.4,13.2,20.8,15.3,20.1,10.3,107750.0,3136.0
Telangana,2021,49.6,17.6,9.8,9.4,4.1,9.5,55967.0,1280.0
Dadra and Nagar Haveli and Daman and Diu,2021,11.4,4.2,76.4,3.5,3.1,1.4,709.0,128.0
Tripura,2021,28.8,27.0,11.4,7.3,19.4,6.0,6535.0,1216.0
Uttar Pradesh,2021,50.0,16.3,7.2,4.8,15.7,6.1,294671.0,5824.0
Uttarakhand,2021,36.9,20.0,24.4,1.3,9.0,8.4,15306.0,958.0
West Bengal,2021,24.8,21.4,15.3,16.2,15.5,6.8,165457.0,3328.0
Andaman and Nicobar Islands,2020,25.5,11.3,34.2,0.3,25.5,3.2,530.0,168.0
Andhra Pradesh,2020,23.5,14.8,11.3,28.6,8.3,13.5,99775.0,2167.0
Arunachal Pradesh,2020,52.5,16.0,27.0,0.4,2.4,1.6,2232.0,1080.0
Assam,2020,30.0,29.6,19.0,3.5,14.6,3.4,63819.0,2613.0
Bihar,2020,35.3,24.0,6.5,8.4,16.1,9.7,188086.0,3192.0
Chandigarh,2020,3.7,18.1,72.4,0.0,5.5,0.4,96.0,64.0
Chhattisgarh,2020,59.5,8.1,10.8,4.2,10.5,6.8,45783.0,1397.0
Delhi,2020,6.9,57.6,33.4,1.4,0.6,0.2,817.0,64.0
Goa,2020,7.1,25.4,46.4,4.0,5.5,11.5,1416.0,192.0
Gujarat,2020,43.7,11.1,21.4,13.5,3.4,6.9,68713.0,1664.0
Haryana,2020,26.2,18.3,29.4,3.7,14.5,7.9,34824.0,1336.0
Himachal Pradesh,2020,35.2,16.3,27.1,1.0,14.1,6.2,14381.0,1646.0
Jammu and Kashmir,2020,18.4,25.5,27.4,0.2,24.3,4.2,17588.0,1847.0
Jharkhand,2020,46.6,13.3,10.1,0.7,19.9,9.3,54160.0,1664.0
Karnataka,2020,40.6,11.7,13.6,20.3,8.2,5.6,87552.0,1784.0
Kerala,2020,14.2,19.3,20.8,8.2,20.5,17.0,46011.0,2112.0
Ladakh,2020,5.7,4.8,84.9,0.0,0.0,4.7,315.0,32.0
Lakshadweep,2020,35.7,8.7,52.0,0.0,0.0,3.7,21.0,32.0
