state,mgnreg_year,mgnreg_job_card_households_per_1000,mgnreg_work_less_20_days_per_1000,mgnreg_work_20_50_days_per_1000,mgnreg_work_50_100_days_per_1000,mgnreg_work_100_plus_days_per_1000,mgnreg_sought_not_received_per_1000,mgnreg_not_seeking_work_per_1000,mgnreg_average_days_worked,mgnreg_work_received_any_days_per_1000,mgnreg_100_plus_share_of_work_received_pct
Andaman and Nicobar Islands,2013,118,0,6,0,2,81,865,61,8,25.0
Andhra Pradesh,2013,694,78,195,265,29,181,252,62,567,5.114638447971781
Arunachal Pradesh,2013,260,77,32,109,0,285,328,51,218,0.0
Assam,2013,300,64,120,4,2,282,515,28,190,1.0526315789473684
Bihar,2013,294,79,3,4,0,522,388,23,86,0.0
Chandigarh,2013,0,0,0,0,0,0,0,0,0,
Chhattisgarh,2013,613,185,229,105,0,233,247,36,519,0.0
Dadra and Nagar Haveli and Daman and Diu,2013,122,0,122,0,0,220,1632,32,122,0.0
Delhi,2013,0,0,0,0,0,1000,0,0,0,
Goa,2013,195,0,0,0,0,6,994,0,0,
Gujarat,2013,450,203,84,27,0,96,512,23,314,0.0
Haryana,2013,0,0,0,0,0,60,940,0,0,
Himachal Pradesh,2013,543,57,170,125,40,143,465,62,392,10.204081632653061
Jammu and Kashmir,2013,368,36,0,0,0,32,588,14,36,0.0
Jharkhand,2013,391,140,29,20,0,245,491,20,189,0.0
Karnataka,2013,300,147,12,27,0,98,716,22,186,0.0
Kerala,2013,344,44,97,27,0,62,770,44,168,0.0
Lakshadweep,2013,392,42,213,132,0,21,592,54,387,0.0
Madhya Pradesh,2013,740,198,227,68,4,236,143,31,497,0.8048289738430584
Maharashtra,2013,214,46,11,6,0,218,719,22,63,0.0
Manipur,2013,860,106,165,589,0,9,123,62,860,0.0
Meghalaya,2013,490,71,171,182,0,141,353,51,424,0.0
Mizoram,2013,913,27,138,704,17,35,48,76,886,1.9187358916478554
Nagaland,2013,695,241,126,253,0,154,224,39,620,0.0
Odisha,2013,503,178,102,42,0,255,420,26,322,0.0
Puducherry,2013,0,0,0,0,0,0,0,0,0,
Punjab,2013,0,0,0,0,0,322,678,0,0,
Rajasthan,2013,828,22,135,617,3,82,93,78,777,0.3861003861003861
Sikkim,2013,552,69,79,374,0,8,470,66,522,0.0
Tamil Nadu,2013,293,91,79,116,0,11,703,41,286,0.0
Tripura,2013,884,9,227,640,0,39,80,66,876,0.0
Uttar Pradesh,2013,140,13,84,42,0,304,556,37,139,0.0
Uttarakhand,2013,471,239,129,5,0,259,329,19,373,0.0
West Bengal,2013,758,395,222,36,0,193,149,22,653,0.0
