state,year,residence_type,additional_info,sc_population,st_population
Andaman and Nicobar Islands,2011,rural,# No notified STs,0,26715.0
Andaman and Nicobar Islands,2011,urban,# No notified STs,0,1815.0
Andhra Pradesh,2011,rural,,6913047,5232129.0
Andhra Pradesh,2011,urban,,6965031,685944.0
Arunachal Pradesh,2011,rural,,0,789846.0
Arunachal Pradesh,2011,urban,,0,161975.0
Assam,2011,rural,,1145314,3665405.0
Assam,2011,urban,,1086007,218966.0
Bihar,2011,rural,,8606253,1270851.0
Bihar,2011,urban,,7961072,65722.0
Chandigarh,2011,rural,"# No Notified STs, blank-NST",106356,
Chandigarh,2011,urban,"# No Notified STs, blank-NST",92730,
Chhattisgarh,2011,rural,,1641738,7231082.0
Chhattisgarh,2011,urban,,1632531,591820.0
Delhi,2011,rural,"# No Notified STs, blank-NST",1488800,
Delhi,2011,urban,"# No Notified STs, blank-NST",1323509,
Goa,2011,rural,,12627,87639.0
Goa,2011,urban,,12822,61636.0
Gujarat,2011,rural,,2110331,8021848.0
Gujarat,2011,urban,,1964116,895326.0
Haryana,2011,rural,"# No Notified STs, blank-NST",2709656,
Haryana,2011,urban,"# No Notified STs, blank-NST",2403959,
Himachal Pradesh,2011,rural,,876300,374392.0
Himachal Pradesh,2011,urban,,852952,17734.0
Jammu and Kashmir,2011,rural,,486232,1406833.0
Jammu and Kashmir,2011,urban,,438759,86466.0
Jharkhand,2011,rural,,2043458,7868150.0
Jharkhand,2011,urban,,1942186,776892.0
Karnataka,2011,rural,,5264545,3429791.0
Karnataka,2011,urban,,5210447,819196.0
Kerala,2011,rural,,1477808,433092.0
Kerala,2011,urban,,1561765,51747.0
Lakshadweep,2011,rural,# No notified STs,0,13463.0
Lakshadweep,2011,urban,# No notified STs,0,47657.0
Madhya Pradesh,2011,rural,,5908638,14276874.0
Madhya Pradesh,2011,urban,,5433682,1039910.0
Maharashtra,2011,rural,,6767759,9006077.0
Maharashtra,2011,urban,,6508139,1504136.0
Manipur,2011,rural,,48714,791126.0
Manipur,2011,urban,,48328,111614.0
Meghalaya,2011,rural,,9157,2136891.0
Meghalaya,2011,urban,,8198,418970.0
Mizoram,2011,rural,,807,507467.0
Mizoram,2011,urban,,411,528648.0
Nagaland,2011,rural,,0,1306838.0
Nagaland,2011,urban,,0,404135.0
Odisha,2011,rural,,3617808,8994967.0
Odisha,2011,urban,,3570655,595789.0
Puducherry,2011,rural,"# No Notified STs, blank-NST",95512,
Puducherry,2011,urban,"# No Notified STs, blank-NST",100813,
Punjab,2011,rural,"# No Notified STs, blank-NST",4639875,
Punjab,2011,urban,"# No Notified STs, blank-NST",4220304,
Rajasthan,2011,rural,,6355564,8693123.0
Rajasthan,2011,urban,,5866029,545411.0
Sikkim,2011,rural,,14454,167146.0
Sikkim,2011,urban,,13821,39214.0
Tamil Nadu,2011,rural,,7204687,660280.0
Tamil Nadu,2011,urban,,7233758,134417.0
Dadra and Nagar Haveli and Daman and Diu,2011,rural,# No notified STs,6490,158561.0
Dadra and Nagar Haveli and Daman and Diu,2011,urban,# No notified STs,5820,35366.0
Tripura,2011,rural,,334370,1117566.0
Tripura,2011,urban,,320548,49247.0
Uttar Pradesh,2011,rural,,21676975,1031076.0
Uttar Pradesh,2011,urban,,19680633,103197.0
Uttarakhand,2011,rural,,968586,264819.0
Uttarakhand,2011,urban,,923930,27084.0
West Bengal,2011,rural,,11003304,4855115.0
West Bengal,2011,urban,,10459966,441838.0
