state,scholarship_post_matric_2019_20_release_lakh,scholarship_post_matric_2019_20_utilized_lakh,scholarship_post_matric_2020_21_release_lakh,scholarship_post_matric_2020_21_utilized_lakh,scholarship_post_matric_2021_22_release_lakh,scholarship_post_matric_2021_22_utilized_lakh,scholarship_post_matric_2022_23_release_lakh,scholarship_post_matric_2022_23_utilized_lakh,scholarship_post_matric_2023_24_release_lakh,scholarship_post_matric_2023_24_utilized_lakh,scholarship_pre_matric_2019_20_release_lakh,scholarship_pre_matric_2019_20_utilized_lakh,scholarship_pre_matric_2020_21_release_lakh,scholarship_pre_matric_2020_21_utilized_lakh,scholarship_pre_matric_2021_22_release_lakh,scholarship_pre_matric_2021_22_utilized_lakh,scholarship_pre_matric_2022_23_release_lakh,scholarship_pre_matric_2022_23_utilized_lakh,scholarship_pre_matric_2023_24_release_lakh,scholarship_pre_matric_2023_24_utilized_lakh,scholarship_total_release_2019_20_lakh,scholarship_total_utilized_2019_20_lakh,scholarship_utilization_2019_20_pct,scholarship_total_release_2020_21_lakh,scholarship_total_utilized_2020_21_lakh,scholarship_utilization_2020_21_pct,scholarship_total_release_2021_22_lakh,scholarship_total_utilized_2021_22_lakh,scholarship_utilization_2021_22_pct,scholarship_total_release_2022_23_lakh,scholarship_total_utilized_2022_23_lakh,scholarship_utilization_2022_23_pct,scholarship_total_release_2023_24_lakh,scholarship_total_utilized_2023_24_lakh,scholarship_utilization_2023_24_pct,scholarship_cumulative_release_lakh,scholarship_cumulative_utilized_lakh,scholarship_cumulative_utilization_pct
Andaman and Nicobar Islands,11.34,11.34,13.29,13.29,10.35,10.3,0.0,0.0,0.0,0.0,5.62,5.62,12.33,12.33,8.03,6.04,0.0,0.0,0.0,0.0,16.96,16.96,100.0,25.619999999999997,25.619999999999997,100.0,18.38,16.34,88.90097932535365,0.0,0.0,,0.0,0.0,,60.959999999999994,58.92,96.65354330708664
Andhra Pradesh,7797.07,7797.07,6039.35,6039.35,8991.45,8991.45,13356.5,13356.5,11471.08,0.0,736.32,736.32,1433.81,1433.81,3935.06,3935.06,0.0,0.0,5700.16,5700.16,8533.39,8533.39,100.0,7473.16,7473.16,100.0,12926.51,12926.51,100.0,13356.5,13356.5,100.0,17171.239999999998,5700.16,33.19597186924183,59460.799999999996,47989.72,80.70816403411996
Arunachal Pradesh,6113.41,6113.41,5712.96,5712.96,12360.5,12360.5,9616.49,9616.49,8000.0,8000.0,0.0,0.0,0.0,0.0,207.3,207.3,267.44,0.0,0.0,0.0,6113.41,6113.41,100.0,5712.96,5712.96,100.0,12567.8,12567.8,100.0,9883.93,9616.49,97.2941937063496,8000.0,8000.0,100.0,42278.1,42010.659999999996,99.36742663459331
Assam,4867.2,4867.2,5413.54,5413.54,1093.4,1093.4,6845.47,6845.47,3500.0,3499.81,0.0,0.0,17.27,17.27,102.19,102.19,107.41,107.41,187.5,141.22,4867.2,4867.2,100.0,5430.81,5430.81,100.0,1195.5900000000001,1195.5900000000001,100.0,6952.88,6952.88,100.0,3687.5,3641.0299999999997,98.73979661016948,22133.98,22087.51,99.79005131476579
Bihar,1525.43,1525.43,708.22,539.1,0.0,0.0,0.0,0.0,0.0,0.0,7131.47,6773.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8656.9,8298.76,95.86295325116382,708.22,539.1,76.12041456044732,0.0,0.0,,0.0,0.0,,0.0,0.0,,9365.119999999999,8837.86,94.3699600218684
Chhattisgarh,7022.69,7022.69,8790.24,8790.24,0.0,0.0,9330.35,9330.35,7125.0,7125.0,4796.94,4796.94,3541.54,3541.54,0.0,0.0,0.0,0.0,5250.0,0.0,11819.63,11819.63,100.0,12331.779999999999,12331.779999999999,100.0,0.0,0.0,,9330.35,9330.35,100.0,12375.0,7125.0,57.57575757575758,45856.759999999995,40606.759999999995,88.55130628504936
Dadra and Nagar Haveli and Daman and Diu,88.66,88.66,3481.73,3481.73,0.0,0.0,0.0,0.0,403.75,403.73,38.49,38.49,234.0,234.0,206.62,0.0,0.0,0.0,0.0,0.0,127.15,127.15,100.0,3715.73,3715.73,100.0,206.62,0.0,0.0,0.0,0.0,,403.75,403.73,99.99504643962848,4453.25,4246.610000000001,95.35979340930783
Daman and Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,5.89,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,5.89,5.89,100.0
Goa,732.79,732.79,458.18,458.18,0.0,0.0,1187.23,1187.23,526.54,526.54,80.56,80.56,41.35,41.35,0.0,0.0,108.18,108.18,52.5,20.43,813.3499999999999,813.3499999999999,100.0,499.53000000000003,499.53000000000003,100.0,0.0,0.0,,1295.41,1295.41,100.0,579.04,546.9699999999999,94.46152252003314,3187.33,3155.2599999999998,98.99382869047133
Gujarat,14004.48,14004.48,22977.64,22977.64,46170.25,46170.25,24426.38,24426.38,35000.0,19400.0,5248.34,5248.34,2198.84,2198.84,3689.18,3689.18,5451.67,5451.67,6200.0,0.0,19252.82,19252.82,100.0,25176.48,25176.48,100.0,49859.43,49859.43,100.0,29878.050000000003,29878.050000000003,100.0,41200.0,19400.0,47.0873786407767,165366.78000000003,143566.78000000003,86.81718299165044
