state,year,tribe_name,households,male_population,female_population,sex_ratio,child_sex_ratio,literacy_total_pct,literacy_male_pct,literacy_female_pct,wpr_pct,main_worker_pct,marginal_worker_pct,tribe_population
Andaman and Nicobar Islands,2011,All Schedule Tribes,7094,14731,13799,937,955.0,75.6,80.9,69.9,40.9,40.2,59.8,28530
Andaman and Nicobar Islands,2011,Andamanese Cha- riar Chari Kora Tabo Bo Yere Kede Bea Balawa Bojigiyab Juwai Kol,19,18,26,1444,1333.0,89.2,80.0,95.5,43.2,100.0,0.0,44
Andaman and Nicobar Islands,2011,Jarawas,93,194,186,959,873.0,0.0,0.0,0.0,63.2,100.0,0.0,380
Andaman and Nicobar Islands,2011,Nicobarese,6758,14011,13157,939,956.0,77.0,82.7,71.0,40.6,38.1,61.9,27168
Andaman and Nicobar Islands,2011,Onges,19,52,49,942,1600.0,57.3,61.9,51.5,39.6,7.5,92.5,101
Andaman and Nicobar Islands,2011,Sentinelese,10,12,3,250,,0.0,0.0,0.0,93.3,85.7,14.3,15
Andaman and Nicobar Islands,2011,Shom Pens,57,141,88,624,714.0,3.2,2.2,4.8,1.3,33.3,66.7,229
Andhra Pradesh,2011,All Schedule Tribes,1495485,2969362,2948711,993,931.0,49.2,58.3,40.1,54.2,80.0,20.0,5918073
Andhra Pradesh,2011,Andh Sadhu Andh,3193,6604,6593,998,885.0,54.4,63.6,45.4,53.1,87.3,12.7,13197
Andhra Pradesh,2011,Bagata,35427,65333,68094,1042,987.0,51.2,62.6,40.3,57.6,70.2,29.8,133427
Andhra Pradesh,2011,Bhil,153,297,307,1034,976.0,57.0,66.7,47.7,46.9,94.7,5.3,604
Andhra Pradesh,2011,Chenchu,16572,32196,32031,995,988.0,40.6,47.3,34.0,53.6,79.4,20.6,64227
Andhra Pradesh,2011,Dhulia Paiko Putiya (in the districts of Vishakhapatnam and Vijayanagaram),281,319,346,1085,1000.0,55.3,67.5,44.2,52.6,58.3,41.7,665
Andhra Pradesh,2011,Gadabas Bodo Gada- ba Gutob Gadaba Kallayi Gadaba Parangi Gadaba Kathera Gadaba Kapu Gadaba,10645,18518,19563,1056,1017.0,47.7,55.1,40.8,58.7,72.5,27.5,38081
Andhra Pradesh,2011,Gond Naikpod Rajgond Koitur,73640,150193,154344,1028,976.0,49.3,58.3,40.6,57.1,81.3,18.7,304537
Andhra Pradesh,2011,Goudu (in the Agency tracts)a,2086,3466,3595,1037,1051.0,41.8,53.9,30.2,57.6,76.7,23.3,7061
Andhra Pradesh,2011,Hill Reddis,326,216,197,912,1333.0,65.5,67.2,63.6,49.4,88.2,11.8,413
Andhra Pradesh,2011,Jatapus,30545,60905,65934,1083,1032.0,49.3,59.0,40.4,58.3,72.7,27.3,126839
Andhra Pradesh,2011,Kammara,17603,26572,27591,1038,968.0,53.7,61.5,46.3,58.7,68.1,31.9,54163
Andhra Pradesh,2011,Kattunayakan,48,76,74,974,1429.0,54.1,63.8,43.8,45.3,63.2,36.8,150
Andhra Pradesh,2011,Kolam Kolawar,10702,22534,22378,993,955.0,39.0,47.5,30.5,56.6,76.2,23.8,44912
Andhra Pradesh,2011,Konda Dhoras Kubi,55320,104283,106806,1024,987.0,45.8,54.6,37.2,58.0,69.7,30.3,211089
Andhra Pradesh,2011,Konda Kapus,4964,6331,6294,994,1031.0,68.0,74.0,62.0,49.9,74.9,25.1,12625
Andhra Pradesh,2011,Kondareddis,30743,53244,54503,1024,1010.0,55.1,62.2,48.2,58.5,75.4,24.6,107747
Andhra Pradesh,2011,Kondhs Kodi Kod- hu Desaya Kondhs Dongria Kondhs Kuttiya Kondhs Tikiria Kondhs Yen- ity Kondhs Kuvinga,24768,50800,52490,1033,1028.0,29.7,40.7,19.1,58.5,71.1,28.9,103290
Andhra Pradesh,2011,Kotia Bentho Oriya Bartika Dulia Holva Sanrona Sidhopaiko,11384,22294,23371,1048,968.0,49.7,63.3,36.8,55.8,63.2,36.8,45665
Andhra Pradesh,2011,Koya Doli Koya Gutta Koya Kam- mara Koya Musara Koya Oddi Koya Pattidi Koya Rajah Rasha Koya Lingad- hari Koya (ordinary) Kottu Koya Bhine Koya Rajkoya,158522,289025,301714,1044,994.0,53.7,60.7,47.0,58.5,80.2,19.8,590739
Andhra Pradesh,2011,Kulia,304,360,315,875,850.0,51.7,62.2,39.9,55.1,72.3,27.7,675
Andhra Pradesh,2011,Malis (excluding Adilabad Hyderabad Karimnagar Kham- mam Mahbubnagar Medak Nalgonda Nizamabad and Wa- rangal districts),2292,2590,2703,1044,1066.0,44.5,54.4,35.1,54.9,78.4,21.6,5293
Andhra Pradesh,2011,Manna Dhora,5398,8845,9184,1038,1037.0,52.1,59.3,45.1,54.8,71.0,29.0,18029
Andhra Pradesh,2011,Mukha Dhora Nooka Dhora,10830,20735,21685,1046,1067.0,36.0,45.3,27.1,61.1,71.2,28.8,42420
Andhra Pradesh,2011,Nakkala Kurvikaran,1400,2836,2897,1022,1048.0,28.3,32.9,23.8,51.2,88.3,11.7,5733
Andhra Pradesh,2011,Nayaks (in the Agency tracts)a,2491,4070,4166,1024,882.0,55.0,61.1,49.2,59.3,87.4,12.6,8236
Andhra Pradesh,2011,Pardhan,6203,12477,12346,990,920.0,66.2,75.6,56.7,47.7,78.3,21.7,24823
Andhra Pradesh,2011,Porja Parangiperja,9516,17741,18761,1057,995.0,35.0,45.8,24.9,58.5,74.2,25.8,36502
Andhra Pradesh,2011,Reddi Dhoras,301,497,483,972,1318.0,44.4,55.2,32.9,56.5,79.1,20.9,980
Andhra Pradesh,2011,Rona Rena,843,546,538,985,851.0,63.9,71.6,56.2,39.7,83.3,16.7,1084
Andhra Pradesh,2011,Savaras Kapu Savaras Maliya Savaras Khutto Savaras,32528,68432,70992,1037,974.0,49.7,59.3,40.6,54.6,61.2,38.8,139424
Andhra Pradesh,2011,Sugalis Lambadis Banjara,559107,1231006,1176631,956,879.0,49.0,60.0,37.6,51.6,85.2,14.8,2407637
Andhra Pradesh,2011,Thoti (in Adilabad Hyderabad Ka- rimnagar Kham- mam Mahbubnagar Medak Nalgonda Nizamabad and Wa- rangal districts),1246,2308,2503,1084,944.0,62.7,75.2,51.5,50.1,80.7,19.3,4811
Andhra Pradesh,2011,Valmiki (in the Scheduled Areas of Vishakhapatnam Srikakulam Vijayana- garam East Godavari and West Godavari districts),20344,34060,36453,1070,985.0,67.0,76.4,58.2,52.6,69.1,30.9,70513
Andhra Pradesh,2011,Yenadis Chella Yena- di Kappala Yenadi Manchi Yenadi Reddi Yenadi,151435,272203,265605,976,942.0,40.8,44.2,37.3,58.0,78.9,21.1,537808
Andhra Pradesh,2011,Yerukulas Koracha Dabba Yerukula Kunchapuri Yerukula Uppu Yerukula,135727,259169,260168,1004,948.0,55.1,63.7,46.7,49.7,83.4,16.6,519337
Arunachal Pradesh,2011,Abor,544,838,834,995,945.0,75.5,82.8,68.2,47.6,82.7,17.3,1672
Arunachal Pradesh,2011,Adi,13943,33626,34243,1018,966.0,68.2,74.6,61.9,43.4,80.5,19.5,67869
Arunachal Pradesh,2011,Adi bori,65,91,92,1011,643.0,72.5,75.3,69.9,40.4,81.1,18.9,183
Arunachal Pradesh,2011,Adi gallong,3724,9248,9356,1012,969.0,73.3,78.3,68.4,44.2,81.1,18.9,18604
Arunachal Pradesh,2011,Adi minyong,5041,12408,12704,1024,982.0,79.4,84.5,74.5,40.1,88.0,12.0,25112
Arunachal Pradesh,2011,Adi padam,2921,6546,6921,1057,984.0,75.2,81.9,68.9,40.0,79.8,20.2,13467
Arunachal Pradesh,2011,Adi pasi,770,1495,1570,1050,1077.0,76.1,82.4,70.2,43.7,76.4,23.6,3065
Arunachal Pradesh,2011,Adiramo,7,4,6,1500,0.0,88.9,100.0,83.3,20.0,100.0,0.0,10
Arunachal Pradesh,2011,Aka,1454,3940,4170,1058,975.0,65.2,72.4,58.6,41.4,86.5,13.5,8110
Arunachal Pradesh,2011,All Schedule Tribes,193910,468390,483431,1032,977.0,64.6,71.5,58.0,40.3,79.9,20.1,951821
Arunachal Pradesh,2011,Any Naga tribes,4019,6313,6025,954,1028.0,51.7,61.2,41.6,46.4,82.3,17.7,12338
Arunachal Pradesh,2011,Apatani,8661,21254,22523,1060,949.0,83.9,89.4,78.8,35.1,73.1,26.9,43777
Arunachal Pradesh,2011,Ashing,149,370,356,962,1286.0,36.2,46.3,25.4,47.4,98.3,1.7,726
Arunachal Pradesh,2011,Bagi,57,35,29,829,2000.0,51.7,69.7,28.0,46.9,96.7,3.3,64
Arunachal Pradesh,2011,Bangni,139,328,363,1107,1042.0,59.4,71.5,48.6,41.8,68.9,31.1,691
Arunachal Pradesh,2011,Bogum,74,83,75,904,1000.0,77.5,80.8,73.8,25.9,90.2,9.8,158
Arunachal Pradesh,2011,Bokar,1014,2275,2435,1070,755.0,47.4,54.8,40.7,37.8,90.7,9.3,4710
Arunachal Pradesh,2011,Bomdo,14,12,14,1167,600.0,88.9,100.0,81.8,46.2,41.7,58.3,26
Arunachal Pradesh,2011,Bori,811,1671,1712,1025,874.0,60.5,66.0,55.3,38.5,93.1,6.9,3383
