sample,education_variable,outcome_variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r
all_states,Secondary dropout,Mean ST BPL,17,0.6644,0.0036,0.6201,0.0079,0.6644
all_states,Secondary dropout,Rural ST BPL,17,0.6593,0.004,0.6642,0.0036,0.6593
all_states,Female ST literacy,Unemployment,28,0.6491,0.0002,0.6539,0.0002,0.6491
all_states,GER classes IX-XII,Rural ST BPL,17,-0.6398,0.0057,-0.4877,0.047,0.6398
all_states,ST literacy rate,Unemployment,27,0.6304,0.0004,0.6428,0.0003,0.6304
all_states,Female ST literacy,Female unemployment,28,0.6201,0.0004,0.7075,0.0,0.6201
all_states,ST literacy rate,Female unemployment,27,0.6062,0.0008,0.7127,0.0,0.6062
all_states,GER classes IX-XII,Mean ST BPL,17,-0.5808,0.0145,-0.4289,0.0858,0.5808
all_states,Female literacy gap,Female unemployment,28,-0.5541,0.0022,-0.6191,0.0004,0.5541
all_states,Female literacy gap,Unemployment,28,-0.5377,0.0032,-0.5223,0.0044,0.5377
all_states,Upper-primary dropout,MGNREG job-card households,33,0.5092,0.0025,0.5476,0.001,0.5092
all_states,ST literacy rate,MGNREG unmet demand,27,-0.4913,0.0093,-0.4815,0.011,0.4913
all_states,Secondary dropout,Urban ST BPL,17,0.4858,0.048,0.3824,0.1299,0.4858
all_states,Female ST literacy,MGNREG unmet demand,29,-0.4719,0.0097,-0.433,0.019,0.4719
all_states,Primary dropout,MGNREG job-card households,33,0.4636,0.0066,0.5687,0.0006,0.4636
all_states,Literacy gap,Unemployment,27,-0.4363,0.0229,-0.4216,0.0285,0.4363
all_states,Female literacy gap,MGNREG unmet demand,29,0.4224,0.0225,0.503,0.0054,0.4224
all_states,Primary female enrolment share,MGNREG unmet demand,30,-0.3917,0.0323,0.0696,0.7146,0.3917
all_states,Literacy gap,WPR,27,0.3742,0.0545,0.3481,0.0752,0.3742
all_states,Upper-primary dropout,Mean ST BPL,17,0.3697,0.1442,0.3301,0.1957,0.3697
all_states,ST literacy rate,WPR,27,-0.3606,0.0646,-0.3637,0.0622,0.3606
all_states,Upper-primary female enrolment share,Urban ST BPL,18,0.3606,0.1416,0.3292,0.1822,0.3606
all_states,Primary female enrolment share,Urban ST BPL,18,0.3599,0.1423,0.4283,0.0762,0.3599
all_states,Female ST literacy,MGNREG average days worked,29,0.3543,0.0593,0.3428,0.0687,0.3543
all_states,Female literacy gap,MGNREG average days worked,29,-0.3464,0.0657,-0.4294,0.0201,0.3464
all_states,ST literacy rate,MGNREG average days worked,27,0.3453,0.0777,0.3242,0.099,0.3453
all_states,Primary dropout,Urban ST BPL,17,0.3452,0.1748,0.291,0.2571,0.3452
all_states,GER classes IX-XII,Urban ST BPL,17,-0.3336,0.1906,-0.201,0.4392,0.3336
all_states,Literacy gap,MGNREG average days worked,27,-0.3309,0.0918,-0.2906,0.1414,0.3309
all_states,Upper-primary dropout,Rural ST BPL,17,0.3303,0.1954,0.3176,0.2141,0.3303
all_states,Literacy gap,LFPR,27,0.3237,0.0996,0.3457,0.0773,0.3237
all_states,GER classes I-VIII,Female unemployment,26,-0.3231,0.1074,-0.0972,0.6365,0.3231
all_states,Upper-primary female enrolment share,Unemployment,29,0.3223,0.0882,0.3592,0.0557,0.3223
all_states,Upper-primary dropout,Urban ST BPL,17,0.3222,0.2072,0.3573,0.1591,0.3222
all_states,Upper-primary dropout,MGNREG average days worked,33,0.3207,0.0688,0.3931,0.0236,0.3207
all_states,Upper-primary female enrolment share,MGNREG unmet demand,30,-0.3207,0.084,-0.1755,0.3535,0.3207
all_states,Female ST literacy,WPR,28,-0.3193,0.0977,-0.3386,0.078,0.3193
all_states,Primary dropout,MGNREG average days worked,33,0.3109,0.0782,0.3133,0.0759,0.3109
all_states,Female ST literacy,Rural ST BPL,18,-0.3094,0.2115,-0.195,0.438,0.3094
all_states,Secondary dropout,WPR,30,0.2975,0.1104,0.2897,0.1205,0.2975
