state,year,total_literacy_rate_pct,st_literacy_rate_pct,literacy_gap_pct,total_population,state_share_india_population_pct,st_population,state_share_india_st_population_pct_x,st_share_state_population_pct_x,decadal_growth_pct,pre_primary_boys,pre_primary_girls,primary_boys,primary_girls,upper_primary_boys,upper_primary_girls,pre_primary_total,primary_total,upper_primary_total,pre_primary_female_share_pct,primary_female_share_pct,upper_primary_female_share_pct,mgnreg_job_card_households_per_1000,mgnreg_work_less_20_days_per_1000,mgnreg_work_20_50_days_per_1000,mgnreg_work_50_100_days_per_1000,mgnreg_work_100_plus_days_per_1000,mgnreg_sought_not_received_per_1000,mgnreg_not_seeking_work_per_1000,mgnreg_all_status_per_1000,mgnreg_average_days_worked,st_share_state_population_pct_y,state_share_india_st_population_pct_y,tribal_villages_gt_25_count,tribal_villages_gt_50_count,tribal_villages_gt_75_count,tribal_villages_gt_90_count,tribal_villages_100_pct_count,hh_self_employed_agriculture_pct,hh_self_employed_non_agriculture_pct,hh_regular_wage_salary_pct,hh_casual_labour_agriculture_pct,hh_casual_labour_non_agriculture_pct,hh_others_pct,estimated_households,sample_households,ger_classes_i_viii,ger_classes_i_x,ger_classes_i_xii,ger_classes_ix_x,ger_classes_ix_xii,ger_classes_xi_xii,employment_lfpr_female_per_1000,employment_lfpr_male_per_1000,employment_lfpr_person_per_1000,employment_pu_female_per_1000,employment_pu_male_per_1000,employment_pu_person_per_1000,employment_wpr_female_per_1000,employment_wpr_male_per_1000,employment_wpr_person_per_1000,st_bpl_rural_pct,st_bpl_urban_pct,st_bpl_mean_pct,st_population_rural,st_population_urban,low_literacy_district_count,low_literacy_female_min_pct,low_literacy_female_mean_pct,dropout_primary_pct,dropout_upper_primary_pct,dropout_secondary_pct
Andaman and Nicobar Islands,1991,73.0,56.6,16.4,280661.0,6.86,26.77,3.19,7.5,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,2001,81.3,66.8,14.5,356152.0,6.86,29469.0,3.19,7.5,0.03,,,,,,,,,,,,,,,,,,,,,,,,167.0,163.0,157.0,141.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,2010,,,,,,,,,,61.0,58.0,1222.0,1148.0,889.0,756.0,119.0,2370.0,1645.0,48.739495798319325,48.43881856540085,45.95744680851064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,2011,86.6,75.6,11.0,380581.0,6.86,28530.0,3.19,7.5,0.03,,,,,,,,,,,,,,,,,,,,,,,,93.0,89.0,84.0,77.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,26715.0,1815.0,,,,,,
Andaman and Nicobar Islands,2013,,,,,,,,,,,,,,,,,,,,,,118.0,0.0,6.0,0.0,2.0,81.0,865.0,1000.0,61.0,,,,,,,,,,,,,,,,76.4,76.2,73.0,75.4,66.0,55.0,187.0,610.0,406.0,35.0,12.0,23.0,151.0,599.0,383.0,,,,,,,,,,,
Andaman and Nicobar Islands,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,10.1,45.6,2.4,13.5,8.4,575.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,20.3,46.9,0.5,11.7,9.5,606.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,12.1,42.9,0.0,14.6,13.8,693.0,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,11.3,34.2,0.3,25.5,3.2,530.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,9.1,24.5,4.5,25.0,3.8,537.0,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,17.4,36.1,2.9,10.0,6.2,,238.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.96,10.34
Andaman and Nicobar Islands,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,14.4,33.9,1.8,14.8,7.6,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,1991,44.1,17.2,26.9,66508008.0,10.98,4199481.0,17.79,7.0,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,2001,60.5,37.0,23.4,76210007.0,10.98,5024104.0,17.79,7.0,5.68,,,,,,,,,,,,,,,,,,,,,,,,6589.0,5239.0,4444.0,3812.0,2407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,21.2,30.700000000000003,,,,,,,,
Andhra Pradesh,2010,,,,,,,,,,13039.0,9009.0,396410.0,373650.0,152900.0,131787.0,22048.0,770060.0,284687.0,40.860849056603776,48.522193075864216,46.29189249948188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,2011,67.0,49.2,17.8,84580777.0,10.98,5918073.0,17.79,7.0,5.68,,,,,,,,,,,,,,,,,,,,,,,,6748.0,5335.0,4515.0,3928.0,1466.0,,,,,,,,,,,,,,,,,,,,,,,,24.1,12.1,18.1,5232129.0,685944.0,1.0,34.7,34.7,,,
Andhra Pradesh,2013,,,,,,,,,,,,,,,,,,,,,,694.0,78.0,195.0,265.0,29.0,181.0,252.0,1000.0,62.0,,,,,,,,,,,,,,,,112.0,104.9,97.7,72.5,63.6,53.5,544.0,587.0,566.0,0.0,1.0,1.0,544.0,585.0,565.0,,,,,,,,,,,
Andhra Pradesh,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,13.7,11.2,25.0,10.6,14.3,93607.0,2176.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,14.2,14.2,20.4,11.3,18.5,94884.0,2160.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,15.0,10.9,25.3,9.2,16.4,96058.0,2168.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,14.8,11.3,28.6,8.3,13.5,99775.0,2167.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,16.4,15.9,21.4,11.2,12.1,96721.0,2168.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,16.6,15.3,16.9,11.2,15.4,,2168.0,,,,,,,,,,,,,,,,,,,,,,,,1.23,6.23,11.64
Andhra Pradesh,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7,14.8,13.6,15.9,11.3,16.5,,2160.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,1991,41.6,34.4,7.2,864558.0,26.03,550351.0,34.98,68.79,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,2001,54.3,49.6,4.7,1097968.0,26.03,705158.0,34.98,68.79,0.91,,,,,,,,,,,,,,,,,,,,,,,,3555.0,3378.0,3144.0,2894.0,2165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,2010,,,,,,,,,,22554.0,20227.0,88778.0,84121.0,30383.0,29362.0,42781.0,172899.0,59745.0,47.28033472803347,48.65325999572004,49.14553519122939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,2011,65.4,64.6,0.8,1383727.0,26.03,951821.0,34.98,68.79,0.91,,,,,,,,,,,,,,,,,,,,,,68.79,0.91,4859.0,4667.0,4367.0,3929.0,2382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,789846.0,161975.0,,,,,,
Arunachal Pradesh,2013,,,,,,,,,,,,,,,,,,,,,,260.0,77.0,32.0,109.0,0.0,285.0,328.0,1000.0,51.0,,,,,,,,,,,,,,,,169.9,149.7,134.2,73.5,63.5,52.3,295.0,480.0,392.0,2.0,11.0,7.0,292.0,469.0,385.0,,,,,,,,,,,
Arunachal Pradesh,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,18.7,26.2,0.5,3.1,1.3,2221.0,1070.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4,18.9,25.2,1.4,1.9,1.2,2337.0,1088.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6,16.1,25.7,0.7,2.3,2.5,2169.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,
