column,missing_count,missing_pct
estimated_households,19,100.0
low_literacy_district_count,12,63.16
low_literacy_female_mean_pct,12,63.16
low_literacy_female_min_pct,12,63.16
low_literacy_total_mean_pct,12,63.16
score_component_low_literacy_district_count,12,63.16
score_component_st_bpl_mean_pct,10,52.63
st_bpl_mean_pct,10,52.63
st_bpl_rural_pct,10,52.63
st_bpl_urban_pct,10,52.63
pre_primary_female_share_pct,7,36.84
scholarship_utilization_2021_22_pct,4,21.05
scholarship_utilization_2020_21_pct,3,15.79
scholarship_utilization_2022_23_pct,3,15.79
pre_primary_total,2,10.53
scholarship_utilization_2019_20_pct,2,10.53
scholarship_utilization_2023_24_pct,2,10.53
employment_lfpr_female_per_1000,1,5.26
employment_lfpr_male_per_1000,1,5.26
employment_lfpr_person_per_1000,1,5.26
employment_pu_female_per_1000,1,5.26
employment_pu_male_per_1000,1,5.26
employment_pu_person_per_1000,1,5.26
employment_wpr_female_per_1000,1,5.26
employment_wpr_male_per_1000,1,5.26
employment_wpr_person_per_1000,1,5.26
literacy_gap_pct,1,5.26
literacy_year,1,5.26
mgnreg_100_plus_share_of_work_received_pct,1,5.26
scholarship_cumulative_release_lakh,1,5.26
scholarship_cumulative_release_lakh_per_100k_st_pop,1,5.26
scholarship_cumulative_utilization_pct,1,5.26
scholarship_cumulative_utilized_lakh,1,5.26
scholarship_cumulative_utilized_lakh_per_100k_st_pop,1,5.26
scholarship_post_matric_2019_20_release_lakh,1,5.26
scholarship_post_matric_2019_20_utilized_lakh,1,5.26
scholarship_post_matric_2020_21_release_lakh,1,5.26
scholarship_post_matric_2020_21_utilized_lakh,1,5.26
scholarship_post_matric_2021_22_release_lakh,1,5.26
scholarship_post_matric_2021_22_utilized_lakh,1,5.26
scholarship_post_matric_2022_23_release_lakh,1,5.26
scholarship_post_matric_2022_23_utilized_lakh,1,5.26
scholarship_post_matric_2023_24_release_lakh,1,5.26
scholarship_post_matric_2023_24_utilized_lakh,1,5.26
scholarship_pre_matric_2019_20_release_lakh,1,5.26
scholarship_pre_matric_2019_20_utilized_lakh,1,5.26
scholarship_pre_matric_2020_21_release_lakh,1,5.26
scholarship_pre_matric_2020_21_utilized_lakh,1,5.26
scholarship_pre_matric_2021_22_release_lakh,1,5.26
scholarship_pre_matric_2021_22_utilized_lakh,1,5.26
scholarship_pre_matric_2022_23_release_lakh,1,5.26
scholarship_pre_matric_2022_23_utilized_lakh,1,5.26
scholarship_pre_matric_2023_24_release_lakh,1,5.26
scholarship_pre_matric_2023_24_utilized_lakh,1,5.26
scholarship_total_release_2019_20_lakh,1,5.26
scholarship_total_release_2020_21_lakh,1,5.26
scholarship_total_release_2021_22_lakh,1,5.26
scholarship_total_release_2022_23_lakh,1,5.26
scholarship_total_release_2023_24_lakh,1,5.26
scholarship_total_release_2023_24_lakh_per_100k_st_pop,1,5.26
scholarship_total_utilized_2019_20_lakh,1,5.26
scholarship_total_utilized_2020_21_lakh,1,5.26
scholarship_total_utilized_2021_22_lakh,1,5.26
scholarship_total_utilized_2022_23_lakh,1,5.26
scholarship_total_utilized_2023_24_lakh,1,5.26
scholarship_total_utilized_2023_24_lakh_per_100k_st_pop,1,5.26
score_component_employment_pu_person_per_1000,1,5.26
score_component_literacy_gap_pct,1,5.26
score_component_st_literacy_deprivation_pct,1,5.26
st_literacy_deprivation_pct,1,5.26
st_literacy_rate_pct,1,5.26
total_literacy_rate_pct,1,5.26
tribal_villages_100_pct_count,1,5.26
tribal_villages_gt_25_count,1,5.26
tribal_villages_gt_50_count,1,5.26
tribal_villages_gt_75_count,1,5.26
tribal_villages_gt_90_count,1,5.26
academic_year,0,0.0
decadal_growth_pct,0,0.0
demographics_year,0,0.0
dropout_primary_pct,0,0.0
dropout_secondary_pct,0,0.0
dropout_upper_primary_pct,0,0.0
economic_vulnerability_score,0,0.0
education_disadvantage_score,0,0.0
enrolment_year,0,0.0
female_literacy_deprivation_pct,0,0.0
ger_classes_i_viii,0,0.0
ger_classes_i_viii_boys,0,0.0
ger_classes_i_viii_girls,0,0.0
ger_classes_i_viii_gpi,0,0.0
ger_classes_i_x,0,0.0
ger_classes_i_x_boys,0,0.0
ger_classes_i_x_girls,0,0.0
ger_classes_i_x_gpi,0,0.0
ger_classes_i_xii,0,0.0
ger_classes_i_xii_boys,0,0.0
ger_classes_i_xii_girls,0,0.0
ger_classes_i_xii_gpi,0,0.0
ger_classes_ix_x,0,0.0
ger_classes_ix_x_boys,0,0.0
ger_classes_ix_x_girls,0,0.0
ger_classes_ix_x_gpi,0,0.0
ger_classes_ix_xii,0,0.0
ger_classes_ix_xii_boys,0,0.0
ger_classes_ix_xii_girls,0,0.0
ger_classes_ix_xii_gpi,0,0.0
ger_classes_xi_xii,0,0.0
ger_classes_xi_xii_boys,0,0.0
ger_classes_xi_xii_girls,0,0.0
ger_classes_xi_xii_gpi,0,0.0
ger_latest_elementary_boys,0,0.0
ger_latest_elementary_girls,0,0.0
ger_latest_elementary_gpi,0,0.0
ger_latest_elementary_total,0,0.0
ger_latest_higher_secondary_boys,0,0.0
ger_latest_higher_secondary_girls,0,0.0
ger_latest_higher_secondary_gpi,0,0.0
ger_latest_higher_secondary_total,0,0.0
ger_latest_ix_xii_avg,0,0.0
ger_latest_ix_xii_avg_boys,0,0.0
ger_latest_ix_xii_avg_girls,0,0.0
ger_latest_ix_xii_avg_gpi,0,0.0
ger_latest_ix_xii_avg_total,0,0.0
ger_latest_primary_boys,0,0.0
ger_latest_primary_girls,0,0.0
ger_latest_primary_gpi,0,0.0
ger_latest_primary_total,0,0.0
ger_latest_secondary_boys,0,0.0
ger_latest_secondary_girls,0,0.0
ger_latest_secondary_gpi,0,0.0
ger_latest_secondary_total,0,0.0
ger_latest_upper_primary_boys,0,0.0
ger_latest_upper_primary_girls,0,0.0
ger_latest_upper_primary_gpi,0,0.0
ger_latest_upper_primary_total,0,0.0
ger_latest_year,0,0.0
ger_year,0,0.0
gpi_academic_year,0,0.0
gpi_higher_secondary,0,0.0
gpi_higher_secondary_2020_21,0,0.0
gpi_higher_secondary_2021_22,0,0.0
gpi_ix_xii_avg,0,0.0
gpi_primary,0,0.0
gpi_primary_2020_21,0,0.0
gpi_primary_2021_22,0,0.0
gpi_secondary,0,0.0
gpi_secondary_2020_21,0,0.0
gpi_secondary_2021_22,0,0.0
gpi_upper_primary,0,0.0
gpi_upper_primary_2020_21,0,0.0
gpi_upper_primary_2021_22,0,0.0
hh_casual_labour_agriculture_pct,0,0.0
hh_casual_labour_non_agriculture_pct,0,0.0
hh_others_pct,0,0.0
hh_regular_wage_salary_pct,0,0.0
hh_self_employed_agriculture_pct,0,0.0
hh_self_employed_non_agriculture_pct,0,0.0
high_st_share_state_population_pct,0,0.0
high_st_share_year,0,0.0
high_st_state_share_india_st_population_pct,0,0.0
is_high_st_share_state,0,0.0
mgnreg_average_days_worked,0,0.0
mgnreg_job_card_households_per_1000,0,0.0
mgnreg_not_seeking_work_per_1000,0,0.0
mgnreg_sought_not_received_per_1000,0,0.0
mgnreg_work_100_plus_days_per_1000,0,0.0
mgnreg_work_20_50_days_per_1000,0,0.0
mgnreg_work_50_100_days_per_1000,0,0.0
mgnreg_work_less_20_days_per_1000,0,0.0
mgnreg_work_received_any_days_per_1000,0,0.0
mgnreg_year,0,0.0
overall_priority_rank,0,0.0
overall_priority_score,0,0.0
policy_priority_category,0,0.0
primary_female_share_pct,0,0.0
primary_total,0,0.0
sample_households,0,0.0
score_component_dropout_secondary_pct,0,0.0
score_component_female_literacy_deprivation_pct,0,0.0
score_component_mgnreg_sought_not_received_per_1000,0,0.0
st_population,0,0.0
st_population_residence_total,0,0.0
st_population_rural,0,0.0
st_population_urban,0,0.0
st_population_urban_share_pct,0,0.0
st_share_state_population_pct,0,0.0
state,0,0.0
state_share_india_st_population_pct,0,0.0
total_population,0,0.0
tribe_count,0,0.0
tribe_population_total,0,0.0
tribe_weighted_literacy_female_pct,0,0.0
tribe_weighted_literacy_male_pct,0,0.0
tribe_weighted_literacy_total_pct,0,0.0
tribe_weighted_main_worker_pct,0,0.0
tribe_weighted_marginal_worker_pct,0,0.0
tribe_weighted_wpr_pct,0,0.0
upper_primary_female_share_pct,0,0.0
upper_primary_total,0,0.0
