state,dropout_primary_pct,dropout_upper_primary_pct,dropout_secondary_pct
Odisha,0.42,8.77,33.12
Meghalaya,9.96,10.83,21.99
Maharashtra,0.77,2.85,21.04
Gujarat,0.54,6.47,20.35
Madhya Pradesh,4.49,14.02,17.6
Nagaland,3.88,3.2,16.79
Jammu and Kashmir,3.31,5.02,14.17
Chhattisgarh,1.99,5.92,12.79
Jharkhand,2.9,5.37,12.71
Assam,6.29,4.76,12.67
Dadra and Nagar Haveli and Daman and Diu,0.0,0.0,12.21
Sikkim,1.58,0.0,11.5
Mizoram,6.16,2.51,11.48
Rajasthan,3.66,5.57,9.34
Tripura,1.99,7.49,9.21
Arunachal Pradesh,10.9,7.39,9.04
Manipur,15.48,5.71,3.23
Goa,0.0,0.0,2.34
Lakshadweep,0.0,2.24,0.0
