state,employment_pu_person_per_1000,employment_lfpr_person_per_1000,employment_wpr_person_per_1000
Nagaland,47.0,432.0,385.0
Tripura,38.0,409.0,372.0
Lakshadweep,38.0,432.0,395.0
Sikkim,22.0,489.0,467.0
Jharkhand,19.0,394.0,375.0
Assam,18.0,404.0,386.0
Goa,15.0,377.0,362.0
Manipur,10.0,410.0,400.0
Mizoram,9.0,470.0,461.0
Gujarat,8.0,473.0,465.0
Arunachal Pradesh,7.0,392.0,385.0
Odisha,7.0,511.0,504.0
Meghalaya,5.0,467.0,462.0
Madhya Pradesh,4.0,456.0,452.0
Maharashtra,4.0,504.0,501.0
Rajasthan,3.0,457.0,454.0
Jammu and Kashmir,0.0,620.0,620.0
Chhattisgarh,0.0,456.0,455.0
