state,employment_lfpr_person_per_1000,employment_wpr_person_per_1000,employment_pu_person_per_1000
Goa,377.0,362.0,15.0
Tripura,409.0,372.0,38.0
Jharkhand,394.0,375.0,19.0
Nagaland,432.0,385.0,47.0
Arunachal Pradesh,392.0,385.0,7.0
Assam,404.0,386.0,18.0
Lakshadweep,432.0,395.0,38.0
Manipur,410.0,400.0,10.0
Madhya Pradesh,456.0,452.0,4.0
Rajasthan,457.0,454.0,3.0
Chhattisgarh,456.0,455.0,0.0
Mizoram,470.0,461.0,9.0
Meghalaya,467.0,462.0,5.0
Gujarat,473.0,465.0,8.0
Sikkim,489.0,467.0,22.0
Maharashtra,504.0,501.0,4.0
Odisha,511.0,504.0,7.0
Jammu and Kashmir,620.0,620.0,0.0
