sample,model,term,n,r_squared,coefficient,std_error,t_stat,p_value,note
high_st_states,st_bpl_mean_pct ~ st_literacy_rate_pct + dropout_secondary_pct + employment_wpr_person_per_1000,intercept,9,0.6736,105.9242,44.4278,2.3842,0.0628,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
high_st_states,st_bpl_mean_pct ~ st_literacy_rate_pct + dropout_secondary_pct + employment_wpr_person_per_1000,st_literacy_rate_pct,9,0.6736,-0.5341,0.4847,-1.1021,0.3206,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
high_st_states,st_bpl_mean_pct ~ st_literacy_rate_pct + dropout_secondary_pct + employment_wpr_person_per_1000,dropout_secondary_pct,9,0.6736,1.2331,0.4712,2.6167,0.0473,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
high_st_states,st_bpl_mean_pct ~ st_literacy_rate_pct + dropout_secondary_pct + employment_wpr_person_per_1000,employment_wpr_person_per_1000,9,0.6736,-0.1289,0.0523,-2.4641,0.0569,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
high_st_states,employment_wpr_person_per_1000 ~ st_literacy_rate_pct + tribe_weighted_literacy_female_pct + dropout_secondary_pct,intercept,18,0.3319,551.7986,167.5624,3.2931,0.0053,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
high_st_states,employment_wpr_person_per_1000 ~ st_literacy_rate_pct + tribe_weighted_literacy_female_pct + dropout_secondary_pct,st_literacy_rate_pct,18,0.3319,-3.754,5.8404,-0.6428,0.5308,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
high_st_states,employment_wpr_person_per_1000 ~ st_literacy_rate_pct + tribe_weighted_literacy_female_pct + dropout_secondary_pct,tribe_weighted_literacy_female_pct,18,0.3319,1.7698,4.3045,0.4111,0.6872,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
high_st_states,employment_wpr_person_per_1000 ~ st_literacy_rate_pct + tribe_weighted_literacy_female_pct + dropout_secondary_pct,dropout_secondary_pct,18,0.3319,2.7689,2.097,1.3204,0.2079,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
high_st_states,overall_priority_score ~ st_literacy_rate_pct + st_bpl_mean_pct + employment_wpr_person_per_1000,intercept,9,0.8018,0.4694,0.3007,1.5608,0.1793,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
high_st_states,overall_priority_score ~ st_literacy_rate_pct + st_bpl_mean_pct + employment_wpr_person_per_1000,st_literacy_rate_pct,9,0.8018,-0.005,0.0028,-1.7842,0.1345,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
high_st_states,overall_priority_score ~ st_literacy_rate_pct + st_bpl_mean_pct + employment_wpr_person_per_1000,st_bpl_mean_pct,9,0.8018,0.0054,0.0016,3.394,0.0194,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
high_st_states,overall_priority_score ~ st_literacy_rate_pct + st_bpl_mean_pct + employment_wpr_person_per_1000,employment_wpr_person_per_1000,9,0.8018,0.0002,0.0003,0.6845,0.5241,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
all_states,st_bpl_mean_pct ~ st_literacy_rate_pct + dropout_secondary_pct + employment_wpr_person_per_1000,intercept,16,0.5183,51.0173,26.5158,1.924,0.0784,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
all_states,st_bpl_mean_pct ~ st_literacy_rate_pct + dropout_secondary_pct + employment_wpr_person_per_1000,st_literacy_rate_pct,16,0.5183,-0.0704,0.298,-0.2361,0.8173,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
all_states,st_bpl_mean_pct ~ st_literacy_rate_pct + dropout_secondary_pct + employment_wpr_person_per_1000,dropout_secondary_pct,16,0.5183,1.1902,0.4026,2.956,0.012,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
all_states,st_bpl_mean_pct ~ st_literacy_rate_pct + dropout_secondary_pct + employment_wpr_person_per_1000,employment_wpr_person_per_1000,16,0.5183,-0.0705,0.0313,-2.2546,0.0436,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
all_states,employment_wpr_person_per_1000 ~ st_literacy_rate_pct + tribe_weighted_literacy_female_pct + dropout_secondary_pct,intercept,26,0.1636,515.922,163.1655,3.162,0.0045,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
all_states,employment_wpr_person_per_1000 ~ st_literacy_rate_pct + tribe_weighted_literacy_female_pct + dropout_secondary_pct,st_literacy_rate_pct,26,0.1636,-2.672,5.9751,-0.4472,0.6591,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
all_states,employment_wpr_person_per_1000 ~ st_literacy_rate_pct + tribe_weighted_literacy_female_pct + dropout_secondary_pct,tribe_weighted_literacy_female_pct,26,0.1636,1.1448,4.5403,0.2521,0.8033,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
all_states,employment_wpr_person_per_1000 ~ st_literacy_rate_pct + tribe_weighted_literacy_female_pct + dropout_secondary_pct,dropout_secondary_pct,26,0.1636,2.407,2.3074,1.0432,0.3082,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
all_states,overall_priority_score ~ st_literacy_rate_pct + st_bpl_mean_pct + employment_wpr_person_per_1000,intercept,17,0.7576,0.8712,0.1722,5.0582,0.0002,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
all_states,overall_priority_score ~ st_literacy_rate_pct + st_bpl_mean_pct + employment_wpr_person_per_1000,st_literacy_rate_pct,17,0.7576,-0.007,0.0017,-4.178,0.0011,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
all_states,overall_priority_score ~ st_literacy_rate_pct + st_bpl_mean_pct + employment_wpr_person_per_1000,st_bpl_mean_pct,17,0.7576,0.0042,0.0012,3.4173,0.0046,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
all_states,overall_priority_score ~ st_literacy_rate_pct + st_bpl_mean_pct + employment_wpr_person_per_1000,employment_wpr_person_per_1000,17,0.7576,-0.0003,0.0002,-1.5184,0.1529,Exploratory OLS; mixed years and small samples mean this is not causal evidence.
